,Positive,Negative
0,20,16
1,What makes the coronavirus scary is how fast it spreads.,"Due to the fact that the outbreak of COVID19 causing shortage of manpower and raw materials, our production capacity has not returned to 100% by the end of Feb. But we are working our best to speed up your order in each process. "
2,How to protect you and your family from the Coronavirus - https://mailchi.mp/foodcraft/foodcraftchristmas-hampers-are-ready-2742033 …pic.twitter.com/NN30hl6PmB,"For reference: 
/It is likely that the Wuhan outbreak of a novel coronavirus has caused substantially more cases of moderate or severe respiratory illness than currently reported./
https://twitter.com/MRC_Outbreak/status/1218175738337284096?s=09 …"
3,"China's aggression into the world is too obvious to be ignored.

It's handling of the spread of coronavirus again tells the world it'd suppress information flow on the cost of life & safety of people in the whole world.

It's time the Canadian gov stand up to protect its people.",/It is likely that the Wuhan outbreak of a novel coronavirus has caused substantially more cases of moderate or severe respiratory illness than currently reported. / https://twitter.com/MRC_Outbreak/status/1218175738337284096 …
4,Request youtube to explain why youtubers are censored or no ads (yellow icons) on coronavirus topic https://petitions.whitehouse.gov/petition/request-youtube-explain-why-youtubers-are-censored-or-no-ads-yellow-icons-coronavirus-topic …,"I read all those. 

People eating bats and game are true, which is why coronavirus in human appears again, I have no objection to those comment. 
  you hv to know how close HK and CN is and how SARS took away lives.
Anyway I m not posting those"
5,"RT @RepLaHood: China presents us with a unique challenge because of #COVID19. As we look to the future, we must strengthen our supply chain…","Yes, China is never a trusted partner.

For this critical matter of global health, China still put political concerns before safety of people.

It's under fierce criticism China deliberately withheld info concerning the spread of the novel coronavirus.

https://twitter.com/nytimes/status/1220059835644944384?s=09 …"
6,RT @GReschenthaler: #COVID19 has shown us just how important it is to bring our manufacturing back to the US. We cannot rely on China for o…,"It's a matter of global health, but the Communist China put political wrestling before safety of people.

It's also under fierce criticism China deliberately withheld info concerning the spread of the novel coronavirus.

China is never a trusted partner.
https://twitter.com/nytimes/status/1220059835644944384?s=09 …"
7,RT @Heritage: China's role unleashing #COVID19 “has significantly hardened the view of the British government and the British people” towar…,'Twice as many people' infected by coronavirus than first thought  https://metro.co.uk/2020/01/22/twice-many-infected-deadly-coronavirus-experts-first-thought-12101924/ …
8,"RT @WilliamYang120: After recording the first local case of #COVID19 in 56 days on June 11, Beijing reported 6 more cases on Friday, forcin…","RT @shiroihamusan: @VoteMarsha So many Chinese propagandists on Twitter, shifting blames to US and other govts that are victims of #coronav…"
9,"RT @StephenMcDonell: In #Beijing a new cluster of #covid19 cases emanating from, wait for it, a seafood market. Footage appears to show hun…","RT @Comparativist: 🚨🚨🚨🚨

""There is something happening in Luk Chuen House, that particles of such a small size infected his lungs but didn'…"
10,"RT @ianbremmer: If California were an independent country, it would have the 5th largest economy in the world. A pre #COVID19 #GraphicTruth…","Being called a ""Chinky"" in boarding school when I was young, that's racist.

Tell me what's racist about labeling a virus where it came from.

#coronavirus"
