,Positive,Negative
0,15,10
1,#TrumpIsAnIdiot Trump’s Coronavirus Testing Chief Confirms Trump Has No Earthly Clue What He’s Talking About ,"Amazon ""bought cameras to take temperatures of workers during the coronavirus pandemic from a firm the US blacklisted over allegations it helped China detain and monitor Uighurs and other Muslim minorities"" "
2,"Trump's war on the poor and vulnerable continues.

#HealthcareIsARight
#CoronavirusOutbreak

Trump Administration Can’t Promise You’ll Be Able To Afford Coronavirus Vaccine https://theslot.jezebel.com/trump-administration-can-t-promise-you-ll-be-able-to-af-1841941697/amp …",More cases and deaths from Hubei. More numbers from China soon. #coronavirus #2019nCoV #CoronavirusOutbreak
3,"@cnnbrk @CNNPolitics please stop repeating conspiracy bull pushed by tucker, Don Jr, rush, trump re coronavirus.
You are helping spread the misinformation.",Italy confirmed first cases and suspended all flights with China. #coronavirus #2019nCoV
4,"Hand sanitizer is an antibacterial, coronavirus is a virus. While corona has a an extern membrane that high % alcohol based sanitizers can disrupt (60% min), you’re better off just washing your hands with soap & water. Practicing good hygiene too. Thanks for coming to my ted talk","Quickly approaching the total number of cases of SARS.

SARS had 8,098 cases.

#coronavirus https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html?fbclid=IwAR2EaR6GQNDngpGeTOmVp45efeMlL2jT5boc-g6BUyQS9DAJ3vbMc_E0kBw#/bda7594740fd40299423467b48e9ecf6 …pic.twitter.com/ExO8FRkH6V"
5,,"Any eco terrorists watching now know the global system is completely unprepared for a biological weapon.

We would watch it roll out and say ""hey, let's give this thing a chance.""

#coronavirus #coronaoutbreak #coronaravirus #2019nCoV"
6,,"Nintendo Switch Units Being Delayed by Coronavirus https://cogconnected.com/2020/02/nintendo-switch-delayed-coronavirus/ … Nintendo has announced that #coronavirus has impacted their supply chain, affecting #NintendoSwitch production and shipment in Japan. @NintendoCanada @NintendoAmerica #Switchpic.twitter.com/cH0qYybgOJ"
7,,Today from Dr. Fauci. #coronavirus https://www.cnbc.com/2020/02/03/nih-dr-anthony-fauci-25percent-of-china-coronavirus-cases-very-serious.html …pic.twitter.com/D5Nmo06jVf
8,,My coworker told me some lady came into work to return an item past the return date and her excuse was “I couldn’t come earlier bc I had the corona virus” MA’AM stop lying
9,,"RT @StephenMcDonell: In #Beijing a new cluster of #covid19 cases emanating from, wait for it, a seafood market. Footage appears to show hun…"
10,,"@BlueSt0rmRising Yeah, because they seem to be reporting the deaths as Pneumonia now!

#COVID19 
#coronavirus https://t.co/Lb6QoxZkvg"
11,,"4 more #coronavirus cases in Ontario.

Most have links to Iran.

https://news.ontario.ca/mohltc/en/2020/03/ontario-confirms-new-positive-cases-of-covid-19-1.html …"
12,,If you kissed a Macedonian girl named Mercedes in the shallow end of your apartment complex's pool in the summer before 5th grade you're immune to coronavirus
13,,"I'd be concerned about the coronavirus, but I haven't left my home in 3 weeks. I think that automatically disqualifies me."
14,,"avoid contact of any kind with ANY human being, that way you won't get coronavirus, or annoyed."
15,,"Health care people are literally begging us to stay away from each other.

#COVID19 #coronavirus https://twitter.com/RTE_PrimeTime/status/1240767106955821059 …"
16,,shit it’s not going well I think I’m becoming sick I really hope it’s something other than the coronavirus
17,,What do you do in self isolation? Make a #Broom #coronavirus #witchythings  https://www.instagram.com/p/B-A9DXYpgp1/?igshid=171utxqtet0n1 …
18,,"#TrumpCoronaVaccineFiasco

These Are The Billionaire Investors Behind German Drugmakers Developing A Coronavirus Vaccine https://www.forbes.com/sites/martaorosz/2020/03/16/these-are-the-billionaire-investors-behind-german-drugmakers-developing-a-coronavirus-vaccine/ …"
