,Positive,Negative
0,15,10
1,"Stay safe, Stay protected. #coronavirus ",Things to do after entrance of 2019 novel corona virus in PH: 1. Wear mask when out in the public. 2. Refrain from physical contact. 3. Vote wisely next election. ctto.
2,"RT @lovea_bri: Due to #COVID19 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this $300-$3000 through CashApp, Appl…","Fuck, man! It surpassed the number of people infected by SARS back in 2003. #nCoV2020 #nCoV2019 #CoronaVirus "
3,"RT @bsexii3: Due to #COVID19 aka #Coronavirus I’m sending the first 400 people to like &amp; retweet $400-$4,000 through CashApp, PayPal, Apple…",Puta! The chills that I got from reading corona virus articles and posts on social media. Grabe!
4,coronavirus cancelling all the IMPORTANT MOMENTS of our life https://twitter.com/AngryTiger__/status/1237548020394164224 …,"IF YOU WANNA KNOW MORE ABOUT THE NOVEL CORONAVIRUS, YOU GOTTA READ THIS!! "
5,,"There's only 1, but not too late, do something before it's too late - #coronavirus"
6,,Spread awareness for COVID19 
7,,"the wuhan corona virus might be the plague we were warned about. tangina, keep safe you guysss!!"
8,,"Things to do after entrance of 2019 novel corona virus in PH:

1. Wear mask when out in the public.
2. Refrain from physical contact.
3. Vote wisely next election.

ctto."
9,,"Fuck, man! It surpassed the number of people infected by SARS back in 2003. #nCoV2020 #nCoV2019 #CoronaVirus https://twitter.com/cnnphilippines/status/1223024671043411969 …"
10,,"omg 4 immediate family members of a guy who's positive to coronavirus already came here in Manila yesterday at 1PM??? istg China and their problems, total ban na dapat jusko."
11,,"Good day

reminder to be wary of the 2019-nCov virus (coronavirus) 

there's now 2,014 cases globally"
12,,I hope @WHO will do their due diligence and check the # of deaths from pneumonia and respiratory diseases before the story broke. You owe it to the people of #Wuhan and their families who couldn't get medical attention or even testing #coronavirus
13,,Massive coronavirus testing program in South Korea underscores nimble public health infrastructure http://disq.us/t/3mhr5zy 
