,Positive,Negative
0,13,19
1,"I didn’t watch the Coronavirus show today, and feel much better. @realDonaldTrump @VP @WhiteHouse", @SecPompeo: “We'll continue to help meet the world's food needs as the #COVID19 outbreak disrupts global supply chains around the world.” #Coronavirus 
2,"Like most other viruses including regular coronavirus, COVID can be associated with various rashes. The media is making it seem like this is something revolutionary.","Men More Prone To Coronavirus Infection Than Women, Study Finds http://dlvr.it/RP4tds"
3,"Does Fauci have a financial interest in Remdesivir or any potential coronavirus vaccine? If so, he should be required to disclose this info!",This is not good. #Dogs are susceptible to #Covid19. So are : Cats Bats Camels Pangolins #petOwnersBeware
4,Today is hump Wednesday and I've been definitely feeling a lot of humps in my way. It is definitely a surreal time that we're all living through. Just working it out and doing the best. Everybody stay safe. #Coronavirus￼￼,"All events with over 1,000 people banned in Switzerland over coronavirus fears https://twitter.com/i/events/1233337064373936129 #COVID19 #COVID2019 #Coronavius #Switzerland #coronavirusus"
5,But China didn't ban the export of the coronavirus...,"Men More Prone To Coronavirus Infection Than Women, Study Finds http://dlvr.it/RP4tds pic.twitter.com/fZMfsqYtMg"
6,"Trump was saying it's ok, it's just one guy. #DumbDonnie #CoronaVirus"," What is coronavirus? The Wuhan, China virus explained. - CNN https://www.cnn.com/2020/01/20/health/what-is-coronavirus-explained/index.html …"
7,"UK Researcher Predicts Over 250,000 Chinese Will Have Coronavirus In Ten Days http://dlvr.it/RNj4HH pic.twitter.com/OVJOVxDhfx",The Global Supply & Demand Shock Of The Coronavirus http://dlvr.it/RPCP9G pic.twitter.com/osYACgFpRS
8,Coronavirus brings China's surveillance state out of the shadows | Article [AMP] | Reuters https://www.reuters.com/article/us-china-health-surveillance-idUSKBN2011HO …,"Oil Crashes Into Bear Market As Chinese Oil Demand Said To Plummet 20% Due To Coronavirus ""Demand Shock"" http://dlvr.it/RPG0xV pic.twitter.com/gYDfgahtHo"
9,I think it’s incredibly dumb to let people disembark so quickly. - 4 passengers on a cruise ship docked near New York City are getting further evaluation for coronavirus - CNN https://www.cnn.com/2020/02/07/us/coronavirus-cruise-ship-new-jersey/index.html …,Chinese Crypto Mine Stop or Stall Operations Due to Coronavirus Outbreak http://dlvr.it/RPXhX7 pic.twitter.com/77zScpVsj3
10,Wuhan Crematorium Inundated With Coronavirus-Infected Corpses http://dlvr.it/RPSwyy pic.twitter.com/1k3gB3RPEe,$EURUSD Japanese Yen: USD/JPY (JPY=X) – Japan's Economy is Feeling the Chills from Coronavirus http://dlvr.it/RQ9CLx  Crypto Cashflow  via →http://cashdaily.pro 
11,Will Dyson's New Air-Purifying-Headphones Save The World From Coronavirus? http://dlvr.it/RPPBM0 pic.twitter.com/DiuNUsIBtH,"Omer Ozden: If the Coronavirus Disappears, BTC Trading Could Tumble http://dlvr.it/RQ9BlV   Crypto Cashflow via →http://cashdaily.pro "
12,So horrible. May the victims Rest In Peace. #CoronavirusOutbreak #coronavirus https://twitter.com/QTAnon1/status/1224474160627273728 …,"Experts Say North Korea ""Clearly Lying"" About Coronavirus Outbreak - ""They Don't Want To Show Any Weakness"" http://dlvr.it/RQ0Gxg pic.twitter.com/DcfY0wZPpM"
13,London Coronavirus Patient Took Uber To Hospital - Then They Sent Her Home http://dlvr.it/RQ0GvS pic.twitter.com/tWz4jRDQiN,"Ridiculous statement. Ridiculous. 

This year’s flu is worse than the Coronavirus."
14,Bitcoin Swoops In To Save The Flailing Asian Economy While Coronavirus Spreads http://dlvr.it/RQDbzc  Crypto Cashflow via →http://cashdaily.pro ,"The HighWire (@HighWireTalk) Tweeted:
Interesting. Is #WallStreet starting to think ""#glyphosate"" when it hears ""vaccines""? RT 
GSK's stock falls after it announces new coronavirus vaccine partnership https://on.mktw.net/2VjShB6 https://twitter.com/HighWireTalk/status/1232061182548246539?s=20 …"
15,@NightlyPolitics I learned something new: #COVID19 is the ‘vagina virus.’ Who knew?,"Virginia open your businesses.
#COVID19 Hoax"
16,RT @BuckSexton: CCP has shut down one of #Beijing's main #seafood and markets after more than 50 people in the #China's capital tested posi…,"RT @scrowder: #CoVid19 uptick has NOTHING to do with the most massive, violent protests our country has ever seen. Look, a barber. GET HIM!…"
17,@CNN @Acosta Trump has no respect for any of US. He/Kushner/Miller are playing racist/white supremacist games again… https://t.co/2TyMBzIT7l,If you catch the corona virus who ru y’all coughing on first?
18,RT @LuxembourgUN: Luxembourg🇱🇺 is happy to be among 1⃣3⃣2⃣ signatories supporting @UN SG @antonioguterres' UN Communications Response initi…,#Hospitals and medical clinics are the most dangerous places to contract #coronavirus https://video.foxbusiness.com/v/6138651095001/ …
19,RT @sallyKP: The side of #COVID19 that no one wants to talk about. https://t.co/r0FSSU290h,Getting really tired of people saying omg why are people buying so much toilet paper. The reason why is it makes since if you have a lot of toilet paper you won't need to go back out to the store and risking getting the virus... as simple as that... #coronavirus
20,"D.C.’s first confirmed coronavirus case is church rector.
The clergyman was present for four services last Sunday attended by 550 people, a church spokesman said.",
21,"Ted Cruz Says He Plans To Work From Home After ""Brief Interaction"" With Coronavirus Patient http://dlvr.it/RRVjnk pic.twitter.com/JEIPBZF4pn",
22,"Not exactly. Healthcare is free or affordable throughout the world. Prices are only so ridiculous in the US. $3,000 for a coronavirus test? You have to be kidding me. I'm sure someone understands this concept, and it sure as hell isn't you. 

Thanks @BernieSandershttps://twitter.com/MarkDice/status/1236817942588743681 …",
23,So you are dancing on graves of people who are going to die because of coronavirus. So civil and compassionate Biden Bro.,
