,Positive,Negative
0,9,23
1,"Confirmed: 84,125 (+5) Recovered: 36,687 (0) Deaths: 2,867 (-4) #Coronavirus #CoronavirusOutbreak #Wuhan #2019nCoV #COVID19","Global #COVID19 cases:
90,309 confirmed (+3)
45,602 recovered (0)
3,085 deaths (0)

Cases excluding #China:
10,283 confirmed (+3)
792 recovered (0)
173 deaths (0)

#Coronavirus #CoronavirusUpdate #CoronavirusOutbreak"
2,"Confirmed: 83,870 (+2) Recovered: 36,686 (0) Deaths: 2,867 (0) #Coronavirus #CoronavirusOutbreak #Wuhan #2019nCoV #COVID19","Global #COVID19 cases:
88,371 confirmed (+210)
42,716 recovered (0)
2,996 deaths (0)

Cases excluding #China:
8,545 confirmed (+210)
598 recovered (0)
126 deaths (0)

#Coronavirus #CoronavirusUpdate #CoronavirusOutbreak"
3,"Confirmed: 83,868 (+6) Recovered: 36,686 (0) Deaths: 2,867 (0) #Coronavirus #CoronavirusOutbreak #Wuhan #2019nCoV #COVID19","Global #COVID19 cases:
101,821 confirmed (+21)
55,866 recovered 
3,460 deaths 

Cases excluding #China:
21,248 confirmed (+21)
1,978 recovered 
418 deaths 

#Coronavirus #CoronavirusUpdate #CoronavirusOutbreak"
4,"Confirmed: 83,861 (+52) Recovered: 36,686 (+24) Deaths: 2,867 (0) #Coronavirus #CoronavirusOutbreak #Wuhan #2019nCoV #COVID19","Global #COVID19 cases:
92,844 confirmed (+16)
48,229 recovered (0)
3,160 deaths (0)

Cases excluding #China:
12,693 confirmed (+16)
825 recovered (0)
215 deaths (0)

#Coronavirus #CoronavirusUpdate #CoronavirusOutbreak"
5,"Confirmed: 83,809 (+14) Recovered: 36,662 (0) Deaths: 2,867 (0) #Coronavirus #CoronavirusOutbreak #Wuhan #2019nCoV #COVID19","Global #COVID19 cases:
97,886 confirmed (+1)
53,797 recovered (+1)
3,348 deaths 

Cases excluding #China:
17,464 confirmed (+1)
1,557 recovered 
335 deaths 

#Coronavirus #CoronavirusUpdate #CoronavirusOutbreak"
6,"Confirmed: 37,121 (+11)
Recovered: 2,616 (+1)
Deaths: 806 (0)
#Coronavirus #CoronavirusOutbreak #Wuhan #2019nCoV",
7,"Confirmed: 37,110 (+2147)
Recovered: 2,615 (+221)
Deaths: 806 (+81)
#Coronavirus #CoronavirusOutbreak #Wuhan #2019nCoV",
8,"Confirmed: 27,636 (+13)
Recovered: 1,124 (0)
Deaths: 564 (0)
#Coronavirus #CoronavirusOutbreak #Wuhan #2019nCoV",
9,"Confirmed: 27,623 (+4)
Recovered: 1,124 (0)
Deaths: 564 (0)
#Coronavirus #CoronavirusOutbreak #Wuhan #2019nCoV",
