China is trying to patent Gilead’s experimental coronavirus drug #Remdesivir https://www.bloomberg.com/news/articles/2020-02-05/china-is-trying-to-patent-gilead-s-experimental-coronavirus-drug via @business
No coronavirus is over
Literally life is so dumb rn. Coronavirus is killing everyone including my grandpa as of today and not only that police are killing black people and the president is encouraging lethal force. I really cant someone move to a little cottage in greenland with me
"""...the Hubei provincial government gave orders to the provincial “disease control” agency: “Organizing a 24-hour internet monitoring team to surveil online posts from all websites… Remove all negative and harmful information.” #CCPPropaganda #Censorship #Misinformation #COVID19 "
"RT @AutoRaja1212: Another BJP MP and Karnataka state ministers showing their solidarity for #coronavirus are captured in these photos 🙄

A…"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
We will finally be tops at something.
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
RT @MileyCyrus: Italy🇮🇹 and the world united in solidarity with Black Lives Matter in the US. We must stay united to tackle #COVID19 and it…
"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…"
