BBC NEWS - Coronavirus: How does contact tracing work and is my data safe? 
BBC NEWS - Coronavirus: Madrid's balcony cinema screens films for people in lockdown 
DAILY EXPRESS - #headlines #health #nation Coronavirus BREAKTHROUGH: US officals say drug has 'significant' impact on virus 
DAILY EXPRESS - #headlines #health #nation Coronavirus BREAKTHROUGH: US officals say drug has 'significant' impact on virus 
THE TELEGRAPH - #structurenews #topicsinthenewscoronavirus Remdesivir: 'Clear-cut' results show Gilead drug can fight coronavirus 
BREITBART - #Asia #Health #NationalSecurity Report: North Korea to Lock Down Through 2020 Despite 'Zero' Coronavirus Cases 
ITV NEWS - Remdesivir: New findings on coronavirus drug 'highly significant' | ITV News 
BBC ENTERTAINMENT - Coronavirus: The self-isolation choir with worldwide members http://dlvr.it/RXgt7n
BBC NEWS - Coronavirus: Pret a Manger plans rent talks in bid to avoid closures 
BBC NEWS - Coronavirus: Belgian Prince Joachim tests positive after lockdown party 
BBC NEWS - Coronavirus: Shielders in England allowed outdoors again from Monday http://dlvr.it/RXggL8
BBC FOOTBALL - Coronavirus: Jayden Stockley among positive tests in Championship; seven in League Two 
BBC FOOTBALL - Aaron Ramsdale: Bournemouth keeper confirms coronavirus recovery 
Japan confirms man has same coronavirus as China outbreak http://dlvr.it/RN8hXJ  @SkyNewspic.twitter.com/qQPiRCn752
Newspaper headlines: Italy in coronavirus 'chaos' and quarantine 'farce' http://dlvr.it/RRVk9j  @BBCNewspic.twitter.com/8G8Q6k0QE4
Third person in UK dies from coronavirus as cases rise to 273 | ITV News http://dlvr.it/RRVjyB  @itvnews
"Rapid #Coronavirus Test Approved by FDA, Results in 45 Minutes http://dlvr.it/RSKQyr  @BreitbartNewspic.twitter.com/GZspvwmFXk"
"#Coronavirus: 1,200 Young #Doctors Sidelined by Lack of Training Residencies http://dlvr.it/RSKQyl  @BreitbartNewspic.twitter.com/1pklweBxk6"
"Italian Students Flee #Coronavirus Epicenter, Spread Virus to Parents http://dlvr.it/RSKQyj  @BreitbartNewspic.twitter.com/Dm0YJaS9N0"
Isolated Celebrities Post Home Videos to Stay Relevant During #Coronavirus http://dlvr.it/RSKQyf  @BreitbartNewspic.twitter.com/mAtO5pspd6
#Coronavirus: Report Claims Transgenders Being Denied ‘Lifesaving’ #Surgery http://dlvr.it/RSKQyW  @BreitbartNewspic.twitter.com/QL0nI0yNle
Student Delivers Groceries to the #Elderly for Free During #Coronavirus http://dlvr.it/RSKQxP  @BreitbartNewspic.twitter.com/EOg4fJQgyf
"Rapid #Coronavirus Test Approved by FDA, Results in 45 Minutes http://dlvr.it/RSKQyr  @BreitbartNewspic.twitter.com/GZspvwmFXk"
"#Coronavirus: 1,200 Young #Doctors Sidelined by Lack of Training Residencies http://dlvr.it/RSKQyl  @BreitbartNewspic.twitter.com/1pklweBxk6"
"Italian Students Flee #Coronavirus Epicenter, Spread Virus to Parents http://dlvr.it/RSKQyj  @BreitbartNewspic.twitter.com/Dm0YJaS9N0"
Isolated Celebrities Post Home Videos to Stay Relevant During #Coronavirus http://dlvr.it/RSKQyf  @BreitbartNewspic.twitter.com/mAtO5pspd6
#Coronavirus: Report Claims Transgenders Being Denied ‘Lifesaving’ #Surgery http://dlvr.it/RSKQyW  @BreitbartNewspic.twitter.com/QL0nI0yNle
Student Delivers Groceries to the #Elderly for Free During #Coronavirus http://dlvr.it/RSKQxP  @BreitbartNewspic.twitter.com/EOg4fJQgyf
