Wall Street rallies on promising coronavirus drug https://reut.rs/3f22B8k #news #business #social
In #Travel News...  Three U.S. Airports to Screen Passengers for Chinese Coronavirus https://www.nytimes.com/2020/01/17/health/china-coronavirus-airport-screening.html?emc=rss&partner=rss …pic.twitter.com/lNK586zSfB
"Starbucks sees hit as coronavirus prompts over 2,000 China store closures https://reut.rs/2U44ERm  #news #business #socialpic.twitter.com/Klc2S2Y0yx"
U.S. stock futures fall more than 1 percent as coronavirus fears spread https://reut.rs/2uBL1Fm  #news #business #socialpic.twitter.com/EATpqGybox
In #Travel News...  The Coronavirus: What Travelers Need to Know https://www.nytimes.com/2020/01/26/travel/Coronavirus-travel.html?emc=rss&partner=rss …pic.twitter.com/k04JD3HzFC
"Oil up more than 2% on slowing coronavirus cases, U.S. move on Venezuela https://reut.rs/2uZ1KDd  #news #business #socialpic.twitter.com/FuzDbRjPNI"
"Stop and Smell the Travel! In Coronavirus, $45-Billion Cruise Industry Faces a Big Challenge https://www.nytimes.com/2020/02/12/travel/coronavirus-cruises-travel.html?emc=rss&partner=rss … #travelpic.twitter.com/9W6ZovESHK"
"Stop and Smell the Travel! In Coronavirus, $45-Billion Cruise Industry Faces a Big Challenge https://www.nytimes.com/2020/02/12/travel/coronavirus-cruises-travel.html … #travelpic.twitter.com/U8NDBlEXvg"
"Royal Caribbean cancels 18 cruises, warns coronavirus hit to yearly profit https://reut.rs/2So3zTa  #news #business #socialpic.twitter.com/gCtXQIpwZI"
U.S. stock futures resume coronavirus rout as trading resumes https://reut.rs/32GvMIh  #news #business #socialpic.twitter.com/L7YvGr6EOl
"We need a stimulus and supportive package for businesses affected by
#COVIDー19

I'm looking at you @realDonaldTrump & @BorisJohnson
#SXSW #COVIDー19 #sxswcancelled #sxswcanceled #SXSW2020 #CoronavirusOutbreak #coronavirus"
Global stocks rally as Biden surge offsets coronavirus fears https://reut.rs/39toJ8s  #news #business #socialpic.twitter.com/0Yc21WADEF
This just in... Canceled Because of Coronavirus: A Brief List https://www.nytimes.com/2020/03/09/world/coronavirus-cancelled-events.html … #travelpic.twitter.com/wy2pwqN8wo
