So how did this coronavirus come about????
"Confirmed #COVID19 cases as of 27 Feb : 82,294 : 78,630 : 1,766 : 705 : 400 : 186 : 141 : 93 : 59 : 43 : 40 : 33 : 23 : 22 : 21 : 18 : 16 : 13 : 12 : 11 : 6 : 4 : 3 : 2 : 1"
"Nurse treating coronavirus in China claims 90,000 people are infected https://www.dailymail.co.uk/news/article-7929657/Nurse-treating-coronavirus-sufferers-China-claims-90-000-people-infected.html?ito=amp_twitter_share-top … via @MailOnline"
Flights from China being screened at UK ports due to Novel Coronavirus
Many US coronavirus patients are being sent to a special state-of-the-art facility in Nebraska. It has its own ventilation system and staff with specialized training. It once even successfully treated Ebola. https://cnn.it/2SX0VCT 
"This Government and WHO, are hiding the real truth about this
CORONAVIRUS, IS A ACTUAL
 AN AFFECTIVE, 
BIOLOGICAL WARFARE WEAPON 
It's unrefutable fact, disclosed by
Dr Francis Boyle,.. He created the Contract for the control of Chemicals Weapons, and is also a Professor in law."
"Why don't they report the real truth about the Coronavirus,
CORONAVIRUS, is an Affective man made, 
BIOLOGICAL WAR WEAPON,
And its a fact, from the very best of Intelligence source."
"Now this, Is this more likely Statistics of the Dead? 
Billionaire Whistleblower: Wuhan Coronavirus Death Toll Is Over 50,000 https://www.ccn.com/billionaire-whistleblower-wuhan-coronavirus-death-toll-is-over-50000/ … via @ccnmarkets"
RT @catholicEW: Pictures of preparation for re-opening the #CatholicChurch  for Individual prayer from 15 June Marian Fathers Church Ealing…
RT @PeterDain1: A ban on visiting Wales has meant some insurances are void because of an inability to visit a property to check on it.  Wil…
"Spending my weekend volunteering in #Bradford; being trained &amp; learning about #COVID19 safety risk assessment, what… https://t.co/HrIRFakbvX"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
