"Salam, you can read it here: @Truthfully83: The East African nation of Burundi, is a country, that will soon to be consumed by coronavirus. Religion… https://threadreaderapp.com/thread/1255630027074547713.html See you soon. "
"Hello, the unroll you asked for: @ChrisGiles_: Ahead of the government's new methodology for counting deail victims of coronavirus, the data relesased… https://threadreaderapp.com/thread/1255497006300237826.html Enjoy :) "
"Hello, please find the unroll here: @MetroReasons: NEW: #wmata now says there are 8 confirmed cases of employees diagnosed with coronavirus; no details yet… https://threadreaderapp.com/thread/1245041452792664065.html Enjoy :) "
"Hi!, there is your unroll: Thread by @CDCofBC: 1/11 There are several misconceptions on social media currently around how #coronavirus is… https://threadreaderapp.com/thread/1222976476867452928.html. Talk to you soon. "
"Hello, there is your unroll: Thread by @cnnphilippines: Vice President Leni Robredo on novel coronavirus (2019-nCoV): Ang kasalukuyang banta ng… https://threadreaderapp.com/thread/1223031256322998272.html. See you soon. "
"Hello, the unroll you asked for: Thread by @CDCofBC: 1/11 There are several misconceptions on social media currently around how #coronavirus is… https://threadreaderapp.com/thread/1222976476867452928.html. Have a good day. "
"Saluti, please find the unroll here: Thread by @opovoonline: Coronavírus: o relato de uma brasileira que mora na China A cearense Mauriane Melo, 42, que… https://threadreaderapp.com/thread/1222948997742112769.html. Share this if you think it's interesting. "
"@RodoChisleanchi Bonjour, the unroll you asked for: Thread by @RodoChisleanchi: #SaludSegúnChicho - Gripe A, Gripe Aviar, SARS, Coronavirus - Cada tanto la OMS genera… https://threadreaderapp.com/thread/1222548478192246786.html. Enjoy :) "
"Hallo, there is your unroll: Thread by @CDCofBC: 1/11 There are several misconceptions on social media currently around how #coronavirus is… https://threadreaderapp.com/thread/1222976476867452928.html. See you soon. "
"Halo!, please find the unroll here: Thread by @JoMusson1: China have achieved a miracle to slow down the spread of #COVID19 in 8 weeks: repurposing the… https://threadreaderapp.com/thread/1233499165491179520.html. Share this if you think it's interesting. "
"Halo!, you can read it here: Thread by @JeremyKonyndyk: As we approach the end of what has felt like a pivotal week on #COVID19, here's an attempt… https://threadreaderapp.com/thread/1233253785281159169.html. Share this if you think it's interesting. "
"Hi!, you can read it here: Thread by @WHO: LIVE daily media briefing on #COVID19 with @DrTedros #coronavirus http://pscp.tv/w/cSknbzI2MTAy… @DrTedros ""In… https://threadreaderapp.com/thread/1233411869110460416.html. See you soon. "
"Hello, please find the unroll here: Thread by @WHO: LIVE daily media briefing on #COVID19 with @DrTedros #coronavirus http://pscp.tv/w/cSknbzI2MTAy… @DrTedros ""In… https://threadreaderapp.com/thread/1233411869110460416.html. Enjoy :) "
"Saluti, please find the unroll here: Thread by @aryadoctoryet: Because #COVID19 / #coronavirus is so hot right now, here’s a little #tweetorial on How To… https://threadreaderapp.com/thread/1233199335233462273.html. Share this if you think it's interesting. "
"Halo!, there is your unroll: Thread by @WHO: LIVE daily media briefing on #COVID19 with @DrTedros #coronavirus http://pscp.tv/w/cSknbzI2MTAy… @DrTedros ""In… https://threadreaderapp.com/thread/1233411869110460416.html. Share this if you think it's interesting. "
"Hello, the unroll you asked for: Thread by @WHO: LIVE daily media briefing on #COVID19 with @DrTedros #coronavirus http://pscp.tv/w/cSknbzI2MTAy… @DrTedros ""In… https://threadreaderapp.com/thread/1233411869110460416.html. Talk to you soon. "
"Saluti, there is your unroll: Thread by @kakape: This is important: Report of joint @WHO-China mission on #covid19 has just been released. Guess I… https://threadreaderapp.com/thread/1233343695577133056.html. See you soon. "
"Hi, please find the unroll here: Thread by @JeromeAdamsMD: 1/? Lots of #coronavirus #COVID19 concern. Messaging on a rapidly changing situation is hard,… https://threadreaderapp.com/thread/1232668860983267328.html. See you soon. "
"Hallo, the unroll you asked for: Thread by @kakape: This is important: Report of joint @WHO-China mission on #covid19 has just been released. Guess I… https://threadreaderapp.com/thread/1233343695577133056.html. Talk to you soon. "
"Salam, the unroll you asked for: Thread by @kakape: This is important: Report of joint @WHO-China mission on #covid19 has just been released. Guess I… https://threadreaderapp.com/thread/1233343695577133056.html. Talk to you soon. "
"Namaste, you can read it here: Thread by @WilliamYang120: New findings about #COVID19 - #China released the autopsy report of the first patient who… https://threadreaderapp.com/thread/1233358368842096641.html. Talk to you soon. "
"Guten tag, there is your unroll: Thread by @MackayIM: Human-to-human (h2h) spread of the new coronavirus detected in Wuhan.A few thoughts. To say that… https://threadreaderapp.com/thread/1217365667982135297.html …. Have a good day. "
"Salam, the unroll you asked for: Thread by @MackayIM: Human-to-human (h2h) spread of the new coronavirus detected in Wuhan.A few thoughts. To say that… https://threadreaderapp.com/thread/1217365667982135297.html …. See you soon. "
"Guten tag, there is your unroll: Thread by @DrEricDing: Recall the #coronavirus chaos of “R0=3.8, actually R0=2.6, no wait R0=2.9, or 5.4!” —remember… https://threadreaderapp.com/thread/1222272458062995456.html …. Share this if you think it's interesting. "
"Hi!, there is your unroll: Thread by @CDCofBC: 1/11 There are several misconceptions on social media currently around how #coronavirus is… https://threadreaderapp.com/thread/1222976476867452928.html …. Talk to you soon. "
"Hello, there is your unroll: Thread by @cnnphilippines: Vice President Leni Robredo on novel coronavirus (2019-nCoV): Ang kasalukuyang banta ng… https://threadreaderapp.com/thread/1223031256322998272.html …. See you soon. "
"Hi!, please find the unroll here: Thread by @DJKAG2020: Weaponized CoronaVirus invades the USA as world panics over possible pandemic… https://threadreaderapp.com/thread/1220116681416040448.html …. Talk to you soon. "
"Saluti, please find the unroll here: Thread by @WHO: LIVE: Press conference on the Emergency Committee meeting on new #coronavirus (2019-nCoV)… https://threadreaderapp.com/thread/1220071324405514240.html …. Have a good day. "
"Bonjour, please find the unroll here: Thread by @DrEricDing: HOLY MOTHER OF GOD - the new coronavirus is a 3.8!!! How bad is that reproductive R0 value? It… https://threadreaderapp.com/thread/1220919589623803905.html …. See you soon. "
"Halo!, you can read it here: Thread by @FinancialTimes: The emergence of the new deadly coronavirus, 2019-nCoV, is having far-reaching ramifications… https://threadreaderapp.com/thread/1221915800270974976.html …. Talk to you soon. "
"Hello, please find the unroll here: Thread by @moldbugman: I was living in China during the SARS times of 2002-3 and due to that experience am less worried about Coronavirus than… https://threadreaderapp.com/thread/1221572793986248705.html …
Share this if you think it's interesting. "
"Hi, please find the unroll here: Thread by @paulmozur: To stop the spread of the coronavirus much of China has effectively shut down. What’s not been… https://threadreaderapp.com/thread/1228751784111271936.html …. See you soon. "
"Hello, please find the unroll here: Thread by @paulmozur: To stop the spread of the coronavirus much of China has effectively shut down. What’s not been… https://threadreaderapp.com/thread/1228751784111271936.html …. Share this if you think it's interesting. "
"Namaste, the unroll you asked for: Thread by @horelick_m: #CORONAVIRUS Dr. Charles Lieber, 60, Chair of the Department of Chemistry and Chemical Biology… https://threadreaderapp.com/thread/1226186257639886850.html …. Talk to you soon. "
"Bonjour, the unroll you asked for: Thread by @Johnheretohelp: As the Coronavirus continues to invade the US and spread very quickly, I would like to… https://threadreaderapp.com/thread/1223720764400193541.html …. See you soon. "
"Hallo, please find the unroll here: Thread by @VictoriaRGates: THREAD! A senior Chinese Military Intelligence Officer who I will call the ""Coronavirus""… https://threadreaderapp.com/thread/1229483784145383425.html …. Enjoy :) "
"Hi!, you can read it here: Thread by @QsentMeToo: *A logical look at the state of the coronavirus & statements from elitist globalists; Bloomberg… https://threadreaderapp.com/thread/1229505928602562561.html …. Talk to you soon. "
"Salam, please find the unroll here: Thread by @SamParkerSenate: 1. Wuhan Coronavirus is an engineered offensive bioweapon. You're not being told this by… https://threadreaderapp.com/thread/1226311942354042880.html …. Enjoy :) "
"Halo!, there is your unroll: Thread by @SamParkerSenate: 1. Wuhan Coronavirus is an engineered offensive bioweapon. You're not being told this by… https://threadreaderapp.com/thread/1226311942354042880.html …. Share this if you think it's interesting. "
"Saluti, there is your unroll: Thread by @ewarren: The Trump administration is absolutely bungling the response to coronavirus, putting our public… https://threadreaderapp.com/thread/1232406251340009472.html …. Share this if you think it's interesting. "
"Guten tag, the unroll you asked for: Thread by @MilesMJohnson: Everyone is asking: why are the number of coronavirus cases so much higher in Italy than… https://threadreaderapp.com/thread/1231929900405329920.html …. Share this if you think it's interesting. "
