,Positive,Neutral,Negative
0,151,Check out my gig on Fiverr https://bit.ly/3cNfDoo #freelancing #freelance #freelancer #influencer #fiverrgigs #fiverrseller #fiverr #onlinebusiness #onlinemarketing #digitalmarketing #socialmediamarketing #coronavirus #IrrfanKhan #RIPIrrfanKhan #StopTheSlander,86
1,"Boston's mayor said President Trump is using a ""fear tactic"" by threatening to withhold coronavirus funding from sanctuary cities. On Tuesday, Trump said states would have to make “sanctuary city adjustments"" in order to receive emergency federal relief. ","As countries around the world consider easing restrictions, attention is being focused on the best ways to avoid a second wave #coronavirus ",#BDCovid19 update: 30/05/2020 Saturday New cases: 1764 New deaths: 28 Total cases: 44608 Total deaths: 610 Source: DGHS #Bangladesh #Coronavirus
2,Fauci announces good news about coronavirus drug https://www.banglaviral.com/fauci-announces-good-news-about-coronavirus-drug/,Examinees would get their results online and via SMS this year as the authorities decided to avoid the traditional method due to #coronavirus situation in #Bangladesh,Coronavirus (COVID-19): Symptoms and Prevention https://www.youtube.com/watch?v=dNaUkzIqo8g #CoronavirusOutbreak #coronavirus #Symptoms #prevention #CoronavirusPandemic #CoronaOutbreak
3,"N’ganj councillor, who helped arrange last rites of coronavirus victims, tests Covid-19 positive ","Hello, logo is the mark of a thoughtful initiative. Check out my Gig on Fiverr: do creative branding logo for you https://www.fiverr.com/share/2Kmo18 #coronavirus#BoyWithLuv#우린이미서로의풍경_풍경1주년#iHeartAwards#1YearWithScenery#OurSceneryV#AsimRiaz#ThursdayThoughts",#WHO declares #coronavirus (2019-nCoV) a public health emergency of international concern 
4,"Hi, flyer is your communication officer. Check out my Gig on Fiverr: creating professional and amazing flyer and brochure https://www.fiverr.com/share/qDo4Q9 #coronavirus#BoyWithLuv#우린이미서로의풍경_풍경1주년#iHeartAwards#1YearWithScenery#OurSceneryV#AsimRiaz#ThursdayThoughts","Hello, I will creating eye catching T shirt. Check out my Gig on Fiverr: create eye catching time appropriate awesome t shirts https://www.fiverr.com/share/2Kmoek #coronavirus#BoyWithLuv#우린이미서로의풍경_풍경1주년#iHeartAwards#1YearWithScenery#OurSceneryV#AsimRiaz#ThursdayThoughts","Be very careful about Flu ...!!!

""''""
Japan has confirmed its first case of infection from the new China coronavirus, 

after the World Health Organization (WHO) warned hospitals around the world 

to prepare for the illness.
""""'
.
But plz don't Panic! https://trib.al/9jOMSxV "
5,"Hello, Need a brochure for your business? Check out my Gig on Fiverr: create eye catching and amazing brochure catalog poster https://www.fiverr.com/share/0bloNv #coronavirus#BoyWithLuv#우린이미서로의풍경_풍경1주년#iHeartAwards#1YearWithScenery#OurSceneryV#AsimRiaz#ThursdayThoughts",Mahali jhumar song and dance video of Mahali Adibasi people https://youtu.be/87OvBx1s2aI via @YouTube#coronavirus#BoyWithLuv#우린이미서로의풍경_풍경1주년#iHeartAwards#1YearWithScenery#OurSceneryV#AsimRiaz#ThursdayThoughts,#SARS_like #virus or #coronavirus #outbreak in #China after #SARS once #killed #thousandshttps://www.aljazeera.com/news/2020/01/patients-infected-china-virus-thousand-study-200117234508163.html …
6,"Hello, contact me for book cover and album cover. Check out my Gig on Fiverr: design creative and smart book and album cover for you https://www.fiverr.com/share/BRyxob #coronavirus#BoyWithLuv#우린이미서로의풍경_풍경1주년#iHeartAwards#1YearWithScenery#OurSceneryV#AsimRiaz#ThursdayThoughts","Friends in Nordic countries, please stay careful as there are confirmed #Covid19 cases in your countries ","#WHO declares #coronavirus (2019-nCoV) a public health emergency of international concern

https://www.who.int/news-room/detail/30-01-2020-statement-on-the-second-meeting-of-the-international-health-regulations-(2005)-emergency-committee-regarding-the-outbreak-of-novel-coronavirus-(2019-ncov) …"
7,CoronaVirus Video to Watch - What the United States Needs To Do RIGHT NOW To Survive Covid19 #coronavirus #coronavirusus #Harden #FreeCodeFridayContest #coronavirususa,I saw media reports of COVID19 relapses.,"#BREAKING: 44 people have died from #coronavirus infections in the last 24 hours in #Bangladesh, DGHS said https://t.co/Hm1IJD6u2P"
8,Very useful infographic on #ncovid19 @SCMPgraphics http://bit.ly/2RgB7Ce #COVID19 #coronavirus #wuhanvirus,Our Post Production Photography Services. https://www.clippingpathadept.com/get-a-free-test #photoretouching #clippingpath #COVID2019 #FridayThoughts #YtBring67MBack #FridayMotivation #FridayVibes #GretaThunberg #FridayFeeling #AFLOrigin #SydneyDerby #NBL20 #NBLFinals #YtBring67MBack #COVID19 ,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
9,WithinNigeria: COVID19: NCDC deploys rapid response teams to Lagos ,"""Japan Confirms First Case of New Chinese Coronavirus"" by SUI-LEE WEE pic.twitter.com/rNRzNfKaW5",(I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m cov… https://t.co/ogKhRMsOO2
10,"Hello, please like, share and subscribe my channel. Mahali Jhumar song and dance presentation video https://youtu.be/kkGMj3g4GWw  via @YouTube
#coronavirus#Trump#BiggBoss13#Asim#Dhaka#DostoKaDostSid#Fiverr","The cluster was initially reported on 31 December 2019, when the WHO China Country Office was informed. The Chinese authorities identified a new type of coronavirus (novel coronavirus, nCoV), which was... https://www.who.int/csr/don/12-january-2020-novel-coronavirus-china/en/ …","#Sahid_Afridi told:
I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and un… https://t.co/ibqsMzTBVS"
