,Positive,Neutral,Negative
0,24,We've updated our dashboard on #coronavirus testing in San Diego. https://www.voiceofsandiego.org/topics/news/tracking-coronavirus-tests-san-diego-county/,103
1,Guide to coronavirus mortgage relief options -- https://www.consumerfinance.gov/about-us/blog/guide-coronavirus-mortgage-relief-options/ via @CFPB,"I don't think I'd willingly eat any meat processed by coronavirus-ignoring companies. Not because they abuse their workers but because eww, coronavirus.",My theory on why the stock market has bounced back up is due to the people who put their money in the market aren’t affected(yet) by the virus so they are driving up the these companies that will survive in the post coronavirus world. I could also not know what I’m talking about.
2,Fauci announces good news about coronavirus drug - CNN https://www.youtube.com/watch?v=SdqlNNAEju0 via @GoogleNews,"City of SD daily coronavirus briefing expected to start shortly. We'll have it live on @thecwsandiego, join us.",Navy Delays Reinstating Fired Captain of Coronavirus-Infected Carrier - 
3,"Staying calm during the novel coronavirus (COVID-19) pandemic isn’t easy, but it’s possible. Check out five ways to deal with Coronavirus stress. . . . #CitytoCityRideshare #Entrepreneur #Cloudseat #BusinessTravel #TravelLAtoSanDiego #COVID19 #ShuttleSurvice #StressRelief",The race for coronavirus vaccines - a graphical guide (by NATURE Magazine) https://www.nature.com/articles/d41586-020-01221-y?utm_medium=social&amp;utm_source=twitter,"*50% nursing home deaths More than half of Massachusetts’ coronavirus deaths have been nursing home residents – Boston News, Weather, Sports | WHDH 7News "
4,I would like to thank all the good cops who have protected Asian Americans from racial attacks during this coronavirus pandemic. &lt;3,Tom Hanks is providing plasma - to help with treatment of coronavirus. ,Farm workers are getting sick and spreading coronavirus just as the U.S. heads into the peak of the summer produce season https://www.bloomberg.com/news/articles/2020-05-29/every-single-worker-has-covid-at-one-u-s-farm-on-eve-of-harvest via @business
5,Coronavirus cases increased for meatpackers after Trump ordered them to work https://americanindependent.com/meatpacking-workers-coronavirus-cases-rise-donald-trump-pandemic-covid-19/ the more he does what he does the likelier the time will come when arby's says arby's. we had the meats.,"Shares jump on coronavirus treatment hopes, oil soars https://www.yahoo.com/news/asia-stocks-inch-higher-mixed-001847355.html",Coronavirus death toll is heavily concentrated in Democratic congressional districts https://pewrsr.ch/2LXtYTR #COVID19
6,"The coronavirus pandemic is teaching us a very important lesson: Choose your heroes VERY carefully. Are they all surface, no feeling? Do they preach one thing, practice another? Are they trying to cash in fast rather than creating a sustainable brand or vision? ",File “Missing my nephew’s first surfing lesson” under “Fuck coronavirus.” Antibodies test on Tuesday. #justwearafuckingmask #mood,how the fuck are you gonna be an authority figure at work and just casually say to the entire break room that the protestors are idiots that deserve to get coronavirus
7,"A coronavirus social distance view of the beautiful Pacific Ocean. Wishing everyone a safe, healthy and wonderful weekend ","Coronavirus: Airlines, give customers refunds, not vouchers! Consumers need their money during this time of financial hardship! #COVID-19AirlineRefunds → Sign @CRAdvocacy petition.","Fake news reaches new lows: a fraudulent story about coronavirus co-opted the byline of our real health reporter, @PaulSisson, who has been carefully following this story."
8,"This initiative seeks to support through our digital medium The Costa Rica News, entrepreneurs who have continued to develop their brands amid the Coronavirus Pandemic... Follow @TheCRNews Hashtag #TCRN #tcrn #initiative #costarica #coronavirus ","Coronavirus? I don't give a fuck, bye. ",World Health Organization Declares Global Emergency Over Coronavirus http://ow.ly/IRkZ30qdGsT @CourthouseNews
9,"I wonder if “Corona"" the beer brewing is actually loosing business #coronavirus",Monkeys run away with coronavirus test samples after attacking lab technician ,"COVID-19 #Coronavirus Outbreak Updated: February 28, 2020, 17:07 GMT http://j.mp/LiveCoronaVirus #CoronavirusOutbreak #COVID19 #WuhanCoronavirus #Wuhanvirus #COVID19news #COVID19update #CoronavirusUpdate #CoronavirusLive #COVID19Live"
