,Positive,Neutral,Negative
0,14,"(4th LD) S. Korea reports 2 more new coronavirus cases, total now at 6 ",21
1,Interesting results about age groups affecting replication of the coronavirus........ ,Japan Confirms First Case of New Chinese Coronavirus - The New York Times https://www.nytimes.com/2020/01/15/world/asia/coronavirus-japan-china.html … via @GoogleNews,Remember corona virus is still out there
2,Trump Says Coronavirus Relief Funding for States Could Depend on Ending Sanctuary Cities https://www.newsweek.com/trump-says-coronavirus-relief-funding-states-could-depend-ending-sanctuary-cities-1500790 #trumpdistraction,(2nd LD) S. Korea going all-out to prevent spread of Wuhan coronavirus during holidays http://yna.kr/AEN20200123005152320?input=tw …,"1320: The bubonic plague
 1420: Black Death
 1520: The Aztec empire disappears because of smallpox brought from Spain
 1720: Plague of Marseille
 1820: Cholera Epidemic
 1920: Spanish flu
 2020: coronavirus"
3,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",McDonald’s customers in Shanghai have to give contact details before getting food in coronavirus clampdown http://dlvr.it/RPcJxK pic.twitter.com/x6Pxmr03H7,Chinese “corona virus” fashion style.  #coronaraviruspic.twitter.com/va0Vk0q01V
4,"RT @UNICEF: ✋ ""Tadaaaaaa!"" 🤚

Two-year-old Natalie shows us how fun handwashing can be at her home in South Sudan as she protects herself f…",Wuhan coronavirus: Are Koreans really scared? [VIDEO] https://www.koreatimes.co.kr/www/nation/2020/02/720_283496.html#.XkiF2-tvEpk.twitter …,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
5,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…","Coronavirus fatalit rate is 2.3%.

2.3% of (example) one million people is 23,000 deaths.

 https://www.wesh.com/article/chinese-health-report-says-tens-of-thousands-of-new-coronavirus-cases-have-been-mild/30970920 …",RT @globaltimesnews: #Beijing's Fengtai district raised the risk level of its Xiluoyuan Street community and Huaxiang area to medium from l…
6,RT @MayoClinic: How much protection do face #masks offer? Can face masks help prevent the spread of #COVID19? For the answers: https://t.co…,#Coronavirus pandemic in Sweden is sure to be the downfall of Swedish Social Democratic Party who has caused Swedes so much tragic already.#svpol #covid19,RT @tmprowell: The US has performed its first double lung transplant for lung damage caused by #COVID19. The recipient is a 20 yr old woman…
7,RT @radagabriel: #L·OVE is all you need (to fight against coronavirus with the best evidence) 😁,me meo,"RT @yourICM: #COVID19 induced #AKI in critically ills with #SARSCoV2 #Coronavirus infection: several mechanisms possibly involved, prevalen…"
8,The first case of Coronavirus has been confirmed in our country and prevention is our best alternative. Please check your email for further information regarding this virus. #SMSNews #Coronavirus #Preventionpic.twitter.com/jcKiCAxhdN,RT @stratandbiz: The 5 key challenges affecting every part of the world — and how we can start to address them in a post-#COVID19 landscape…,"RT @en_germany: Even though the #corona-related #restrictions are being increasingly eased, the #Coronavirus is still present in #Germany.…"
9,"Big brahmin bag 5,6 figures “ CORONAVIRUS RAFFLE GIVEAWAY” BougieCurves
$10 raffle 
Colors Available red,blue,camel,and cream
#Newvendoralert
#Giveaway
#Ikitsbirkinssodontcorrcetme… https://www.instagram.com/p/B9-YYG5ly8i/?igshid=16zxvcrxea3pv …","RT @Twiplomacy: The UN General Assembly #UNGA 2020 to be held virtually due to #COVID19

🔴 World leaders will participate via pre-recorded…",BREAKING: One new cases of coronavirus in Dominican Republic
10,,Collab,Fake animal news abounds on social media as coronavirus upends life. https://www.nationalgeographic.com/animals/2020/03/coronavirus-pandemic-fake-animal-viral-social-media-posts/ …
11,,"Even we’re facing this Battle of life, Don’t forget that we’re still fortunately existing in this world, because Li… https://t.co/1QcsvVgked",
12,,Notable!!!! #COVID19,
13,,Coronavirus is now making the NBA take action against it. New rules on players engagement with fans and teammates. https://twitter.com/wojespn/status/1234625139599429632 …,
14,,"One theory about increases in coronavirus cases is it partly reflects increased testing.

If so, the USA probably has the most *undercounted* coronavirus in the ""developed"" world, bc the USA has conducted less coronavirus tests than many European countries a tenth its size. https://twitter.com/DrDenaGrayson/status/1236773036499623938 …",
15,,A pineapple a day keeps Coronavirus away #pinagoldenprincesbydominicangoldfruitpic.twitter.com/ShFsoEIe53,
16,,"The European Commission has gathered epidemiologists and virologists from different EU countries respond to the #Covid19 outbreak.

This panel of scientific experts will help strengthen EU coordination and medical response to #Coronavirus.

More: https://eu.smh.re/Cj5 ",
17,,"The European Commission has gathered epidemiologists and virologists from different EU countries respond to the #Covid19 outbreak.

This panel of scientific experts will help strengthen EU coordination and medical response to #Coronavirus.

More: https://eu.smh.re/Cj5 ",
