,Positive,Neutral,Negative
0,57,"yeah, apparently Beyonce is a disgrace to the USA for rightfully voicing her criticism towards police who have a history of abusing their power and Trump. Trump thinks that climate change is not a thing and thought that the coronavirus was at first a ''hoax''. ",46
1,"Donald J. Trump does not believe that the climate change affects our planet (which clearly does. ask the scientists) at the end of January, he wrote off the Coronavirus as some sort of ''hoax'' and now look at the results. the pandemic killed more Americans than the Vietnam War ","so you are saying that police brutality is okay (recently, a police officer assaulted a fucking child) you are saying that Trump should be given a pass for the way he handled the Coronavirus outbreak and should be given a pass for not believing in climate change you're pathetic ",Brazil leaves its many poor hanging amid coronavirus surge 
2,Dr. Fauci backed controversial Wuhan lab with millions of U.S. dollars for risky #coronavirus research https://newsweek.com/dr-fauci-backed-controversial-wuhan-lab-millions-us-dollars-risky-coronavirus-research-1500741 Dr. Fauci funded scientists at the Wuhan Institute of Virology and other institutions for work on gain-of-function research on #bat coronaviruses.,Germans being German about coronavirus https://buff.ly/2Yp6RJ0 @politico,"The country with the most #coronavirus cases: #USA: https://worldometers.info/coronavirus/country/us/ 1,811,093 total cases; 17,563 new cases in the last 24h. Total number of deaths: 105,327 (highest in the world). Number of deaths in the last 24h: 785 (highest in the world), 206 less than yesterday."
3,The WHO has been more effective at fighting the coronavirus than Trump has. No wonder he hates it. - The Washington Post ,Coronavirus: Cancelled flights refund refusals slammed as 'completely unacceptable' https://www.euronews.com/2020/04/29/coronavirus-cancelled-flights-refund-refusals-slammed-as-completely-unacceptable,"At present, we are weeping at the loss of 175 people, while you Brits have 38,161 deaths from #coronavirus #COVID19 #Greece #COVID19greece"
4,"#Merck&amp;Co moved to bolster the global fight against the #coronavirus, unveiling plans for a #pill to #treat the infection &amp; 2 #vaccines to #prevent it, though a top executive cautioned it may take longer than expected to deliver a vaccine and make it available globally #COVID19",GREECE ENTERS THE SECOND STAGE OF THE PREVENTION PLAN OF CORONAVIRUS PANDEMIC https://www.bloglovin.com/blogs/ellwed-19143427/greece-enters-second-stage-prevention-plan-7447365545 on @bloglovin,"We can afford to close to #Covid19UK, as well as to any other heavily infected country, since we have been sacrificing A LOT for three months, so as to have no more than 175 deaths and only 2 new cases. #coronavirus #Greece"
5,"Trump should be out from Office right now, Obama was much better. He could defeat the Coronavirus in the US, just like he did with Ebola and H1N1. He could also put a new law to the Law Enforcement, every cop should go to the doctor for Mental or if they hate black people..",VA defends use of unproven drug on veterans for coronavirus ,"Greece #Coronavirus ~ 7 new cases, no deaths in the last 24 hours. It's still with us . . . "
6,"Stavros Niarchos Foundation Cultural Centre cancels all #carnival and Clean Monday events, due to the new #coronavirus http://www.amna.gr/en/article/434972/SNFCC-cancels-all-carnival-and-Clean-Monday-events #Greece #COVID19 #COVID19Greece #SNFCC","#News #AMD #Computing AMD bullish on Xbox Series X, PlayStation 5 sales despite coronavirus http://dlvr.it/RVjhh8",British Airways plane from Hong Kong on lockdown due to coronavirus fears http://dlvr.it/RP4pj4
7,"8The New Yorker Slaps Donald Trump With Sarcastic Coronavirus Cover https://news.yahoo.com/new-yorker-cover-donald-trump-coronavirus-080349799.html?soc_src=community&soc_trk=tw … via @Yaho
",#News #Apple #Computing Apple Maps adds coronavirus testing sites for entire U.S. ,"Coronavirus declared ‘global health emergency,’ with man in Thessaloniki being tested for the virus https://greekcitytimes.com/2020/01/31/coronavirus-declared-global-health-emergency-while-man-in-thessaloniki-is-being-tested-for-the-virus/"
8,RT @AFP: #UPDATES Eleven residential estates in south Beijing are locked down due to a fresh cluster of #coronavirus cases linked to the ne…,"How coronavirus will change the US, from where we live to the way we connect via @csmonitor",I used to spend a lot of time reading/listening to info on conspiracy theories. I always try to keep it at arms length & be skeptical. But wow do the current actions around calling Covid19 a hoax &amp; our system being setup so poor people have no options fit into some of the worst.
9,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",White House Gift Shop Selling Coronavirus Commemorative Coins - https://www.tmz.com/2020/04/29/white-house-gift-shop-selling-commemorative-coronavirus-coins-covid-19-trump/ #starbuzz,#BoycottChina Don’t buy anything”Made in China”... These people are completely DERANGED!!!!!! Dangerous for the whole humanity as proven #COVID19 
10,"RT @UNICEF: ✋ ""Tadaaaaaa!"" 🤚

Two-year-old Natalie shows us how fun handwashing can be at her home in South Sudan as she protects herself f…","#CoronavirusGoodNews: (1) #Cambodia, one of the poorest countries in the world, has largely been spared from the #Coronavirus pandemic. The strict measures it took at the borders, ports &amp; airports also played a role. https://www.worldometers.info/coronavirus/country/cambodia/",Chinese report says illnesses may be from new coronavirus http://dlvr.it/RMhbYq pic.twitter.com/sdxUgRUGak
11,"RT @Jwheels_74: Trump said open America up, even though he knew #COVID19 was still an issue. 

Some Americans chose to listen to that fucki…",Coronavirus live news: deaths surge in Brazil and Russia as Trump says US is quitting WHO http://greeceoutsidein.blogspot.com/2020/05/coronavirus-live-news-deaths-surge-in.html #Greece #news,"Say ""hello"" to the health scare of 2020:

Three U.S. Airports to Check Passengers for a Deadly Chinese Coronavirus https://nyti.ms/2G0j1Os "
12,PLEASE do not start WW3 Dave. The world isn’t ready.,BBC News - Coronavirus: South Korea closes schools again after biggest spike in weeks ,#Contagion Hits Top 10 on #iTunes Movie Chart Amid #Coronavirus Outbreak | #StevenSodergergh's #SciFi thriller — about a #China-born virus that goes global — opened in cinemas nearly a decade ago  https://www.hollywoodreporter.com/rambling-reporter/contagion-hits-top-10-itunes-movie-chart-coronavirus-outbreak-1274163 …pic.twitter.com/yeFUIEPkIk
13,"My brother's answer ""the Coronavirus experience proves how important our votes in general elections are. All this makes me think how important my vote to Mitsotakis was""

So true...",How Sweden wasted a ‘rare opportunity’ to study coronavirus in schools ,"Wuhan coronavirus: How a virus impacts the economy and markets
https://reut.rs/2tEpfkk  /via @Reuters"
14,,"It took me days of thinking, but at last found the The definition of CoronaVirus The British one #coronarvirus #coronavirus #κοροναϊός #κορονοιος #Κινα #meganandharry #royalcrisis","Worried about the new coronavirus? Here's all you need to know about it: 

https://www.dw.com/en/everything-you-need-to-know-about-the-new-coronavirus/a-52102486?maca=en-rss-en-all-1573-rdf …"
15,,#Greece's Communist Party (#KKE) demands from the government to take all the needed measures for the prevention and treatment of the #Covid19 effects. #Coronavirus #Coronavid19 #Grecia @WHO,"The Wuhan coronavirus has killed 81 people and infected more than 2,800. Here's everything we know about the outbreak. https://www.businessinsider.com/china-virus-everything-we-know-deadly-2019-ncov-wuhan-spread-2020-1?utmSource=twitter&utmContent=referral&utmTerm=topbar&referrer=twitter … via @businessinsider"
16,,"2/3 ...minimise the spread. Imagine, globally to ground all #airliners/#airplanes with such (#CoVid19) cases! The #AirTransport industry will not withstand the financial results of #grounding part of the fleet for long. Several #airlines will gone bust with such treatment. So...","@Vkikilias #Coronavirus is infectious during its incubation period of one to 14 days. Without symptoms, a person may not know they have the infection, but still be able to spread it. So #ThermalCameras are useless 
Anything else you care to propose?"
17,,"Update: Cluster of pneumonia cases associated with novel coronavirus – Wuhan, China – 2019 https://www.ecdc.europa.eu/en/news-events/update-cluster-pneumonia-cases-associated-novel-coronavirus-wuhan-china-2019 …",Chinese authorities share FIRST PHOTOS of deadly coronavirus https://www.rt.com/news/479057-chinese-authorities-share-coronavirus-photos/ …
18,,Transcript of 2019 Novel Coronavirus Response Telebriefing | CDC Online Newsroom | CDC https://www.cdc.gov/media/releases/2020/t0117-coronavirus-screening.html … via @CDCgov,"You’re scared of the coronavirus? Wait until you hear about the influenza virus. 15 million cases and over 8,000 deaths in the US alone this flu season. "
19,,"China's coronavirus cases likely grossly underestimated, study says
 https://edition.cnn.com/2020/01/18/asia/china-coronavirus-study-intl/index.html …","Media report: GREEK tourism ""immune"" to coronavirus crisis for now http://greeceoutsidein.blogspot.com/2020/01/media-report-greek-tourism-immune-to.html … #Greece #news"
20,,Coronavirus: First U.S. case confirmed in Washington state - The Washington Post https://www.washingtonpost.com/health/2020/01/21/coronavirus-us-case/ …,Royal Caribbean bans Chinese passport holders from cruise over coronavirus fears https://ift.tt/2vjaFPx 
21,,I guess none of the commenters got the coronavirus reference (no offense).,"I won't believe it till I'm there, either!! First the stress (& extra expense) with the date change, and then this coronavirus . . Ugh!! "
22,,#TeoKanistras • http://teokanistras.gr  • Chinese Startup Donates $14K to Fight Coronavirus While Launching a Blockchain Data Platform https://www.teokanistras.gr/chinese-startup-donates-14k-to-fight-coronavirus-while-launching-a-blockchain-data-platform/ …,"Li Wenliang: the 34-year-old doctor was one of the 8 ‘whistleblowers’ who tried to warn his colleagues about the Wuhan virus outbreak, but was censored and reprimanded by local police for making “false comments""  #CoronaOutbreak #coronavirus
https://www.whatsonweibo.com/distrust-and-despair-on-wechat-and-weibo-after-death-of-wuhan-whistleblower/ …"
23,,Chen Quishi demonstrates signs of affinity through his citizen journalism by connecting the audience emotionally with those suffering from coronavirus in China. These patients weren’t treated fairly. @KarenERiggs #MDIA4120A,"On account of the large number of coronavirus cases in China, now in excess of 44,000, all shipmanagers contacted by @Splash_247 have for now suspended all crew changes at Chinese ports, medical emergencies excepted #China #Crew #Shippinghttps://splash247.com/crew-movement-caught-up-in-coronavirus/ …"
24,,Ryan Eggold Says Coronavirus Could Make Its Way Into 'New Amsterdam' - https://www.tmz.com/2020/02/17/ryan-eggold-coronavirus-new-amsterdam-doctor-max-goodwin/ … #starbuzz,Chinese film director #ChangKai and family die from coronavirus https://www.theguardian.com/world/2020/feb/18/coronavirus-kills-chinese-film-director-family-wuhan-covid-19 … #Coronavirus #COVID19pic.twitter.com/6zKrgqWQoG
25,,"Whenever I see or hear headlines about the coronavirus, it feels like the prologue of every post-apocalyptic virus movie I've ever seen.",Nobody is talking about the Wuhan class 4 Virus storage experimental laboratory. The largest lab in China and the only one that can hold the CoronaVirus.
26,,"Love Alex Azar’s upbeat, commercial-like tone of voice as he delivers worst case scenarios for the  coronavirus.","The #CoronaVirus outbreak in Italy is now getting serious.

- 79 infected.
- 18 in intensive care.
- 2 dead.

Sporting events are being canceled.

50 000 under lockdown

People not allowed to leave or enter outbreak areas.

#Italy #coronaviruswuhan #coronoaviruspic.twitter.com/EtZmfJu55x"
27,,RT @gtpgr: Phāea Resorts to Open its #Hotels on #Crete in July https://t.co/mbNAAu3Tm7 @BluePalaceCrete @aaasb54 #bluepalaceresort #cretanm…,"#BREAKING: #Italy to put 11 towns, 50,000 people, under lock down due to #coronavirus outbreak

#coronovirus #WuhanVirus #Chinapic.twitter.com/KoSOaHSKnS"
28,,"#Greek PM @k_mitsotakis visits ancient Acrotiri on Thera / Santorini, to inaugurate the reopening of  #tourism. Fli… https://t.co/ZYH6sGSuOP",RT @WenwenWang1127: The #coronavirus situation becomes severe again in #Beijing. My community resumes testing temperature of residents agai…
29,,"RT @JTPsaropoulos: #Greek PM @k_mitsotakis visits ancient Acrotiri on Thera / Santorini, to inaugurate the reopening of  #tourism. Flights…",I think this signals the #Tories are worried about #Covid19 backlash and are looking to build their 'rogue scientis… https://t.co/b429iueZD5
30,,"Sweden is the only country in Europe to have a #COVID19 14-day incidence rate higher than 100 cases per 100,000 pop… https://t.co/46GEuUMm4Z","RT @Laurie_Garrett: Last night on @maddow I had the chance to lay out where this #COVID19 crisis was back in February, where the #pandemic…"
31,,"RT @baphometx: Sweden is the only country in Europe to have a #COVID19 14-day incidence rate higher than 100 cases per 100,000 population…",RT @MusafirNamah: Two America's Cup teams have been granted permission to enter New Zealand despite the country’s strict restrictions on no…
32,,"Flor was hospitalized with #COVID19 for 62 days, so he knew the bill would be a doozy. He was unconscious for much… https://t.co/tqqS3PoH24","RT @YourAnonNews: Yesterday, there were 140,927 new cases of #COVID19 and 4,603 additional deaths were reported in the past 24 hours.

This…"
33,,"RT @georgia_nakou_: #Greece went lignite-free for 8 days in April, with renewables supplying 44% of the electricity mix as industry powered…",RT @HFI1995: Distribution of food packs for #refugee families in #Athens struggling through the impact of #COVID19 in #Greece https://t.co/…
34,,The latest The Pixel-perfect Daily! https://t.co/tIe6An6Cdy Thanks to @sandman_gr @chriscoyier #wikileaks #covid19,"RT @UNDP: ""Women &amp; #genderequality must be front &amp; center in order to achieve the #ClimatePromise and #BuildBackBetter from crises such as…"
