,Positive,Neutral,Negative
0,23,Sweden Represents Model To Battle Coronavirus ,9
1,I don’t understand why people are still getting the coronavirus??? Like just drink Dos Equis instead tf,Riots beat Coronavirus??????,"Because so far no one condemns Mr. Jinping's government?  It cannot be that they are always cowards watching worry about Humanity with coronavirus.  They've been saving their skin by saying number of their cases, that's why it exists and evil will not be punished"
2,"RT @RathalosSays: Stay healthy, Hunters. #MonsterHunter #COVID19 https://t.co/UiSVgEuX03",Y’all gonna get the coronavirus smh,Damn I knew Coronavirus was going to be bad for the stock market but holy shit this is way worse
3,RT @MayoClinic: How much protection do face #masks offer? Can face masks help prevent the spread of #COVID19? For the answers: https://t.co…,1st case of coronavirus from China confirmed in U.S. https://on.msnbc.com/38wh6xh ,RT @GlobalVectorHub: #Singapore: Worst #dengue outbreak for 7 years linked to #COVID19 https://t.co/z1nSsNZYYb
4,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…",Do math bro. That's info of more than 100 days. Coronavirus has killed 170 in 15 days,RT @MayoClinic: How the COVID-19 virus (SARCoV-2) affects the lungs: When the #COVID19 virus enters the airway it can cause inflammation an…
5,"RT @Nick_Castillo74: In case you’re wondering what the curve in Hays County looks like, @coltonash made this graphic: https://t.co/6535YhXA…","RT @ScienceMagazine: A new off-label observational study suggests that the FDA-approved drug acalabrutinib, already used to treat several B…",
6,RT @XHNews: Beijing's major wholesale market has been suspended after personnel working there tested positive for #COVID19 https://t.co/056…,Accurate death certification related to coronavirus disease 2019 (COVID-19) is vital to understand the extent and p… https://t.co/M8oWwzS7LH,
7,"RT @WHOAFRO: Over 222,000 confirmed #COVID19 cases on the African continent - with more than 101,000 recoveries &amp; 6,000 deaths. View countr…","RT @AFPphoto: #Coronavirus #COVID19 #Guatemala
Women's national football team player Gloria Aguilar trains on her rooftop in Guatemala City…",
8,RT @rubenbecerrasr: #COVID19 Update: 99 new confirmed positives today @hayscountygov. 69 of them in the 20-29 year old range and 80 of the…,"RT @AFPphoto: #Coronavirus #COVID19 #Guatemala
Women's national football team player Gloria Aguilar trains on her rooftop in Guatemala City…",
9,I’d like my coronavirus dressed with a lime and beer salt please,What countries have been affected by the Novel coronavirus? How many cases are there in China? Real-time updates on the number of cases worldwide. https://infographics.channelnewsasia.com/covid-19/map.html … vía @ChannelNewsAsia,
10,"The more I think about not touching my face, the more I feel like MUST TOUCH FACE!
#coronavirus",,
