,Positive,Neutral,Negative
0,39,BAN ANIMAL EXPERIMENTS!! Coronavirus: Monkeys 'escape with COVID-19 samples' after attacking lab assistant | World News | Sky News ,24
1,"I am in love with #Taiwan too
 😊   And you?
#Ilha #Formosa #beautiful #island",Number Of Coronavirus Cases Skyrockets In China | NBC Nightly News https://youtu.be/oZR25h0XAFc @YouTube által,Fans return to Hungarian football after #coronavirus lockdown w 4th seat social distancing restriction @AFP @AFPphoto @afpattila #dvtk #mezokovesd #miskolc
2,Can't deny that the current situation is pretty much a gold mine for the media right now. #demand #profit #media #coronavirus,"On a positive note, coronavirus concerns caused my building manager to clean/sanitize the public spaces.",Thousands queue in Hong Kong desperate for masks amid coronavirus outbreak https://youtu.be/z1oQJECRjuI @YouTube által
3,Hi @WorldBank thank you for your incredible commitment to help protect the world’s poorest against coronavirus. As a @GlblCtzn I believe that everyone should have access to the healthcare systems they need so that we can #DefeatDiseaseTogether,Doctors rush to coronavirus epicentre as airlifts of foreigners begin https://youtu.be/A6Aqe-Q5MeY @YouTube által,Coronavirus outbreak: South Korean officials head to Wuhan to evacuate c... https://youtu.be/wCO40CKqWP8 @YouTube által
4,Coronavirus: Doctor explains the proper way to wash your hands and put o... https://youtu.be/A4qwCWwC-Oo @YouTube által,Coronavirus: Russia closed its far-eastern border with China - BBC News https://youtu.be/_UsYMVK7FVQ @YouTube által,Breaking: WHO declares global emergency for coronavirus outbreak https://youtu.be/lZvRamf8r_I @YouTube által
5,Scientists are working fast on the novel coronavirus disease #COVID19 #SARSCoV2. Our automatically updating collection has picked up 69 articles in the last two days. Note: Preprints have not undergone peer review. https://www.scienceopen.com/search#collection/69cf75fa-43dd-4518-b21d-8cc3a478fae1,"#masamb2020 Due to uncertainties regarding COVID19, we plan to extend the abstract submission and registration deadlines. For recent updates, or if you have questions about the event, please use #masamb2020 or email ssolo@elte.hu!",Coronavirus: Death toll rises as virus spreads to every Chinese region -... https://youtu.be/6vHEJL-RVMk @YouTube által
6,Coronavirus: Doctor explains the proper way to wash your hands and put o... https://youtu.be/A4qwCWwC-Oo  @YouTube által,Number Of Coronavirus Cases Skyrockets In China | NBC Nightly News https://youtu.be/oZR25h0XAFc  @YouTube által,How residents in China are dealing with the deadly coronavirus outbreak https://youtu.be/WgmoE4w9Y8Q @YouTube által
7,Latest #LinkedIn Hiring Data Shows Signs of Recovery in Several Regions https://t.co/Jsw4RplywT via… https://t.co/4GIKifHKTF,Doctors rush to coronavirus epicentre as airlifts of foreigners begin https://youtu.be/A6Aqe-Q5MeY  @YouTube által,Thousands queue in Hong Kong desperate for masks amid coronavirus outbreak https://youtu.be/z1oQJECRjuI  @YouTube által
8,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…","RT @jessica992599: https://t.co/pR3eXk4lB6

Hope this might help many individuals out there

Join us: https://t.co/TyENNdMZMb

#COVID19 #Co…",Coronavirus outbreak: South Korean officials head to Wuhan to evacuate c... https://youtu.be/wCO40CKqWP8  @YouTube által
9,"RT @ProgPost_FEPS: to make #finance work for the people and the planet, it needs to be understood as a #publicutility, the same way as a se…","RT @AhammerAlex: Yes, we – @HallaMartin, Mario Lackner, and me – also wrote a #COVID19 paper. Ever wondered how much mass gatherings actual…",Breaking: WHO declares global emergency for coronavirus outbreak https://youtu.be/lZvRamf8r_I  @YouTube által
10,"RT @Southcom: Supporting our neighborhood: To date, #SOUTHCOM’s Humanitarian Assistance Program has facilitated 85 donations of Personal Pr…",RT @CollinYourbs: Here's an Arizona ER physician with experience treating #COVID19 in New York. If you're not paying attention after readin…,Coronavirus: Death toll rises as virus spreads to every Chinese region -... https://youtu.be/6vHEJL-RVMk  @YouTube által
11,"Hi @eucopresident @vonderleyen the @WHO @DrTedros urgently needs at least USD $675 million to fight #COVID19. Will you and all @g20org states please step up and release much needed funds for #coronavirus response efforts? Together, we can beat this pandemic and keep the  safe.","To fight coronavirus, @WHO and @DrTedros urgently need at least USD $675 million in new funds. @francediplo @minsolisante please release €€€ from  to help beat this pandemic as soon as possible.",How residents in China are dealing with the deadly coronavirus outbreak https://youtu.be/WgmoE4w9Y8Q  @YouTube által
12,"The New York Times: Trump Now Claims He Always Knew the Coronavirus Would Be a Pandemic.
https://www.nytimes.com/2020/03/17/us/politics/trump-coronavirus.html …

via @GoogleNews",,"mfs who quickly jump on the racist train after the corona virus broke out, come by, lemme sneeze on you"
13,,,"""We are now concerned that a wave of infections will carry a second round of economic implications""
#coronavirus… https://t.co/kTHF5vnpFq"
14,,,"RT @MayorofLondon: We all have a responsibility to slow the spread of #COVID19. That includes wearing a face covering in public. 
 
You can…"
15,,,"Creating and spreading fake news is a crime here in Hungary, as such, Police must investigate this outrageous case!"
16,,,"Yes, it's still in minus, compared to the end of 2 weeks before. He said, that it is a rollercoaster. Coronavirus hit hard, but today was very positive. But I would be careful with the next 1-2 months (hopefully they will sell lots of Model Ys)."
17,,,"Dean Koontz; His novel ""The Eyes of Darkness"" written in 1981 has mentions of coronavirus that attacked China in 2019 and it even specifies that ""a virus similar to pneumonia will spread in 2020 China“"
