,Positive,Neutral,Negative
0,63,"#DrHabib_Review @JPN_PMO Japanese Prime Minister Shinzo Abe suggested his readiness to consider a proposal that introduces a school year beginning in September, amid the novel coronavirus pandemic in the country. https://www.arabnews.jp/article/japan/article_13829/",44
1,'Possible Breakthrough': Oxford Scientist Says Coronavirus Vaccine Could Be Ready Within Months ,The fact is that Bayern fans are waiting for the club to announce Leroy Sane more than wanting the coronavirus pandemic to be over.,Belarus continues to refuse to succumb to the black death which Team Hysteria promised us would befall anyone who didn't commit economic suicide according to the @WHO's instructions. Millions take part in Belarus civic labor day amid coronavirus 
2,So coronavirus can spread although people can be asymptomatic. great great,Lebanese twitter: Exposing and drama unfolding Me: yeah well Messi scored and we won 5-0 also one of my favs transferred to another team I also need to keep hear people telling me how lucky I am that I came back to Lebanon before the Corona virus spread. I'm so irrelevant,"It is officially a ""public health emergency of international concern."" World Health Organization Just Declared Coronavirus a Global Health Emergency https://www.the961.com/news/world-health-organization-just-declared-coronavirus-a-global-health-emergency #WHO #coronarvirus #coronavirusPH #WorldNews #LatestNews #Lebanon"
3,Since Corona #COVID19 is almost everywhere businesses should push for teleworking ie. work from home and for that @MicrosoftTeams is the solution to go to in order to keep the business running while employees are safe... #Microsoft,Zero health literacy!!! #CoVID19 ,2020 so far: Australian Bushfires WW3 Mona doesnt have cancer Coronavirus is declared a global emergency Kobe Bryant died in a crash
4,"In a study of 1,014 patients published today in @radiology_rsna, chest CT outperformed RT-PCR lab testing in the diagnosis of COVID-19. ""For patients with negative RT-PCR tests, more than 70% had typical CT manifestations."" #coronavirus #COVID19 ",Remdesivir previously used in ebola is now being tested for #COVID19 fingers crossed this works. In other news the CDC diagnostic criteria has been updated. https://www.cnn.com/2020/02/27/health/us-cases-coronavirus-community-transmission/index.html,"PLEASE STOP THINKING THE #COVID19 IS A CONSPIRACY!!! Viruses are part of nature, we will always have new mutations come up. It's not what you eat, nor politics, nor anything. A virus doesn't care who you support politically or your religious zealotry..."
5,Wash your hands with @jimmykimmel. Very informative and cool video #handwashing #CoVID19 @HishamBahmad @hadito13 @aliaadani @KBadd @adib_elio @kboudargham,#China gets #backtowork — sort of — as number of new #COVID19 cases wanes : https://on.mktw.net/2Tro9RV #CoronaVirusUpdates,#WHO Raises Global Risk of #Coronavirus from ‘High’ to ‘Very High’ https://bit.ly/2PykXmu #COVID19 #Health
6,"US to evacuate Diamond Princess passengers, as global coronavirus cases top 69,000 https://cnn.it/3bFr1mh ","Corona-virus awareness video for children, by UNICEF Lebanon #lopbeirut #coronavirus #covid19 #physician #order #lebanon #liban #beirut #beyrouth #طبيب #الصحة #الصحة_العامة #طب #نقيب_الاطباء #بيروت #لبنان",13.7% death in #Iran #COVID19
7,#lebanon #airport fully equipped my mum ... Especially since less than 24h ago a first case was reported in plane from #iran... better safe than sorry right ?! #beirut #coronavirus #COVID19 #btc #bitcoinpic.twitter.com/LASLRcHAkS,Will coronavirus cause a China growth slowdown? https://buff.ly/2Rzhcyf ,new corona virus outbreak in China https://twitter.com/DrTedros/status/1216113329023877122 …
8,"I feel like by the end of next week, there will be more than 40 coronavirus cases in Lebanon due to some political reasons that is apparently prior to the Lebanese people's health.",catch coronavirus not feelings,"It is officially a ""public health emergency of international concern."" 
World Health Organization Just Declared Coronavirus a Global Health Emergency
https://www.the961.com/news/world-health-organization-just-declared-coronavirus-a-global-health-emergency … #WHO #coronarvirus #coronavirusPH #WorldNews #LatestNews #Lebanon"
9,RT @AFP: #UPDATES Eleven residential estates in south Beijing are locked down due to a fresh cluster of #coronavirus cases linked to the ne…,"Chinese authorities confirm human-to-human transmission of new coronavirus
#China #Beijing #Hong_Kong #ASIA #USA #Coronahttps://www.mideastdiscourse.com/2020/01/21/chinese-authorities-confirm-human-to-human-transmission-of-new-coronavirus/ …",The #Coronavirus has been spreading rapidly as different nations have been confirming cases on a daily basis. Will these affected countries be able to deal with this virus or what? This truly is a global threat! https://twitter.com/spectatorindex/status/1221939029815377926 …
10,Just filled this survey 👇🏻 and I invite all my family medicine colleagues to do the same. Important to understand h… https://t.co/6L4qkxONCs,"While what's going on with China is very frustrating to know about, let's keep in mind that the Coronavirus has infected at least 10 countries with cases and casualties still being reported all over the world. Instead of using your religion to gloat, use it to ask for protection pic.twitter.com/G2Eg7XF6hj","China confirms 41 deaths as coronavirus spreads to multiple countries
https://cedarnews.net/?p=173145 
#عاجلpic.twitter.com/t3JlexEgpC"
11,"Coronavirus Will Change How We Shop, Travel and Work for Years  https://www.bloomberg.com/news/articles/2020-03-13/coronavirus-will-change-how-we-shop-travel-and-work-for-years …",Leading US health experts predict coronavirus could kill 65million https://www.dailymail.co.uk/health/article-7925475/US-health-experts-predicted-coronavirus-kill-65million-people-year-THREE-months-ago.html?ito=amp_twitter_share-top … via @MailOnline,everyones so scared of the corona virus the streets and the malls are empty 
12,"It’s spreading, please STAY AT HOME, we can defeat it only if we stay at home!! #coronavirus #كورونا_لبنان #كورونا","Coronavirus Fears Drive US Markets Down More Than 600 Points

#USA #Trump #washington #China #Beijing #Hong_Kong #Coronahttps://www.mideastdiscourse.com/2020/02/01/coronavirus-fears-drive-us-markets-down-more-than-600-points/ …","And the #Hezbollah backed gov. in #Lebanon still refuses to ban travelers from #Iran. Pressure should be applied by #WHO & western countries on the Leb government to prevent it from killing its own citizens. 
#coronavirus #COVID19 #China #Wuhan #CoronavirusOutbreakhttps://twitter.com/HadiNili/status/1230880508525060096 …"
13,Quebec Premier Legault ‘happy’ with Trudeau’s measures to slow down coronavirus https://www.canadavoice.info/quebec-premier-legault-happy-with-trudeaus-measures-to-slow-down-coronavirus/ …,"Reuters: #Russia reports 8,706 new #coronavirus cases in past 24 hours (versus 8,987 new cases on previous day)","CORONA VIRUS   First case reported in Lebanon  Watch Dr. Georges Juvelekian being hosted by Al Arabiya television, talking about this Global Epidemic and how to contain Coronavirus spreading on the following link: https://m.youtube.com/watch?feature=share&v=HU-79urCPO0 …"
14,,#COVID19 is a serious disease and all people living with #HIV should take all recommended preventive measures to mi… https://t.co/7C2ZnqlcqF,"#BREAKING Italy's #coronavirus infections jump to 79, including two deaths, says official. #COVID19italia #CoVid19"
15,,RT @ZhaLiyou: Defeating unprecedented #COVID19 demands companies/firms of their highest business ethics &amp; moral standard which we couldn't…,"#Covid19 ➕ economic crisis
=
a lethal combination to overcrowded camps and their surrounding communities.

👇In Wave… https://t.co/th9qbvlwdn"
16,,"What is the artistic answer to  #covid19 meets #BlackLivesMatter 
Atlanta based Artist 
https://t.co/23nvy0TUFO","#Lebanon's health minister to Central Bank governor: ""People are dying from their stolen or robbed money (they can'… https://t.co/X1qnCOITrW"
17,,My weekly #COVID19 update for the #MENA region (this week it is the changes in two weeks so please remember that wh… https://t.co/99Ijn2rhAm,"RT @UNJanKubis: Here in #Lebanon the message is the same. We are all worn out by conflict, difficult living conditions and global pandemic.…"
18,,Big Story: Unbelievable! Asymptomatic patients need no isolation ... A complete U turn by WHO. After destroying the… https://t.co/FW0NXHLeOT,"Unsafe #food containing harmful bacteria, viruses, parasites or chemical substances can cause 200+ diseases❗️

Vend… https://t.co/X3TD0tdmQY"
19,,"RT @FIABCI: ""Make no mistake: the way we design cities will change."" 🏙

Have you read FIABCI World President 2019-20 Walid Moussa's piece o…",RT @DavidNFBell: My version of the @d_spiegel relative risk calculation for Scotland using @NatRecordsScot data (16 Mar - 7 June). Massive…
20,,...than why is #vicepotus in charge of this message? #coronavirus,"RT @ahmedvision1: The economic hardship resulting from #COVID19 (income loss, unemployment, job instability, lack of social service)  is ca…"
21,,"https://www.tradingview.com/x/RYlDJl4K/ 
Well this is a chart where there are no institutional order flow,  who could imagine looking at a Corona virus chart","RT @AbraarKaran: This one stuck out: a gym goer told another that they weren’t a believer in physical distancing. 

The response: “I am a b…"
22,,"https://www.tradingview.com/x/RYlDJl4K/ 
Well this is a chart where there are no institutional order flow,  who could imagine looking at a Corona virus chart",Here’s what a socially distanced protest looks like.. #COVID19
23,,,"To keep #Siamak hostage in Evin the midst of a #coronavirus outbreak and without access to testing or even basic medicines constitutes cruel, inhuman, degrading treatment in violation of Iran’s obligations under the Convention Against Torture #FreeTheNamazis @JZarif @StateDeptpic.twitter.com/cF13GGl2HO"
24,,,"when you are not the one getting affected by the coronavirus or losing a family member/friend because of it, of course it would sound dumb to you. https://twitter.com/elonmusk/status/1236029449042198528 …"
25,,,"#CoronavirusOutbreak compared to other viruses. The main significance and fear of corona virus over others is the presence of whatsapp, twitter and facebook... pic.twitter.com/dxVJO47jrd"
26,,,"Italian flatmate: I'm going to cancel all my travel plans for Spring Break. I'm a bit ashamed about how little I knew regarding coronavirus and the wrong things I promoted.

Me: it's ok, we all make mistakes. I would appreciate if you stop being an imbecile 24/7."
27,,,Donating 15 million  to every person who tell us about a corona virus case. 
