,Positive,Neutral,Negative
0,54,Boy Who Made Bowties for Animals Now Making Masks for Coronavirus | http://PEOPLE.com,129
1,"@realDonaldTrump - Sadly, here we go again. If there can be a curfew for the Coronavirus &amp; valid curfew needs to happen at this point to help eliminate the present chaos. Meaning no one out unless going to &amp; from work etc. Violence needs to be shutdown. Arrest the crooks. ",10 things to know about coronavirus for today ,"In a new episode of Families and Caregivers during Coronavirus, Dr. Jennie Peterson talks to @NicoleMidwife about pregnancy concerns during #COVID19"
2,Sending well wishes to @VelVelHoller. Hope your staying safe through this quarantine time. #StaySafe #coronavirus ,"Fire Departments Face Funding, Staff Challenges Amid Coronavirus Pandemic https://conduitstreet.mdcounties.org/2020/04/29/fire-departments-face-funding-staff-challenges-amid-coronavirus-pandemic/","""U.S. coronavirus death toll is far higher than reported, data suggests"" "
3,Coronavirus as spread throughout the Chinese region as it killed at least 213 Human's........ May the almighty Allah protect China,Coronavirus stimulus: Mitch McConnell is gaslighting Democrats in the debate - Vox ,"Democrats just disgrace the American people, I don’t see any outage. Just people going back to jobs to die of the #coronavirus or #COVID19 pandemic but you’re Democratic leaders gave Trillions Wall Street. #WednsdayWisdom #thursdaymorning #ThursdayThoughts"
4,"It could happen, because a lot of American workers are not able to get home from China due to airlines finally shutting down flights going out. No one is saying how long the coronavirus can live on surfaces to infect humans. U.S. imports a lot of goods ""Made in China"".","Has this happened to you? Just When We Think We're Adjusting, We're Hit By A #coronavirus Dip Day - @huffpostuk ""These days of low mood. happen when our longing for normality becomes too much. They exist on a spectrum"" #Moody #Social_Distancing https://tinyurl.com/y9e2ledn","While the new coronavirus, against which there is currently no vaccine, causes global economic chaos, illness and death, there are other serious infections that are too often ignored or dismissed. From The New York Times: "
5,"Thank you so much, Dr. Tirupathi!
How kind of you!

#Wuhan #coronavirus",Yeeeeeees... Jonah Jameson the dick reporter for the Bugle is back! I love it! But I still have to wait for maybe 10 years after #CoronaVirus is over for a new #Spiderman movie. I hate this. #JKSimmons #COVID19 #quarantinelife #MarvelStudios #FarFromHome #nerd #nerdlife,"Obesity is one of the top risk factors for coronavirus death after advanced age. Abrupt cessation of an exercise regimen can provoke depression. But sure, discourage exercise, for “public health.” "
6,"Thank you for the kind words about today's #Coronavirus post @forbes! http://bit.ly/30bpKhy 
Greatly appreciate that.","South Korea closes schools again amid coronavirus spike, days after reopening ",Florida medical examiners were releasing coronavirus death data. The state made them stop. 
7,"The new reports of the novel #coronavirus cases being found in Japan and Thailand perfectly illustrates the need for #pandemic preparedness and the value of an exercise like last month’s #Event201 @CDCgov will now begin screening arrivals from #Wuhan
http://bit.ly/2TyJc6H https://twitter.com/JHSPH_CHS/status/1217464455665049600 …",The coronavirus still has a long way to go. That’s the message from a crop of new studies across the world that are trying to quantify how many people have been infected. From The New York Times: https://bit.ly/36Ir2Ur,Many poor and minority families can't afford food or rent because of coronavirus 
8,Chinese doctors released chest X-rays of a 33-year-old coronavirus patient that show what the illness looks like in her lungs #SmartNewshttps://www.businessinsider.com/doctors-release-chest-x-ray-wuhan-coronavirus-patient-2020-1 …,CDC to resume regular coronavirus briefings after being sidelined by White House ,I’m usually very excited about the US space program and I recognize that this is a huge day for it but I’m sick to my stomach hearing words like “leadership” and “accountability” used in reference to the president at a time when Americans are dying from racism and coronavirus.
9,China is diagnosing coronavirus patients by looking for 'ground glass' in their lungs. Take a look at the CT scans. #SmartNewshttps://www.businessinsider.com/china-coronavirus-diagnosis-ct-scans-lungs-2020-2 …,CVS Pharmacy offers drive-through coronavirus testing | Coronavirus https://www.theoaklandpress.com/news/coronavirus/cvs-pharmacy-offers-drive-through-coronavirus-testing/article_8f8cc848-a1bd-11ea-8fc1-5b7e009b9dec.html #NMAOnCOVID19 #COVID19TestingInOurCommunity #COVID19 #StaySafeAndTest #TestForCOVID,"""World Health Organization declared the coronavirus outbreak in China a public health emergency Thursday"" CNN snowflake @BrandonTensley: ""I know the best way to cover this international emergency"" #Journalism"
10,People don't like quarantines without amenities https://www.youtube.com/watch?v=uBpMXXcXdBg … #Russia #WuhanCoronavirus #Coronavirus #nCoV2019,Dissecting a Disease. Mass. consortium holds inaugural public briefing on efforts to combat COVID-19 #covid #harvard #coronavirus ,Coronavirus spread now a global emergency declares World Health Organization 
11,“The 2nd-largest #economy in world is completely shut down. People aren’t totally pricing that in. It seems like there’s much more to come.” http://cnb.cx/2wKKMZR  #China #Coronavirus #markets #economics #manufacturing #SupplyChains #OOTT #trade #Covid_19 #EconomicSlowdown #Asia,"U.S. consumer confidence stabilized in May, indicating Americans are optimistic that the economic drubbing from the coronavirus pandemic will be short-lived. https://bit.ly/3evnAPS",No doubt the Dems will come out in favor of the Coronavirus now.
12,"South Korean Coronavirus Cases Explode After ""Super Spreader"" Event | Zero Hedge https://www.zerohedge.com/health/south-korean-coronavirus-cases-explode-after-super-spreader-event?utm_campaign=&utm_content=ZeroHedge%3A+The+Durden+Dispatch&utm_medium=email&utm_source=zh_newsletter …",Today in Nigeria was suppose to be the award event was canceled due to coronavirus.,"2019: ""I can't wait for 2020"" 2020: *nearly WWIII *Australia on fire *Corona Virus *Kobe &amp; his daughter *And now Andretti Please no more"
13,"Players and fans like a missing our sport. #Cricket is growing in #Brazil, but international support always helps!… https://t.co/z9LX35TEQ1",OMG you have bat soup ... #SaidNoOneEver #coronavirus,"7,700 people have the virus. 170 people have died from it. Over 90% of those cases, and 100% of deaths, have been in China (which is heartbreaking). The risk of you getting coronavirus or dying from it, you American Twitter user you, is low."
14,"One more day to go, hurry up and take our free poll to share your voice on how #COVID19 is impacting children in Li… https://t.co/KgtvKsMGyA",Trumps get a lot of cheap stuff Made in China. They are a coronavirus epidemic waiting-to-happen.,Rockville cancels Lunar New Year event due to concerns from the community about the coronavirus. 
15,Taking sometime to myself to chill today! Hope this message finds you well. Stay safe! Visit… https://t.co/c5WPp5sTiI,Jack Ma donates £11million to help develop coronavirus vaccine https://mol.im/a/7943737 via @MailOnline,"The #coronavirus or #COVID19 has been labeled by the @WHO as a global health emergency. With prevention practices &amp; community education, the effects of this virus can be lessened. Here's how you can help with coronavirus prevention and response: http://bit.ly/2wR2yKU."
16,"RT @MathematicaNow: To support decision makers, policymakers, and other stakeholders in the fight against #COVID19, we've organized key res…","Girl Y I K E S!!!! The CDC doesn't even recommend wearing masks to prevent coronavirus, first off. That's extremely problematic. ",@DrOz ignorance kills #COVID19 #CoronavirusPandemic
17,7 ways to support high school seniors during COVID-19 https://t.co/i1UklvWXOj #COVID19 https://t.co/zbljEjABTM,"Self-coronated King Donald has decreed that #CDC *Public* health officials shall not speak publicly about #coronavirus without the approval of Pence, who is busy praying. This is America in 2020. #COVID19 #TrumpVirus #TrumpLiesAboutCoronavirus",@DrOz this ignorance about #COVID19 will kill more people
18,RT @JNJNews: #JNJ announces accelerated initiation of its lead #COVID19 vaccine candidate's Phase 1/2a first-in-human clinical trial. Learn…,#Pence and #COVID19. Updated my post http://bit.ly/2Vw8cg0 #censorship,FDA identified 20 drugs with shortage risks due to coronavirus outbreak #coronavirus #COVID19 #CoronaVirusUpdates @MDLinx https://www.mdlinx.com/internal-medicine/top-medical-news/article/2020/02/26/7611407/
19,"Yes, the Coronavirus will likely strike in pretty much every state. I'm telling yall now.","Update and Interim Guidance on Outbreak of 2019 Novel Coronavirus (2019-nCoV) in Wuhan, China
Distributed via the CDC Health Alert Network
January 17, 2020, 2030 ET (8:30 PM ET)
CDCHAN-00426

Summary
The Centers for Disease Control... https://emergency.cdc.gov/han/han00426.asp …","If #coronavirus is a hoax to bring down Trump, the entire must be in on the conspiracy &amp; ppl were either willing to die for him or were used as sacrificial lambs. #TrumpLiesAboutCoronavirus #COVID19US #FridayThoughts #FridayFeeling #COVID19 #PencePandemic"
20,Trump Is Withholding Coronavirus Testing Kits From Governors https://www.politicususa.com/2020/03/08/trump-coronavirus-testing-kits.html … via @politicususa,"nytimeswell: Many in China Wear Them, but Do Masks Block Coronavirus? https://nyti.ms/38AuT5I ","MT @CDCgov does not currently recommend use of facemasks to help prevent novel #coronavirus. Take everyday preventive actions, like stay home when you are sick &amp; washing hands w/ soap &amp; water, to help slow spread of respiratory illness. #COVID19 See: http://bit.ly/37Ay6Cm"
21,I wonder if DEADPOOL would catch the #coronavirus ?   These are the questions that keep me awake.,"""More than 1,370 cases have been confirmed worldwide, the vast majority in #China, and others predominantly across #Asia. However, the #virus…"" http://bit.ly/2U3mzHA  #Coronavirus #travel #health #tourism #economics #CoronavirusOutbreak #Wuhan #WuhanCoronavirus #France #Europe","For an administration that seemed highly concerned about the e-cigarette, or vaping, product use-associated lung injury (EVALI) (COVID19."
22,"Navy Reservist, Miramar Marine Test Positive for Coronavirus; 2nd Marine Under Watch at Camp Pendleton - USNI News
https://news.usni.org/2020/03/12/navy-reservist-miramar-marine-test-positive-for-coronavirus-2nd-marine-under-watch-at-camp-pendleton …pic.twitter.com/AwpYohRDiK","First case of China-linked coronavirus reported in US, federal officials say https://www.foxnews.com/health/first-case-coronavirus-us-seattle …","China demographic details on #COVID19 Cases: 87% in 30-79 age. Only 3% in 80+ Mortality rate *if infected: ~15% in 80+, falling to 1% or less in 0-40 group. Cardiovasc, diabetes, chronic resp are risk factors. Use extra caution accordingly. JAMA: "
23,"@cnn Thank you Martin Savage for another great human interest story. Showing some of the good that is coming from this Corona virus crisis. Keep it coming.  There's plenty more where that came from.

@msnbc ... I'm still waiting to see the same from you.",Source of coronavirus,China pneumonia outbreak scaled back as SARS-like virus found https://www.bloomberg.com/news/articles/2020-01-13/china-pneumonia-outbreak-scaled-back-as-sars-like-virus-found … via @business #Coronavirus #Wuhan
24,"Again, public figures can't get to the mic fast enuf......Rep. Mario Diaz-Balart is first congressman to announce testing positive for coronavirus https://fxn.ws/38YIiEI  #FoxNews","This administration has again made us less safe through petty jealousy, ignorance, and abject arrogance and created an extremely disturbing situation wrt U.S. preparation (READ: horrifying lack there of) for pandemics in general & the coronavirus. Worthwhile read. #WuhanVirushttps://twitter.com/JoyceWhiteVance/status/1223970038471892992 …","New post: #Wuhan #Coronavirus Outbreak Shows The Importance Of Sound Science, Sleuthing, And Cooperation via @forbes http://bit.ly/30bpKhy pic.twitter.com/SxXjtqhnPp"
25,"Cruelty continues: With masks at the ready, #ICE agents make arrests on first day of California #coronavirus lockdown https://www.latimes.com/california/story/2020-03-17/for-ice-agents-its-business-as-unusual-day-after-sweeping-coronavirus-order …",#smurfsquad Ride Home  Coronavirus Is Slowing Down https://youtu.be/5jAZoDeZZyg  via @YouTube,"""Hundreds of patients in #Wuhan who have yet to be confirmed as carrying the new strain of #coronavirus are becoming increasingly desperate as the city struggles to cope with the numbers reporting pneumonia symptoms."" http://bit.ly/2RmOXCV  #China #CoronavirusOutbreak #Asia"
26,"There should like...be a place where people can go to eat their carryout. Then again, I guess that would defeat the purpose of closing restaurants. #coronavirus",Coronavirus just might send interest rates to where I need them to be.,What to Know About the Mysterious Coronavirus Detected in China https://www.healthline.com/health-news/what-to-know-about-the-mysterious-coronavirus-detected-in-china …
27,"This week's transformation vitamin: ""reducing your anxiety of the coronavirus "" "" Healthy Lifestyles"" ; mental & physical well-being. "" Treating the body like the temple God built it to be""! Are you living a healthy… https://www.instagram.com/p/B90FOgoJdxQ/?igshid=tvozb3gghzq8 …","Here’s the segment of the economy that may benefit from fears of coronavirus, analysts say https://www.marketwatch.com/story/heres-the-segment-of-the-economy-that-may-benefit-from-fears-of-coronavirus-analysts-say-2020-02-15 …",Snakes Are The Likely Source of China's Deadly Coronavirus. Here's Why #SmartNewshttps://www.sciencealert.com/snakes-are-the-likely-source-of-china-s-deadly-coronavirus-here-s-why …
28,,Everyone knows that trump didn’t limit and stop immigration from certain regions and countries because he wanted to get “ahead” of the coronavirus.  Come on!,So coronavirus is just that! It’s literately similar to rhinovirus in the sense it can cause the colds that we face in the fall and the winter seasons. The virus can be mild and lead to cold symptoms or as severe as to cause pneumonia. There are different types of coronavirus.
29,,yall we're all gonna get quarantined for the corona virus but i KNOW starbucks is still gonna make my fuckin ass go to work,"@sethmeyers when they talk about the coronavirus on the news, am I the only one hearing BustaRhymes saying ""Wuhan!! Got them all in check""??... yeah, just me. Sorry to disturb..."
30,,"Good idea you halfwitt! Why not just open the border so everybody infected with the corona virus can just walk right on in. 

You're a disgrace to the human race!","Since the outbreak of the coronavirus in January, major brands across virtually every sector of the world economy — from food to fashion to entertainment to technology — have seen their business in China suffer. From The New York Times: http://bit.ly/2SsHn99 "
31,,Let’s not forget he had this to say in 2014 ... and yet 45 thinks VP is the Coronavirus Czar  #TrumpIsAnIdiot #TrumpVirus #TrumpNotFitForOffice #TrumpIsACoronavirusDenier #TrumpIsADisaster #TrumpIsAGlobalEmbarrassmenthttps://twitter.com/realDonaldTrump/status/523237015329193984 …,"Coronavirus: Cats, dogs thrown from apartments over rumours suggesting the deadly virus can be passed on by animals | Catch News #SmartNewshttp://www.catchnews.com/world-news/coronavirus-cats-dogs-thrown-from-apartments-over-rumours-suggesting-the-deadly-virus-can-be-passed-on-by-animals-183891.html …"
32,,Is this wise foresight...or overly alarmist?  Should Coronavirus impact summer travel plans? https://twitter.com/7NewsPerth/status/1231695477227298817 …,Joe Bucks getting the chills so frequently he probably should be checked for the Corona virus.
33,,"RT @TeeTweetsHere: Think #COVID19 #coronavirus is just mild in most people? Let me share this on day 105 of my virus. 🦠 

Researchers are s…","#Coronavirus Live Updates: ""#XiJinping began fighting virus earlier than previously known, a newly published speech indicates"" https://nyti.ms/2SwgPoT  #China #publichealth #quarantine #Covid19 #SupplyChain #economics #OOTT #markets #economicslowdown #economy #travel #Africa #Asia"
