,Positive,Neutral,Negative
0,9,Yesterday #Venice #Italy During #covid19 lockdown #covid19 #Coronavirus #covid_19 #Social_Space #Staying_home #Staying_Alive !!,5
1,For The 5th consecutive day !! NCDC #libya #covid19 tests turned -ve ! Let's hope this trend continues in the next 10 days !! (incubation period) To declare Libya free of #Coronavirus !! Providing that no entries to people without quarantine !! ,20 years long Vietnam war #US casualties vs. 2 months #covid19 casualties !! #covid19 #Coronavirus #covid_19 #Social_Space #Staying_home #Staying_Alive !!,"I’m not sure if things are worse for me now that the coronavirus is here. I’ve been through much scarier times, both in Sudan and in Libya. @UNHCRLibya Locked down in Libya: One refugee’s reflections on conflict and COVID-19: https://www.thenewhumanitarian.org/opinion/first-person/2020/04/29/Sudanese-refugee-Libya-lockdown-coronavirus (@newhumanitarian)"
2,,NCDC: 13 new cases of the Coronavirus registered in Sabha ,"""i thought their name was corona virus"" SKEPPY NOOOO VJFUBVIYFSBVISR"
3,,"#Coronavirus Update by Chinese Nurse in #Wuhan, #China
https://www.youtube.com/watch?v=_7C0cDbqFQE …pic.twitter.com/zW0LSBOhZb",Co-morbid by corona virus
4,,"RT @FezzanLibyaOrg: After the increase of cases in #Fezzan the #GNA has sent only 350 testing swab kits to the region.

This is not enough…","French government to lift travel restrictions on internal European borders on Monday

#218newsenglish 
#coronavirus… https://t.co/NLcYoOK9vk"
5,,RT @CaetanoManfrini: OncoTherad  immunotherapy (MRB-CFI-1) based on activation of TLR4-mediated interferon is a new hope against COVID-19.…,
6,,"RT @lybotics: Hey Teams 🌍🤖
2nd Edition | FIRST eReach Program
Theme: COVID-19 Action. We'll talk about different ways to make an during #CO…",
7,,@Saraalsallak fuck you #COVID19,
8,,No bitch savage mode first coronavirus later https://twitter.com/STNArabic/status/1238848425296265216 …,
9,,No bitch savage mode first coronavirus later https://twitter.com/STNArabic/status/1238848425296265216 …,
