,Positive,Neutral,Negative
0,12,RT @toates_19: Impressive to see that a small group of researchers in East London have managed to look at ethnicity and #COVID19 in both 1a…,16
1,RT @Ianblackford_MP: Memo to @Keir_Starmer it is notable that the Labour first minister in Wales recognises the need to protect jobs throug…,RT @MalawiUNICEF: Don't forget to tune into the live information session on our @unicefmalawi Facebook page to learn more about the UNICEF…,Factbox: New coronavirus outbreak in Chinese city of Wuhan http://j.mp/2TC5GDO pic.twitter.com/NTQWGsj3lG
2,"RT @CELCIStweets: Thousands of people have already signed up to this new, free three hour course, which examines Child Protection Case Mana…","RT @NthaFoundation: We had a brilliant training for the #NyenyeziFellowship Advocacy Cohort today.

@TMapingure | Warm Heart Clinic, Nunga…","eish! iwish, there oz acure to this so called corona virus!"
3,RT @CMAJ: Rehabilitation facilities preparing for #COVID19 crunch as more patients recover: https://t.co/77Eh5qgKjh #cdnhealth @marlabeauch…,"RT @NthaFoundation: We had a brilliant training for the #NyenyeziFellowship Advocacy Cohort today.

@TMapingure | Warm Heart Clinic, Nunga…",
4,"RT @ECLTFoundation: At the @Alliance8_7 Child Labour Task Force of the Alliance for Child Protection in Humanitarian Action webinar, @Colum…","RT @NthaFoundation: We had a brilliant training for the #NyenyeziFellowship Advocacy Cohort today.

@TMapingure | Warm Heart Clinic, Nunga…",
5,"This was so great!
Looking forward to connecting more with the fellows. 
Amazing work @NthandaLManduwi and… https://t.co/FbO5K0oPo0","RT @NthaFoundation: We had a brilliant training for the #NyenyeziFellowship Advocacy Cohort today.

@TMapingure | Warm Heart Clinic, Nunga…",
6,"RT @WorldBank: For the billions of people living in homes without flush toilets, clean water, or electricity, sheltering at home is not eno…","RT @NthaFoundation: We had a brilliant training for the #NyenyeziFellowship Advocacy Cohort today.

@TMapingure | Warm Heart Clinic, Nunga…",
7,RT @Feorlean: You would think these two geniuses might pause for a moment and ask themselves how the U.K. is going to meet the cost of borr…,"RT @NthaFoundation: We had a brilliant training for the #NyenyeziFellowship Advocacy Cohort today.

@TMapingure | Warm Heart Clinic, Nunga…",
8,"RT @PlanMalawi: ""Every child has the right to an education, to develop his or her personality, talents, and mental and physical abilities t…","RT @NthaFoundation: We had a brilliant training for the #NyenyeziFellowship Advocacy Cohort today.

@TMapingure | Warm Heart Clinic, Nunga…",
9,,"RT @NthaFoundation: We had a brilliant training for the #NyenyeziFellowship Advocacy Cohort today.

@TMapingure | Warm Heart Clinic, Nunga…",
10,,"RT @equalitynow: Our Malawi partner @PSGRBlantyre has rescued 43 children from #sexualexploitation, 12 from domestic servitude &amp; others fro…",
11,,"RT @NthaFoundation: We had a brilliant training for the #NyenyeziFellowship Advocacy Cohort today.

@TMapingure | Warm Heart Clinic, Nunga…",
12,,"RT @NthaFoundation: We had a brilliant training for the #NyenyeziFellowship Advocacy Cohort today.

@TMapingure | Warm Heart Clinic, Nunga…",
13,,"RT @Liturgy: 22nd day in a row of no new cases of #Covid in NZ. ""Elimination"" is reached after 28 days (two incubation periods) of no new c…",
14,,Interesting to hear US president @realDonaldTrump saying the Democrats (US opposition) are politicizing #coronavirus. This 'politicizing' virus is not just African.,
15,,OFFICIAL: Serie A has been suspended. #SerieA #Coronavirus,
