,Positive,Neutral,Negative
0,1857,Gt your website i just 50$#Quarantine #Legend #coronavirus ,879
1,Gilead Drug Proves Effective Against Coronavirus in US Study ,Matriculation pass Governor Sindh @ImranKhanPTI’s statement that Sindhis’ are illiterate &amp; while visiting Sindh he got #coronavirus. This is the statement of a very mentally ill person. He has to apologize to the people of Sindh #GovernorSindhMustResign,"""Governor Imran Ismail Blames 'Uneducated’ Sindhi People For Giving Him Coronavirus"" Shame On You"
2,'A drug can block coronavirus': Gilead's remdesivir raises hopes @AJENews https://aje.io/prveq Top US scientist Anthony Fauci says the drug reduced the time it took for some patients to recover by 31 percent.,"I strongly condemn @ImranIsmailPTI statement “People of Interior #Sindh have not been educated about the virus. During my visit, they came very close to me due to which I contracted coronavirus.”Its shocking to see him profile #Sindhis as illiterates blaming them for his #COVID19","#Coronavirus global as on 30/4/20 @3.30PST: Cases: Total: 3,207,543 Recovered: 996,958 Active: 1,982,957 Closed: 1,224,327 Deaths: Total: 227,379 In last 24hrs: 10,362 Most deaths: USA: 61,180(5.8%) Italy: 27,682(13.6%) Spain: 24,275(10.3%) France: 24,087((14%)"
3,I love this man. The way he responded and silenced these Indiots was unexplainable. #coronavirus #IndiaToday,"#Australian Prime Minister #ScottMorrison challenged #China and call to investigate the origins of the #coronavirus Now, it seems the world wants an independent assessment of how all this has happened so that we can learn lessons and prevent their recurrence again."" He added ",https://youtu.be/9uhpb42IDRE In remembrance and for condolences for the people who died due to this #CoronaVirus #Covid19 and #Plan #Crash flying from #Lahore to #Karachi in this #Ramadan. All of my #Prayers are with the families who lost their beloveds.
4,Khyber Pakhtunkhwa Government has launched a toll free e-Razakar helpline to provide relief to the masses and to resolve citizens issues at their doorsteps. KP citizens can dial 1700 to get access to: - Information related to Coronavirus. - Free medical advice @PTIKPOfficial,"FM Qureshi, Norwegian FM discuss coronavirus situation ","May be suffering from coronavirus symptoms, says Abrar Ul Haq http://dlvr.it/RXgd5c"
5,Microsoft launches free COVID-19 tracking app for Windows 10 devices #microsoft #windows10 #COVID19tracker #bing #COVIDー19 #coronavirus ,Corona growth in most parts of the world has been slowing down with general increase in temperatures. Anomalous increases in some cases can be attributed to other factors such as increase in testing. Growth rates are now around 10% and decreasing further. #coronavirus ,"May be suffering from coronavirus symptoms, says Abrar Ul Haq http://dlvr.it/RXgbFl"
6,Khyber Pakhtunkhwa Government has launched a toll free e-Razakar helpline to provide relief to the masses and to resolve citizens issues at their doorsteps. KP citizens can dial 1700 to get access to: - Information related to Coronavirus. - Free medical advice ,Sindh Chief Minister Syed Murad Shah discloses detection of 404 new coronavirus cases In Sindh @MuradAliShahPPP @BBhuttoZardari @SaeedGhani1 @murtazawahab1 @SyedNasirHShah @SeharKamran,CoronaVirus Death Toll Rises In Pakistan |PTI Government Failed On All F... https://youtu.be/noW6nt7YfE8 via @YouTube
7,Sir help the third world countries to eradicate coronavirus like Pakistan's Prime minister ask to forgive the loans taken by third world countries,Coronavirus UK: A THIRD of patients admitted to hospital die http://www.newzdotcom.live/coronavirus-uk-a-third-of-patients-admitted-to-hospital-die/,Sudan's ousted President Omar Hassan al-Bashir has been transferred from prison to hospital with symptoms of coronavirus. 
8,"Amid a surge in the number of Pakistani journalists testing positive to coronavirus, Reporters Without Borders and its partner, Freedom Network Pakistan have compiled 15 recommendations for Pakistani news media so that they can avoid putting their journalists in danger.",Sir please write an article about coronavirus and its with new world order.,"Instead of seeking a cure for the epidemic Corona virus, the United States is sending rockets into space. It now appears to be a synthetic virus developed by the United States itself. #SpaceX #SpaceXDragon #NASA @POTUS"
9,"""Coronavirus: US top infectious disease doctor says drug trial shows 'quite good news'"" #Coronavirus ","Microsoft ups priority on Mute All feature for Teams, coming this quarter #microsoft #MicrosoftTeams #Microsoft365 #Office365 #videoconferencing #coronavirus #COVIDー19","Apple, more than most companies, is likely to lose due to the coronavirus epidemic https://instant.com.pk/2020/01/apple-more-than-most-companies-is-likely-to-lose-due-to-the-coronavirus-epidemic-2/"
10,While if you want me to share the insights of what's going on within the city/country. I would be glad to assist or to support @pid_gov #coronavirus #lockdownpakistan #StayHomeSaveLives,'finance minister said the upcoming budget would be formulated keeping in mind the impacts of #coronavirus pandemic on people &amp; businesses and would aim at mitigating their sufferings.'https://tribune.com.pk/story/2210207/2-finance-adviser-talks-corona-led-budget/ perhaps also invest so pakistan pakistanis are stronger for the future.,Ladies and gentleman Pakistani officials on social media is spreading fake news. They don't even know about the ground reality. Don't let them fool you. I am in wuhan. Different countries are evacuating their students but hey are lying that its not true. #coronavirus #ChinaVirus
