,Positive,Neutral,Negative
0,906,"When Things Really Suck, Feel Your Feelings: Grief, Climate, and Coronavirus a deep and informed conversation with eight women on @citizenscradio - https://petersontoscano.com/suckfeel-feelingsgriefclimatecoronavirus/ @ElizabethaRush",445
1,"From Ukraine to Coronavirus: Trump's Abuse of Power Continues, featuring... https://youtu.be/0c9iaM18r8Y via @YouTube",This should tell you something about this coronavirus shit...: ,How many people do you know have or have had the Corona virus?
2,How Trump is exploiting the coronavirus chaos to hoard power and benefit personally - ,"As of 4/29/20, 7:46pm, EST (US, 1,037,526 total cases) #COVID19 #coronavirus #CoronaUpdate #coronalockdown",The #coronavirus outbreak has had former President Bill Turner busy at his full time job at the Chester County Emergency dept. One of the reasons for reorganization according to VP Jones. @LancasterOnline
3,Michigan doctor charged with fraud allegedly ordered nurses with coronavirus to treat patients ,"From AIDS to coronavirus, one Chester County doctor has seen it all ",#TechnoCool: The coronavirus outbreak means an opportunity for fintech companies - Marketplace #fintech #cryptocurrency #dlt #blockchain #iot #hyperledger #businessblockchain Read More Here:
4,"I wonder if part of his family, maybe Ivanka and one of his kids, caught the coronavirus and died if he would call it a success? I mean, most of his family would still be alive!",USPS Statement on Coronavirus (4/29/20) https://www.21cpw.com/usps-statement-on-coronavirus-4-29-20/ #USPS #APWU #NALC #COVID19,Did we ever get that present from North Korea? Or was it Corona virus ?
5,Judge blocks Trump from giving coronavirus relief for Native American communities to corporations #SmartNews,Conservative Pundit's Hot Take On Coronavirus Lockdown Gets The Slapdown It Deserves https://www.yahoo.com/huffpost/dennis-prager-coronavirus-lockdown-statement-backlash-104039251.html?soc_src=community&amp;soc_trk=tw via @Yahoo,Coronavirus crisis forcing Pennsylvania farmers to euthanize chickens https://www.phillyvoice.com/pennsylvania-farmers-coronavirus-chickens-euthanized-meat-processing-facilities-covid-19/?utm_source=dlvr.it&amp;utm_medium=twitter&amp;utm_campaign=pv-site
6,"Take that, coronavirus! I feel so much better now.",Coronavirus Pennsylvania: House Passes Bill That Would Allow Some Restaurants To Sell Alcoholic Beverages To Go ,"HARRISBURG – While coronavirus deaths in nursing homes mount, state officials have yet to commit to naming which long-term care facilities have been hit by coronavirus outbreaks. "
7,People who have recovered from the coronavirus have a rare chance to get reinfected is very low. In rare incidents people with underlying problems are more than likely reason for reinfection. Stay strong and in the UV light Patriots. Will be redeemed. Thank you God.,The guy playing the President in all the White House coronavirus briefings. ,2 guards at ICE jail die after contracting coronavirus http://a.msn.com/01/en-us/BB13nMbY?ocid=st
8,Man Sings ‘God Bless America’ Every Day To Inspire Neighbors During Coronavirus Lockdown ,Coronavirus NYC: 100 bodies found in unrefrigerated trailers outside Brooklyn funeral home: Police source | http://abc7ny.com,‘A Dramatic Turn For The Worst’: 64-Year-Old Beaver Co. Man Barely Showing Coronavirus Symptoms Dies Of A Stroke 
9,Trump administration to speed coronavirus vaccine development: official http://dlvr.it/RVjqHx,Coronavirus updates: Here’s what to know in Centre County on April 29 ,Russia’s coronavirus outbreak is getting bad. Putin says the worst is yet to come. - Vox 
