,Positive,Neutral,Negative
0,55,this could be us but coronavirus fucked up our world ,15
1,"Honest question: Why don't we test every single PEI resident? Or at least everyone over, say, 5 years old? Would this not be useful? @InfoPEI #covid19 #coronavirus",Wall Street jumps on #coronavirus drug hopes; Fed in focus | Reuters #COVID19 #COVIDー19, come on you gotta be kiddin dudé even myself a heathen heater low life stinky beaner of disney channel marvel cartoons i'd watch this movie in teathers if this slimy corona virus chinese kung flu stop this illuminatis bilderberg's reality show annihiliation 
2,"AWAKE: :No society wants you to be Wise Osho, illustrates us with great truths that today before this pandemic we begin to understand. The Awakening of Consciousness will Begin .... #pandemia #coronavirus #covid19 #quedateencasa #peru #yomequedoencasa",Dr. Greg and Erin Smalley describe how you can see the challenges of the coronavirus pandemic as an opportunity to strengthen your marriage. The Smalleys share insights they've gained that can help you reconnect with your spouse. http://ow.ly/eLO550zrM9R,Editorial: Meat supply fix is a recipe for coronavirus disaster 
3,God is doing some AMAZING things right now! http://ow.ly/VZpF30qBR20 #foundation #victory #forthegood #life #lifegiving #joy #COVID19 #CV #COVID #coronavirus #triumph #bgbg2 #Blogger,BUT WHAT ABOUT CORONAVIRUS!!,statistics of coronavirus infection can be found at this link http://bit.ly/2xjhDFH take care #coronavirus #quarantine
4,Good Job @realDonaldTrump , NEWS ALERT India reports its first confirmed coronavirus case , BREAKING Italy suspends China flights after confirming first coronavirus cases 
5,Hi! Thank you for this very relevant question! This @WHO video explains about #coronavirus #2019nCoV and ways to protect yourself: https://twitter.com/WHO/status/1218229883484155913?s=20 …https://twitter.com/WHO/status/1218229883484155913 …,"Coronavirus will 'help to accelerate the return of jobs to North America,' Commerce Secretary Wilbur Ross says ",Cruise ship passengers test negative for coronavirus following a lockdown 
6,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",From The Economist Espresso: Under observation: the economic impact of coronavirus , NEWS ALERT World Health Organization declares coronavirus outbreak a public health emergency 
7,RT @ISQua: Less than a week to go to our first ever virtual conference. We had the last planning call yesterday. Programme available here:…,Here’s how coronavirus spreads on a plane—and the safest place to sit https://on.natgeo.com/2O8Jttv via @NatGeoScience,Fact-checking coronavirus conspiracies and hoaxes 
8,RT @ILTANet: If a pandemic like #COVID19 ever takes place again will we be prepared? This new #ILTABlog explores what tools the author wish…,"How can #CoVid19 hit migrants? Read but also: Migrants often miss out on important health messages as they don't speak the host community language, don't read the press or watch TV - thus being more exposed to misinformation on SM. http://bit.ly/32yVLkU @newhumanitarian","covid19 is creating panic in the connected people and the markets and governments take measures but what I see is that it is leaving in the sense of changing society and its way of living and throwing ourselves into the arms of new technologies ina first stage, things will change "
9,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…",OMEN! The Devil,Follow this thread by @ZulmaCucunuba on the current scientific events around the novel #Coronavirus #2019nCoV outbreak and the power of open science!https://twitter.com/ZulmaCucunuba/status/1218539461111361541 …
10,"RT @nigewillson: Robots Help Employees Stay Safe During COVID-19 https://t.co/pFTN8gKzsN
#ai #ArtificialIntelligence #MachineLearning #Deep…","'Scientists fear up to 4,500 Chinese patients may have caught the new #coronavirus as health chiefs in Wuhan confirm four more cases.'

https://www.dailymail.co.uk/health/article-7900047/Scientists-fear-4-500-Chinese-patients-caught-coronavirus.html …","@MailOnline highlighting our report on estimated cases of new #coronavirus coronavirus outbreak in Wuhan:

https://www.dailymail.co.uk/health/article-7900047/Scientists-fear-4-500-Chinese-patients-caught-coronavirus.html …

by Natsuko Imai, @IlariaDorigatti, @dr_anne_cori, @SRileyIDD, and @neil_ferguson from @MRC_Outbreak, @imperialcollege, @Imperial_JIDEA"
11,RT @ArbenMerkoci: Very happy to be part of this group of colleagues to write in the prestigious @acsnano about what nanotechnology is doing…," NEWS ALERT 

BC health officials confirm first presumptive case of coronavirus https://twitter.com/i/events/1222220608353665025 …","Size of Wuhan outbreak of a novel #coronavirus estimated from the three cases detected outside China: Likely to be over 1000 cases. @imperialcollege @mrc_outbreaks report released today

 https://www.imperial.ac.uk/mrc-global-infectious-disease-analysis/news--wuhan-coronavirus/ …pic.twitter.com/u0dUnMs9hA"
12,RT @sdelapuente: Great work by Eloy Aroni and @GlobalFishWatch tracking peruvian fisheries! | #COVID19 #peru #fisheries #iffo #anchoveta |…," NEWS ALERT 

India reports its first confirmed coronavirus case https://twitter.com/i/events/1222799446963978241 …",Health alert. #contagion #fever #china #wuhan #outbreak #coronavirus #viruspic.twitter.com/YkoxmpWZOz
13,If you’ve eaten at Lins best believe you’re immune to the coronavirus. :/,"Coronavirus will 'help to accelerate the return of jobs to North America,' Commerce Secretary Wilbur Ross says https://twitter.com/i/events/1222905297166950403 …"," NEWS ALERT 

China confirms 131 deaths as coronavirus spreads to multiple countries https://twitter.com/i/events/1219057585707315201 …"
14,2 Los Angeles Lakers teste positive for coronavirus!? Why couldn’t it be the clippers instead ,From The Economist Espresso: Under observation: the economic impact of coronavirus https://espresso.economist.com/aff9f10fb217690e970068c85ca78c49 …,Medical professionals from all over China are in Wuhan to fight the coronavirus outbreak https://twitter.com/i/events/1222943249901309952 …
15,,There are 3 people in Perú that may have coronavirus," BREAKING 

Italy suspends China flights after confirming first coronavirus cases https://twitter.com/i/events/1222999531584753664 …"
16,," NEWS ALERT 

Second case of coronavirus confirmed in the US https://twitter.com/i/events/1220730730893864960 …",Cruise ship passengers test negative for coronavirus following a lockdown https://twitter.com/i/events/1222856786916413440 …
