,Positive,Neutral,Negative
0,569,Sure he's a great guy but Coronavirus stats all day is bound to leave you a bit... isolated,317
1,NY state let coronavirus-infected nurses work in nursing home ,Military Grade Reusable Filter Mask Shop Online. Secure Checkout with PayPal. https://getit-4me.com/products/military-grade-reusable-filter-mask . . #facemask #filtermask #reusablemask #filterfacemask #mask #filteredmask #filteredfacemask #shopmasksonline #covid19 #covid_19 #corona #coronavirus #coronausa #coronauk,SNP separatists restrict contain coronavirus within Scottish Borders they were not prepared for this crisis trying to be one step ahead against Westminster timetable to end lockdown but SNP proceeding in separate plans end lockdown on their own timetable 
2,Anyone got interesting ideas for what one can do while at home bored Asf during #LockdownSA Season2 (Level 4) #Lockdownmzansi #coronavirus #CoronaVirusSA,Working from home is a solution for Small Businesses amid COVID-19 Social Distancing. Read more: https://www.marketserengeti.com/covid-19/covid-19-work-from-home-in-south-africa//?utm_source=twitter-tolatender&amp;utm_medium=social&amp;utm_campaign=marketserengeti&amp;utm_term=%23cigarettes&amp;utm_content=Working+from+home+is+a+solution+for+Small+Businesses+amid+COVID-19+Social+Distancing.+Read+more%3A #coronavirussa #coronavirus #coronavirusInSA #covid19sa #SouthAfricaLockdown #lockdowninsa #lockdowninsouthafrica #socialdistancing #cigarettes,I agree. Fauci needs fired Fauci: Coronavirus not a major threat and Americans don’t need to worry. This guy still has credibility? 
3,Some positive news! Vermont records zero new coronavirus cases for first time in nearly 7 weeks https://fxn.ws/35h9zSo #FoxNews,"If I tell Corona virus that I love it , will it leave too?",Coronavirus: Germany's rate of COVID-19 infections grows after lockdown eased 
4,Helping a friend's business. We all need masks right? They have to be fashionable too...Try these.... #hygiene #coronavirus #masks #lockdown #stayhome https://www.instagram.com/p/B_lWGu2JmW7/?igshid=1k0v4xwatg4dy,Get the latest Coronavirus stats with @media_hack's visual tracker https://mediahack.co.za/datastories/coronavirus/,Damn...What's Corona virus? 
5,But poverty has been with Blacks even boefore covid19 or did it have to take coronavirus in order for you to have a heart? Did you all along think in Alexander lives the rich?,#Coronavirus: Statistics ,They are dying at home as well that's why China had to update the number of people died from Corona virus
6,Coronavirus: Twelve test positive for Covid-19 at National Health Laboratory Service in Cape Town https://www.dailymaverick.co.za/article/2020-04-30-twelve-test-positive-for-covid-19-at-national-health-laboratory-service-in-cape-town By Sandisiwe Shoba,Taiwan's Coronavirus Moment — And Delicate Balancing Act - NPR http://dlvr.it/RVjnVF,COVID stands for Corona virus disease
7,Truth & power article about corona virus. https://www.bitchute.com/video/e2kte8dsEMs/ Interesting watch.,evidence smoking may cut the risk of coronavirus: Review of 28 studies shows number of smokers among hospitalised patients is 'lower than expected' as expert admits the mounting findings are 'weird' https://www.dailymail.co.uk/news/article-8264635/More-proof-smokers-risk-catching-coronavirus-expert-admits-weird.html @DlaminiZuma @CyrilRamaphosa @DrZweliMkhize DICTATORS!!,"OPINIONISTA: Conspiracy theories, hypocrisy and bioterrorism amid the Coronavirus battle https://www.dailymaverick.co.za/opinionista/2020-04-30-conspiracy-theories-hypocrisy-and-bioterrorism-amid-the-coronavirus-battle By Terry Bell"
8,Madagascar Launches Herbal Tea That Cures Coronavirus In 7 Days https://omgvoice.com/news/madagascar-coronavirus-cure/ via @omgvoiceghana Can welearn something from Madagascar?,"So when they start football again and someone catches coronavirus again, what's your plan? Just continue to play till they all get it?",Please open boaders for our deceased to go at least with 5or 10 people this is torture driver and the body after they didn't die of Coronavirus #coronavirus
9,"We need government to work on this coronavirus,b cause since they can locked people for house without food I hope they will treat the country as well","LOCKDO WN: VIDEO on how to wash hands properly, watch here: https://cms.tolatender.co.za/conoravirus-covid-19/?utm_source=twitter-tolatender&amp;utm_medium=social&amp;utm_campaign=coronavirus&amp;utm_term=%23Cigarettes&amp;utm_content=LOCKDOWN%3A+VIDEO+on+how+to+wash+hands+properly%2C+watch+here%3A #coronavirussa #coronavirus #coronavirusInSA #covid19sa #SouthAfricaLockdown #lockdowninsa #lockdowninsouthafrica #Cigarettes","Ya man, poor provinces are not suffering from corona virus joking friend!"
