,Positive,Neutral,Negative
0,38,Impact of Coronavirus (COVID-19) on Global Trade and Business Article - Article Directory https://article-directory.org/article/729/53/Impact-of-Coronavirus-COVID-19-on-Global-Trade-and-Business,207
1,#Belgian #prince tests positive for #coronavirus after attending gathering in #Spain,Coronavirus: survey reveals what Swedish people really think of country's relaxed approach via @TC_Africa,More afraid of the Corona virus than your bum guns 
2,"Four further cases of #COVID19 in different parts of today: 1 returned from , 1 from , &amp; 2 detected in contact tracing. On the good side - the detection is the point of contact tracing, people seek health care and get tested! https://preview.tinyurl.com/u6kj8ha",WHO lauds Sweden as 'model' for resisting coronavirus lockdown. ,"Now amidst of turmoil the media says: ""Mounting evidence suggests the coronavirus is more common and less deadly than it first appeared. Tests are finding large numbers of people in the U.S. who were infected but never became seriously ill."" "
3,"Available on #ECDC website: Checklist for hospitals preparing for the reception and care of #COVID19 patients, based on the current knowledge of the outbreak. Link: http://bit.ly/3ahMWOT The checklist will be updated should new relevant information become available.","Coronavirus may never go away, even with a vaccine ","I miss the days of sunning the perineum. Now it’s all coronavirus, BDCC, police officers killing black people, white people killing black people, white people filming white people killing black people, president of the US encouraging killing of black pekoe. "
4,"RT @marynmck: Amazing infographic and explainer by the @Reuters graphics team, showing how one person in Korea who didn’t listen to her doctors (but went to brunch! and a megachurch!) exposed more than 1,000 people to #COVID19 ",Monkeys in India snatch coronavirus test samples ,"I think with coronavirus, lockdown, job losses, businesses closing down and now this. Emotions explode and the anger needs a direction and when in a mob, it usually results in a path of destruction. Maybe I'm just too stoic/pragmatic :P"
5,A pet dog has tested positive for #COVID19 in Hong Kong. https://newstalk.com/news/pet-dog-t #END,"I can't stand, more so, malicious trukes, about this Coronavirus ","Corona virus: We may never know the precise origin. Whether the impact of this virus will be significant &amp; run into 22 is of extreme interest. With U.S. CDC going to China, perhaps this will help to verify the true death rate &amp; stop the conspiracy stories which do not help us!"
6,"Update on #Wuhan City #pneumonia, associated with a novel #coronavirus:

41 cases tested positive as of 13 January 2020;
7 discharged, 6 in treatment, one died.

13/01 #Thailand reported a confirmed imported case - a tourist from Wuhan.

Read more: http://bit.ly/2QVQX53 pic.twitter.com/0QMql8bAfl",Sweden's former state epidemiologist reveals why she changed her view on controversial coronavirus strategy ,words of wisdom: 1. putting your blinker on doesn’t give u the right to swerve into the next lane right away (look over ur shoulder bitch) 2. corona virus news fake or not yall need to be washing your damn handz
7,"The Wuhan coronavirus spreading from China is now likely to become a pandemic that circles the globe, according to many of the world’s leading infectious disease experts.  https://twitter.com/nytimes/status/1224067508107386882 …",Five-month-old Brazilian #baby survives #coronavirus after 32 days in coma #Brazil,So the WHO declared the new corona virus a global health emergency tonight. This while the impeachment trial in the US senate continues and a new heat wave is coming to Australia. Good night.
8,China deserves the admiration and support for its efforts to contain the spreading Coronavirus on behalf of the whole world. https://twitter.com/CGTNOfficial/status/1223254608228864001 …,"It's becoming obvious that China will take an economic hit from the coronavirus outbreak. Travel is part of business, cut travel and of course business will be affected. Question is, will it make the CCP be frank about the situation or will they supply amended numbers... ",Coronavirus’ Effect on the Travel Industry Deepens as Global Emergency Is Declared http://bit.ly/2uLlzO0 by @skift
9,"https://youtu.be/1LJgkovowgA  Coronavirus competition -- This is the perfect opportunity to show the world how open-source, community-driven AI can effect positive, relevant change. #Coronavirius #AI #ArtificialIntelligence #opensource",Let's play endless when you've gotten over the coronavirus,"Wait, you got the Corona virus?"
