,Positive,Neutral,Negative
0,7,It’s 110 outside fam. Lol @coronavirus,41
1,#BreakfastNews @mjrowland68 @normanswan @LisaMillar Concern in Europe as France confirms more children have new disease with possible coronavirus link. I am sure you are on to this! #KeepSchoolsShut https://www.sbs.com.au/news/concern-in-europe-as-france-confirms-more-children-have-new-disease-with-possible-coronavirus-link?cid=news:socialshare:twitter via @SBSNews,"#insiders PM ScoMo refuses to look at wage cuts for himself and pollies but pushing to reform #IR #ClassWarfare #Jonmaker Coronavirus has switched the focus to jobs, but Morrison is ready to roll on industrial relations reform ",Travel ban in China until this coronavirus outbreak problem is solved
2,Coronavirus: Belgian Prince Joachim tests positive after lockdown party http://dlvr.it/RXgtVg,More imported cases are going to happen... coronavirus is still happening outside.,If we need a place to quarantine all the people with this corona virus might I suggest The Borgata??  It already smells like impending death around every corner here
3,"Hi sheep, ""If you are healthy, you only need to wear a mask if you are taking care of a person with COVID-19"" then WHY THE FUCK PEOPLE WEAR MASK? #covid19 #coronavirus #covidhoax #covid19hoax #fakenews #influenza @realDonaldTrump","Watch ""Tom Fitton: Gov. Newsom Using #Coronavirus To Unlawfully Impose Mail-In Voting, Contrary to CA Law!"" on YouTube ","My parents are making me cancel my plans tomorrow because of the allegation that there is indeed at least one confirmed case of the Corona virus in Trinidad. Now, idk if this is more propaganda or what but imma be pissed if I cancel my Carnival Tuesday plans over a rumour. pic.twitter.com/7DMDM3jZWA"
4,Yup. Corona virus is over. ,This coronavirus got me drinking modelo now.,Trump said the Coronavirus would die in the warm weather. He said in May the Virus would die from the heat. Trump is so dumb he got rid of the CDC staff in DC. What a Douche. https://twitter.com/AhmedBaba_/status/1233157302951305216 …
5,"#TrinidadandTobago, congrats on a job well done on addressing #coronavirus. #Caribbean @oecscommission @CARICOMorg @expressupdates @tv6tnt",Japan and Thailand Confirm New Cases of Chinese Coronavirus https://nyti.ms/388fWrq ,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
6,"Whatever happened to PREVENTION IS BETTER THAN CURE, Philippines. #coronavirus ","I sat down on break and watched the news for 10 minutes and I found out : Jeff Bezos may have been hacked by a Saudi Prince, Coronavirus is gonna kill everyone l, and trump wishes he could be at his impeachment trials. Like what’s going on","The TT cruise ship industry and tourism on the whole took a blow to their expected revenues amid growing concerns over the coronavirus (covid19).
https://newsday.co.tt/2020/03/04/covid19-infects-tt-tourism/ …"
7,"If you are leaving China, you can't enter Trinidad and Tobago within 14 days. The Government is saying they have taken suggestions on this measure to protect the country against the Coronavirus. ",Tourism Minister: Coronavirus precautions in place as visitors arrive @rmitchellsfe @newsgovttpic.twitter.com/e9wgK1Mk6b,"I am 99% sure my family has the coronavirus because my in-laws just came from the airport. We all have 4 to 7 of the 12 Covid-19 symptoms. Asians are hit harder with the coronavirus and that has been the case. My full Asian mother in law is really sick, but I am just mildly sick."
8,When you put on a mask for corona virus and notice it's made in China #coronarvirus,Coronavirus? Bet you I won’t drink them shits nomore. https://twitter.com/NPR/status/1219695146259841024 …,"Why is it that I have to worry about coronavirus and people breaking into my house  the world is awful.

My anxiety is at an all time high."
9,Does anyone care to speculate how the #Coronavirus will affect international travel in the upcoming weeks? Getting ready to go to #CostaRica in March and I think that some things will be different by then.,Why did the #CDC name the #ChinaFlu after a popular #MexicanBeer? #ParrotQuestions #CoronaVirus,this corona virus killing a vibe 
10,"""The other legal notice is that the Ministry of Health under the Public Health Ordinance, will now designate the Coronavirus (to use the language in the act), as an “Infectious Disease” and a “Dangerous Infectious Disease”, as we did with Ebola in 2014."" ",Wuhan Coronavirus: China shuts down Disneyland and 14 cities https://www.dailymail.co.uk/health/article-7923913/Shanghai-Disney-closed-Saturday-help-prevent-spread-virus.html …,
11,"I saw somebody on FB earlier say that they ain’t eating no Chinese food since this Coronavirus is going wild.... and honestly, they might be on to something. We already don’t know what them ppl be feeding us. ","These Muslims are more deadly than CORONA Virus. Only Chinese know how to cure them... Call Xi, please...... https://twitter.com/rose_k01/status/1222599989517418496 …",
12,"Dumb asses , as always https://www.nypost.com/2020/02/27/americans-are-avoiding-corona-beer-amid-coronavirus-outbreak-survey-finds/amp/#CoronaVirusUpdates #COVID19",I hope is the Coronavirus u have yes https://twitter.com/jamescharles/status/1224584130236575744 …,
13,"CoVid19 is a 2% death rate. In a town of 5000, that's 100 dead. In a city of 150,000, that's 3,000 dead. In a metro of 3 million: that's 60,000 dead. In a state of 30 million: that's 600,000 dead. The Country? 6.5 million dead You ready? #FactsMatter",Trinidadians Tobagonians PNM UNC COP : Postpone 2020 Trinidad and Tobago carnival due to the coronavirus. - Sign the Petition! http://chng.it/pG6WFjtB  via @Change,
14,https://youtu.be/zrv78nG9R04  And then they wonder why the getting shit like the corona virus ,"Yo, I hope that this corona virus doesn’t get too much traction here in the states. I hope we learnt from China. Wash hands guys keep that good hygiene up.",
15,Man have you dripping and protected against the Corona Virus this fete szn  10/10 https://twitter.com/Nikhil_Dhanoo/status/1220832574647558145 …,"Another Jim Traynor special, Scottish football’s very own Coronavirus.",
16,"Wuhan coronavirus: China cases overtake SARS, as virus spreads worldwide - CNN https://www.cnn.com/2020/01/28/asia/wuhan-coronavirus-update-jan-29-intl-hnk/index.html … … 
#coronarovirus #coronavirus #CoronavirusOutbreak #CORONAVIRUSFRANCE #CoronaOutbreak",They are all infected by the Corona Virus.. must move out for the good of others ... https://twitter.com/RanaAyyub/status/1233307564194091008 …,
17,"China’s Economy on the Brink as Coronavirus Fears Intensify
https://www.google.com/amp/s/www.ccn.com/chinas-economy-on-the-brink-as-coronavirus-fears-intensify/ … #coronarvirus #CoronaOutbreak",@suneelwattal @covid19indiaorg @COVIDKashmir @HaryanaUpd @YBISL @CoronaUpdates9 @BollyNumbers @ShamikaRavi… https://t.co/3uUDrva5TE,
18,China battles coronavirus outbreak: All the latest updates https://www.aljazeera.com/news/2020/01/china-battles- … coronavirus-outbreak-latest-updates-200125233944134.html #coronarvirus,"🔥🔥🔥@AniaKinski🔥🔥🔥
See more --&gt; https://t.co/4dLvfW13IF
donate via #Ethereum address 0xcfeCd7799669e1d55aF3101122Ad4… https://t.co/nDrb1p9HHJ",
19,It's also terrible 5 cases of Coronavirus in the USA.  Stop flights from China.,"RT @fembeauties: 🔥🔥🔥@AniaKinski🔥🔥🔥
See more --&gt; https://t.co/4dLvfW13IF
donate via #Ethereum address 0xcfeCd7799669e1d55aF3101122Ad41556862…",
20,So the virus that mutated and caused the #ChynahFloo #CoronaVirus apparently started in the province of origin from the citizens eating habits that favor #BatSoup and stir fried snake chunks...,"RT @KenyaRedCross: Yesterday, Kenya Red Cross celebrated a major milestone in containing #COVID19 at the Daadab refugee camp. 

Two patient…",
21,"Impending world war, political unrest, U.S. tensions, terror attacks, coronavirus - 2020 came out of the corner furiously swinging...",RT @JoeThompsonMD: Arkansas’s record one-day increase of 731 new #COVID19 cases underscores the need for responsible behavior. If you walk…,
22,CMO: No coronavirus on vessel after 4 fall ill https://www.ttgazette.com/article/yWV3z3qGYk …,RT @CDCgov: CDC recommends using an EPA-registered household disinfectant to protect against the virus that causes #COVID19. Visit the @EPA…,
23,Japanese man confirmed as coronavirus patient after returning from Hawaii vacation via @staradvertiserhttps://www.staradvertiser.com/2020/02/14/breaking-news/japanese-man-confirmed-as-coronavirus-patient-after-returning-from-hawaii-vacation/ …,The response from most of the schools operating under the management of the Ministry of Education has been desultor… https://t.co/xd4CIAKVSj,
24,"What else should happen so that the world realize this regime has neither legitimacy nor ability to rule a country? First they will kill us all and then they will screw up whole the world. Just watch it.
#Iran
#CoronaVirus
#کرونا
#irancorona",The response from most of the schools operating under the management of the Ministry of Education has been desultor… https://t.co/BDSrgicsQn,
25,RT @RobertArea45: As Part of Zero IQ @RepMaxineWaters⁩ ‘s push to protest loot burn murder as it never was before #coronavirus &amp; while offi…,"Gober #COVID19 research by Thali &amp; Taali school of thought🤣😂👇👇👇
https://t.co/uiy8jo3jXP https://t.co/FF1Ukg14mP",
