,Positive,Neutral,Negative
0,181,How you became Africa American (roots) poetic #America #coronavirus ,195
1, And Corona virus too... ,"In God's eyes, you are treasured and valued. He knew you before you were in your mother's womb and He has a purpose for your life or you wouldn’t be here. #ThursdayThoughts #COVID19 #coronavirus #KeepHopeAlive #faith #WordsOfLife",May God be with every one that lost somebody to corona virus.
2,When does the corona virus stop being “novel”? With all the research being done it’s so “un novel”,#Uganda Confirms 84 New #COVID19 Cases To Push Total To 413 Cases http://healthnews.co.ug/index.php/news/item/379-uganda-confirms-84-new-covid-19-cases-to-push-total-to-413-cases #coronavirus ,"US ecomony shrinks at the fastest rate since 2008. The US economy suffered its most severe contraction in more than a decade in the first quarter of the year, as the country introduced lockdowns to slow the spread of coronavirus. In China the economy shrank by 6.8% #NBSUpdates"
3,I'm team no sleep #follow me before I direct corona virus where you are ,"COVID-19: Uganda Registers 84 New Cases, Total Shoots To 413 #COVID19 #COVID__19 #covid19ug #StayAlert #StaySafeUG #StaySafeSaveLives #StayAlert #CoronaUpdates #Covid19UK #StayHomeStaySafe #StayHomeSaveLives #COVIDIOTS #COVIDWebinarsUG #coronavirus ",Sat here and watched America responded to coronavirus protests. Also watched how America responded to protests against racism and injustice against black ppl. They think only a certain type of ppl should have a voice
4,"This number havnt reached the number of people living with HIV n people still have sex,so jst stop counting,let's jst learn how to live with corona virus naye tubikoye,coz corona won't end now","Really, but I don't know why more #coronavirus cases are reported when president is soon to address the Nation? Someone May be behind this big thing #BBSOmudigido #BBSOmudigido #BBSOmudigido #BBSOmudigido",Uganda will never get anything original from China. Even the Corona Virus we got is duplicate. It can't kill any of its 400 victims.. 
5,"Lol, death is an easy way out, give him the corona virus and let him heal to infect him again ",@MinofHealthUG says 84 new cases!! #COVID__19 #COVID19 #coronavirus #News #Uganda #WhisperEyeUpdates,"Corona virus disease 2019 cases Elegu,malaba and kwarantiini, what details did I miss out on, Oooh all kwarantiini cases were contacts of the drivers"
6,"Lol, death is an easy way out, give him the corona virus and let him heal to infect him again, thanks ","I used to update my parents on the corona virus cases till the numbers stopped adding up. I just tell them, we shall be fine ",I didn't know that corona virus entered in these people's mind. Singing about The virus. 
7,So the riots across USA jst proved that there ain’t Corona virus ..... Cz literally there hasn’t been any social distancing or sort USA ain’t shit,84 new cases today. It is time for Ugandans to face #coronavirus head-on.,BREAKING: WHO upgrades global risk of #COVID19 virus spread to 'very high' https://www.independent.co.ug/who-upgrades-global-risk-of-virus-spread-to-very-high/
8,USA where did corona virus go ,#Uganda records highest single-day #COVID19 case spike as #Rwanda registers first #coronavirus death. Full #Africa report here: https://observer.ug/news/headlines/65040-uganda-records-its-highest-new-covid-cases-as-rwanda-registers-first-death,"RT @KentPage: Children already affected by armed conflicts, forced displacement, natural disasters and protracted crises, now face added ha…"
9,"Speaking into a microphone like this is not exactly hygienic, sanitary or Coronavirus safe. ",Coronavirus is here to stay so we are having party time #NTVDanceParty,"RT @DailyMonitor: Uganda's virus cases rise to 694, Health minister expected to clarify on reports of fake results, 199 discharged https://…"
10,"Corona Virus is just a wave, the light house still stands.",84 new #COVID19 cases confirmed and it's not #coronavirus trending but @nbstv #NBSSNL and @ntvuganda #NTVDanceParty @cindysanyu with her amazing #ClubBeatzAtHome show that was on @ClubPilsener which she killed.. #Nansana Guess we are tired of sickness. #IfWeDieWeDie https://twitter.com/GalaxyFMUg/status/1266851074490732547,RT @JamesMelville: New Zealand hit #COVID19 hard and early and are now reaping the benefits. No new cases or deaths from Coronavirus for we…
11,Signs of corona virus.,It is unbelievable that people died #coronavirus In US are almost equivalent to this. God! #riots2020 #COVIDIDIOTS #COVID__19,RT @GlobalSpotlight: People around the world are experiencing increased stress and anxiety feelings during the #COVID19 pandemic. But this…
12,The novel #Coronavirus is officially a public health emergency of International concern @WHO has declared. #2019nCov is spreading fast and time is not on our side. We're working with partners to help protect children and halt the virus now. https://www.bbc.com/news/world-51318246 #UMSRAUpdates,"ANOTHER DAY HAS COME AMIDST OF HAPPINESS AND I GUESS I CAN SAY HAVE A WONDERFUL NIGHT A BLESSED SUNDAY AS WELL ""LET'S STAY HOME AND KEEP DISTANCE CORONA VIRUS"" ","RT @ahmedvision1: The economic hardship resulting from #COVID19 (income loss, unemployment, job instability, lack of social service)  is ca…"
13,"The facility is ready to manage any suspected or confirmed case of #COVID19. Health worker capacity has been built in lab diagnosis, screening and case management. ",Those ones are safe from Corona Virus as long as they are out there,"RT @Leicnut: We’re all getting use to having this virus around. 

Doesn’t mean it can’t still kill you. 

Be careful. Act sensibly. Think o…"
14,"#CroozefmNews
A traveller in Thailand has become the first person outside China to be diagnosed with a new coronavirus. The Chinese woman was quarantined after arriving in Bangkok from Wuhan, in eastern China, where the outbreak began in December.",@WHO @WHOUganda says #coronavirus #africa,"RT @UNYouthEnvoy: These are difficult times. But young people are:
 
- Fighting racism, systemic discrimination, oppression &amp; injustice on…"
