,Tweets,Date
0,Here is one side effect of the #coronavirus pandemic: Highway traffic accidents and deaths in Alabama plunged in April when economic restrictions took effect. ,2020-04-29 23:59:00+00:00
1,"2000+ people will die today from coronavirus in the USA. Adding 25-30% extra to our daily death rate, in a normal year. Is that not drastic enough for people anymore?",2020-04-29 23:42:43+00:00
2,"“Obsessed with impeachment and their enemies and worried about the stock market, the president and his son-in-law scapegoated HHS Secretary Alex Azar, and treated the coronavirus as mostly a political problem as it moved through the country.” ",2020-04-29 22:52:38+00:00
3,"Right now America is in a hell of a crisis. From Coronavirus to the riots, the USA is in deep trouble. Yes, racism still exists in America and people are getting stupider. I'm guess America is heading towards another Civil War. Here's me talking about this crap. ",2020-05-30 23:32:33+00:00
4,"President Donald Trump likened the Democrats' criticism of his administration's response to the new coronavirus outbreak to their efforts to impeach him ""this is their new hoax.""",2020-05-30 23:12:08+00:00
5,"Yes it is: “What's False Despite creating some confusion with his remarks, Trump did not call the coronavirus itself a hoax.”",2020-05-30 23:06:44+00:00
6,"Again, leaders around the country had better be careful about opening up cities and states. The curse of the coronavirus is still around us. So are sickness and death....",2020-05-30 21:30:27+00:00
7,"#DrFraudFauchi worked with Chinese spy agency to create fake Corona virus hoax and blame our great ruler Trump then made up 100k fake ""deaths"" and now the dead will vote for Sleepy Touchey Joey Bidon in the mail!",2020-05-30 21:18:44+00:00
8,What is coronavirus and how worried should we be? | Coronavirus outbreak | The Guardian https://www.theguardian.com/world/2020/jan/30/what-is-coronavirus-symptoms-from-wuhan-china-and-how-worried-should-we-be-sars,2020-01-30 23:38:16+00:00
9,"The Jeff Poor Show - Hour 1 - Coronavirus Hysteria Grows, the Senate Race Picks Up, and State Sen.... https://audioboom.com/posts/7492186-the-jeff-poor-show-hour-1-coronavirus-hysteria-grows-the-senate-race-picks-up-and-state-sen via @Audioboom",2020-01-30 23:18:44+00:00
10,World Health Organization declares coronavirus 'public health emergency of international concern': https://www.wvtm13.com/article/world-health-organization-declares-coronavirus-public-health-emergency-of-international-concern/30718537 #WVTM13,2020-01-30 23:18:11+00:00
11,The Coronavirus Outbreak Is Now a Public Health Emergency of International Concern. Here’s What That Means https://ascentcoachingllc.com/the-coronavirus-outbreak-is-now-a-public-health-emergency-of-international-concern-heres-what-that-means/,2020-01-30 22:30:48+00:00
12,#COVID19 SCARE Liberty Vittert: Coronavirus by the numbers -- what is your real risk as the outbreak continues to spread? https://fxn.ws/386WJGh #FoxNews,2020-02-28 16:48:49+00:00
13,What is coronavirus and how worried should we be? | Coronavirus outbreak | The Guardian https://www.theguardian.com/world/2020/jan/30/what-is-coronavirus-symptoms-from-wuhan-china-and-how-worried-should-we-be-sars …,2020-01-30 23:38:16
14,"Dear Lizzy 3 Chinese with the virus just tried to get thru our borders, and they have the corona virus, BUILD THAT WALL",2020-02-27 23:55:58
15,"Mass hysteria #coronavirus 

- The 2% death is overestimate; mild cases are not tested ie never reported
- It’s like cold/flu.Most have mild symptoms
- Masks will not protect u
- Other coronaviruses have been around & assoc w/ the cold
-elderly, immunocomp, & w/ chronic dz @ risk",2020-03-02 23:58:44
16,"You very possibly infected everyone in the Senate chamber with the Corona virus after your bone head trip to Iran, let alone negotiating illegally with Iranian officials. Connecticut can do better.",2020-03-04 23:58:28
17,thanks @YahooNews for letting me share the info- keep spreading the message - your anxiety about the #Coronavirus could just put you at risk...https://news.yahoo.com/survive-coronavirus-anxiety-183445449.html …,2020-03-03 23:58:54
