,Tweets,Date
0,"How a toxic alliance between Trump and Jared Kushner, two thuddingly ignorant, stubborn, and sociopathic men who are convinced they're geniuses, condemned thousands of Americans to death of #coronavirus. ",2020-04-29 23:55:49+00:00
1,"""People choose not to stop the Corona Virus in the United States"". @realDonaldTrump made it again: blame his voters for the Corona Virus spread.",2020-04-29 23:38:27+00:00
2,Controversial smartphone app tracking people exposed to coronavirus (http://CBSNews.com: Sci-Tech) http://dlvr.it/RVjplD,2020-04-29 23:34:01+00:00
3,I cleaned out my old barn today and now have a pickup load of trash and junk to haul off only to find out our dump is closed because of Coronavirus. How does not dumping trash keep us safe? ,2020-04-29 23:32:24+00:00
4,The #NM Health Department has taken legal action to require two coronavirus patients to self-isolate -- marking the first time an isolation provision in a 2003 state law has been evoked during the COVID-19 outbreak: https://www.abqjournal.com/1449139/nm-health-agency-has-issued-two-covid-isolation-orders.html via @ABQJournal h/t @phaedraann #nmpol,2020-04-29 23:28:25+00:00
5,"“Never underestimate an Assistant Principal who survived 2020 Coronavirus Pandemic!” Photo credit alaina.436 #assistantprincipallife #skirtsportsambassadors @Allen, Texas https://www.instagram.com/p/B_lUyp5HiiC/?igshid=1xgizpjv7yl9i",2020-04-29 23:27:41+00:00
6,my favorite take is that COVID-19 doesn't kill anyone because the cause of death is actually the pre-existing conditions and the coronavirus just makes those things flare up.,2020-04-29 23:27:15+00:00
7,"FAKE News: Trump said Tuesday that the 1M cases figure is misleading because “we’re doing much, much more testing than anybody else in the world.” FACT: The number of coronavirus tests performed per 1,000 people in the United States is below average of the 36 member countries.",2020-04-29 23:16:52+00:00
8,Does anyone else get a creepy feeling when Fauchi talks about giving dying people a placebo? #coronavirus #DrFauci #placebo,2020-04-29 23:14:45+00:00
9,87 in lagos and banks wants to open on Monday LMAOOOOOO... Corona virus is ordering calculators from China... They can't believe what's coming... NCDC ,2020-04-29 23:13:15+00:00
10,Marijuana is killing more than coronavirus ,2020-04-29 23:08:20+00:00
11,Coronavirus pandemic threatens controversial fracking project in Argentina https://www.theguardian.com/environment/2020/apr/29/fate-of-vaca-muerta-oil-and-gas-fields-may-point-way-forward-on-fossil-fuels-after-coronavirus?CMP=share_btn_tw.,2020-04-29 23:05:47+00:00
12,D.A. warns public of 7 ‘high-risk’ sex offenders released in California amid coronavirus pandemic ,2020-04-29 23:05:00+00:00
13,Oh no! The Corona Virus has got all of @KATVNews Where is our news?,2020-04-29 23:02:56+00:00
14,"The National Institutes of Health on Wednesday announced a new $1.5 billion initiative to rapidly develop #coronavirus #diagnostics, an effort it says will result in the deployment of “millions of tests per week” by late summer or fall of this year.",2020-04-29 23:00:16+00:00
15,Qualcomm Sees Coronavirus Pandemic Hurting Smartphone Sales (PATRICK SEITZ/Investor's Business Daily - Business) http://dlvr.it/RVjjwL,2020-04-29 22:47:04+00:00
16,"Observant people have understood this for a while, but we need to shout it for the folks in the back: #coronavirus deaths have been UNDERESTIMATED because many who die from it never get tested. ",2020-04-29 22:41:04+00:00
17,What is Corona virus? We have WHO,2020-04-29 22:28:22+00:00
18,"Is it COVID-19 or Allergies? (Source: AA0 website) In the midst of the COVID-19 pandemic, your spring allergies may be adding to your anxiety about your health. Are those watery eyes and stuffy nose symptoms of the new coronavirus or allergies? ",2020-04-29 22:27:51+00:00
19,2 Georgia men drank cleaning products to fight #coronavirus as ⁦@realDonaldTrump⁩ continues to lie he was joking #COVID19 #gaslighting,2020-04-29 22:23:39+00:00
20,Apple Q2 2020 earnings will be all about assessing the damage from coronavirus ,2020-04-29 22:18:50+00:00
21,"""Frostbite"" toes and rashes may be signs of a coronavirus infection ",2020-04-29 23:58:33+00:00
22,"""From a famine of 'biblical' proportions to a deluge of undiagnosed cancers, while we’re all worrying about the coronavirus, most fatalities could be collateral damage."" ",2020-05-30 23:52:40+00:00
23,"State’s coronavirus cases top 7,000; death toll rises by one ",2020-05-30 23:45:14+00:00
24,Should I wash my clothes after I go outside to prevent coronavirus infection? ,2020-05-30 23:31:18+00:00
25,How many of these anarchist scum looting and stealing were also given a 1200 dollar check from the government as compensation for work/hours lost due to #Covid19/#CoronaVirus? What a waste of tax money! #riots2020 #protests #GeorgeFloydMurder #chicagoprotest #MinneapolisRiot,2020-05-30 23:05:27+00:00
26,Rwandan Medical Workers Deploy Robots to Minimize Coronavirus Risk ,2020-05-30 22:31:57+00:00
27,If the coronavirus don’t spike with all these protests then I know something wrong .,2020-05-30 22:09:25+00:00
28,Applying to college has gotten more complicated and confusing because of the coronavirus pandemic. Myles (@itsthelake) and @ReportingLabs teens discuss how standards have changed and learn tips for adapting. #AboveTheNoise @KQEDedspace @pbdss https://youtu.be/XyEHJsvS9l4,2020-05-30 22:00:30+00:00
29,"At like the Corona Virus, in numbers all races marching together, it's hard to be a black person in America and not be racist look at our history in America, its fucked up. But we still need to stand together and stand strong for this situation, and will have to endure many more",2020-05-30 21:50:29+00:00
30,It has a mortality rate similar to the flu. It's a consequence of eating wild animals. It came out of a lab. It's an invention of this or that country with this or that intention. The virus survives X time on X surface. The coronavirus remains in the air.,2020-05-30 21:15:01+00:00
31,"In this #coronavirus pandemic Harper would have call confined people: faker, lazy or Culture Of Defeat. this is why #iStandWithTrudeau despite some mistakes, he managed the situation very well",2020-05-30 20:21:33+00:00
32,"Coronavirus in Ark.: 7,013 confirmed cases with 133 deaths, according to Aransas Department of Health #NotABellCurve #COVID19 #Arkansas",2020-05-30 20:17:03+00:00
33,"The ACA provides a new safety net for people losing coverage during #coronavirus’ health and economic crises, which could re-frame the debate on health care heading into #Election2020. @larry_levitt explains @JAMAHealthForum: https://jamanetwork.com/channels/health-forum/fullarticle/2766729",2020-05-30 20:12:04+00:00
34,Autopsy Shows George Floyd Did Not Die of Traumatic Asphyxiation or Strangulation https://link.theepochtimes.com/mkt_app/autopsy-shows-george-floyd-did-not-die-of-traumatic-asphyxiation-or-strangulation_3370628.html Download The Epoch Times app to see our exclusive Coronavirus coverage and daily updates:,2020-05-30 23:46:59+00:00
35,I ain’t heard shit bout corona virus that shit gone now? ,2020-05-30 19:41:57+00:00
36,"This Week in Noe Valley: Coronavirus Lockdown Week 11 - the slow, slow reopening continues https://tinyurl.com/ya8ksy2r",2020-05-30 19:39:29+00:00
37,Global coronavirus death toll could be 60% higher than reported | Free to read https://www.ft.com/content/6bd88b7d-3386-4543-b2e9-0d5c6fac846c a través de @financialtimes,2020-05-30 19:39:19+00:00
38,$NNVC NanoViricides confirms it has been working on treatment for the Wuhan Corona virus.,2020-01-30 23:32:15+00:00
39,"Yall, WHO has declared the coronavirus a public health emergency!",2020-01-30 23:27:34+00:00
40,Hong Kong is Desperate for Face Masks as Coronavirus Spreads - VICE News https://www.youtube.com/watch?v=vUb5wdHcbxI via @GoogleNews,2020-01-30 23:23:49+00:00
41,WHO declares China coronavirus that's killed 171 a global health emergency ,2020-01-30 23:11:41+00:00
42,Watch Live: The World Health Organization Declares International Health Emergency for Coronavirus - YouTube ,2020-01-30 23:06:40+00:00
43,Coronavirus Anger Boils Over in China and Doctors Plead for Supplies - The New York Times ,2020-01-30 22:56:52+00:00
44,"It's time to end this sherade! We have much bigger problems at hand. Corona virus, Health Care, Right to life, Illegal immigration, Mental health, California, Chicago, Baltimore. Liberals progression towards normalizing pedophilia, Ect.",2020-01-30 22:44:36+00:00
45,CORONAVIRUS What is the Federal Government of Nigeria doing to assist Nigerians in China / Wuhan region? *World Health Organisation declares public health emergency.,2020-01-30 21:56:37+00:00
46,"WHO, China leaders discuss next steps in battle against coronavirus outbreak ",2020-01-30 21:53:56+00:00
