,Tweets,Date
0,Dirty money piling up in L.A. as coronavirus cripples international money laundering ,2020-04-29 23:57:06+00:00
1,Bahrain reported two deaths from the coronavirus (Covid-19) tonight https://bit.ly/3dleLIb #Bahrain #coronavirus #Corona #Covid19,2020-05-30 20:57:47+00:00
2,"The Ministry of Health announces the death of a 88-year-old Bahraini, a registered active case of coronavirus #COVID19 suffering from underlying and chronic health problems..",2020-05-30 20:53:09+00:00
3,Coronavirus outbreak: 22-year-old Indian dies in Malaysia ,2020-01-30 22:54:16+00:00
4,"The live count page that gives us an idea of where the virus is, and where it's headed. https://infographics.channelnewsasia.com/wuhan/gmap.html #Coronavirus #Corona #COVID19 #Bahrain #coronavirusbahrain #COVID19bahrain",2020-02-28 20:05:41+00:00
5,"I feel so sad reading tweets from moots about covid19, I even thought my bosses were OA when they sent me these but now that we have 38 cases... i guess not. We’re okey ... we will try to be okey!!! ",2020-02-28 16:37:51+00:00
6,"China reported 17 more cases of pneumonia caused by a new coronavirus strain on Sunday, stoking worries of it spreading as the country gears up to celebrate Chinese lunar new year when hundreds of millions of people travel.

#Health 

Read more: http://bit.ly/2NV2D6f pic.twitter.com/F53W2GnRnP",2020-01-19 11:30:00
7,"Chinese health authorities said on Saturday they had discovered four more cases of pneumonia following an outbreak of what is believed to be a new coronavirus strain in the central city of Wuhan...

#Health 

Read more: http://bit.ly/2NA3f0z pic.twitter.com/7oEiin1V7g",2020-01-18 13:30:00
8,"Health officials have dismissed fears of a new type of coronavirus spreading in Bahrain, which reportedly originated from the Chinese city of Wuhan

#Bahrain
http://bit.ly/30rN0br pic.twitter.com/gJZNrAtwQ0",2020-01-17 07:30:00
9,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…,Sat Jun 13 09:52:26 +0000 2020
10,"RT @Saudi_Gazette: #BREAKING: #SaudiArabia announces 3366 new #coronavirus cases, bringing the total number of cases in the kingdom to 123,…",Sat Jun 13 12:47:45 +0000 2020
11,I’ve Been Feeling Unwell Since Sunday. I've Been Feeling Weak. I've Been Tested And Unfortunately I’m Covid Positiv… https://t.co/7LEVC3x57t,Sat Jun 13 14:07:01 +0000 2020
12,RT @HRCP87: Thread: HRCP is deeply concerned by news from the Middle East where hundreds of thousands of Pakistani #labourers - now jobless…,Sat Jun 13 14:09:12 +0000 2020
