,Tweets,Date
0,#BDCovid19 update: 30/05/2020 Saturday New cases: 1764 New deaths: 28 Total cases: 44608 Total deaths: 610 Source: DGHS #Bangladesh #Coronavirus,2020-05-30 23:24:14+00:00
1,Coronavirus (COVID-19): Symptoms and Prevention https://www.youtube.com/watch?v=dNaUkzIqo8g #CoronavirusOutbreak #coronavirus #Symptoms #prevention #CoronavirusPandemic #CoronaOutbreak,2020-05-30 19:36:53+00:00
2,#WHO declares #coronavirus (2019-nCoV) a public health emergency of international concern ,2020-01-30 23:57:28+00:00
3,#BBC News - #Coronavirus declared global health emergency by #WHO,2020-01-30 23:25:31+00:00
4,"Mike Pence Meets Pope Francis, China’s Coronavirus Crisis &amp; License Plat... https://youtu.be/0X7TuWto9As via @YouTube",2020-01-30 22:09:24+00:00
5,I saw media reports of COVID19 relapses.,2020-02-28 15:35:04+00:00
6,"#Switzerland has imposed a ban on public events that gather more than 1,000 people together in the same place until at least March 15 in response to the #CoronaVirus threat #Annual_Basel_Carnival &amp; #Geneva_Motor_Show Cancelled #COVID19 ",2020-02-28 12:25:46+00:00
7,#Chinese report says #illnesses may be from new #coronavirus https://unb.com.bd/category/World/chinese-report-says-illnesses-may-be-from-new-coronavirus/40736 …,2020-01-09 09:09:42
8,First Case Of Mysterious Coronavirus Confirmed Outside Of China https://www.iflscience.com/health-and-medicine/first-case-of-mysterious-coronavirus-confirmed-outside-of-china/ …,2020-01-14 18:51:36
9,"Be very careful about Flu ...!!!

""''""
Japan has confirmed its first case of infection from the new China coronavirus, 

after the World Health Organization (WHO) warned hospitals around the world 

to prepare for the illness.
""""'
.
But plz don't Panic! https://trib.al/9jOMSxV ",2020-01-16 03:51:31
10,#Airports told to check #passengers arriving from #China for deadly #coronavirus https://tbsnews.net/bangladesh/airports-told-check-passengers-arriving-china-deadly-coronavirus-37453#.XiMlH5yJpKg.twitter …,2020-01-18 15:33:03
11,#SARS_like #virus or #coronavirus #outbreak in #China after #SARS once #killed #thousandshttps://www.aljazeera.com/news/2020/01/patients-infected-china-virus-thousand-study-200117234508163.html …,2020-01-18 14:31:30
12,Coronavirus: more cases and second death reported in China https://www.theguardian.com/world/2020/jan/17/corona-second-death-in-china-after-sars-like-outbreak …,2020-01-18 14:01:26
13,"""Three U.S. Airports to Check Passengers for a Deadly Chinese Coronavirus"" by DENISE GRADY pic.twitter.com/c63AwNCGec",2020-01-18 05:29:34
14,"#WHO declares #coronavirus (2019-nCoV) a public health emergency of international concern

https://www.who.int/news-room/detail/30-01-2020-statement-on-the-second-meeting-of-the-international-health-regulations-(2005)-emergency-committee-regarding-the-outbreak-of-novel-coronavirus-(2019-ncov) …",2020-01-30 23:57:28
15,"Did #China's #Tencent Accidentally Leak The True Terrifying #Coronavirus Statistics? Not sure what to make of this but since Tencent is a Chinese company if it was leaking information then the government would slap it down fast.  

https://www.zerohedge.com/health/did-chinas-tencent-accidentally-leak-true-terrifying-coronavirus-statistics …",2020-02-05 23:50:36
16,"#BreakingNews - #Bangladesh reports 44 more deaths from #coronavirus, 2,856 new cases https://t.co/RqDqqvZ55R",Sat Jun 13 08:39:24 +0000 2020
17,"#BREAKING: 44 people have died from #coronavirus infections in the last 24 hours in #Bangladesh, DGHS said https://t.co/Hm1IJD6u2P",Sat Jun 13 08:53:23 +0000 2020
18,"Suave Hand Sanitizer Alcohol Based Kills 99.9 percent of Germs 10 oz, Pack of 6
https://t.co/1Nl1vtL8rf
Price:$26.9… https://t.co/PnQ1k9dsxy",Sat Jun 13 09:07:58 +0000 2020
