,Tweets,Date
0,"President Tang wanted to buy your Vote w/ the Economy. Corona Virus Pandemic wiped that out, Plan B Civil Unrest &amp; Spread Fear hoping that will be enough to win reelection &amp; stay out of Jail... ",2020-05-30 21:16:10+00:00
1,Coronavirus is the “common cold” this is just a mutation as it came from an animal.,2020-01-30 23:47:39+00:00
2,"Statements scheduled include: Coronavirus update, Living Wage Update, Mary Prince Day, Formation of Economic Development Department, Mutual Evaluation Report and Crime &amp; Violence Reduction | #Bermuda",2020-01-30 22:33:23+00:00
3,".@McMasterU is closely following the global outbreak of coronavirus. To stay up-to-date with recent developments and how they affect the McMaster community, check our Coronavirus Update pages on the Daily News website. ",2020-01-30 21:52:01+00:00
4,McMaster researchers @agmcarthur and @Jaleezyy (in collaboration with many others!) have developed a tool that simplifies the process of isolating and analyzing the virus that causes #COVID19. It's been publicly shared to help battle the outbreak. | ,2020-02-28 20:48:00+00:00
5,"The problem with #China and #India...TOO MANY PEOPLE! The world will naturally cull the population, this is just the start of viruses and plagues. WHO issues warning after 'mysterious' Chinese coronavirus spreads to Japan  https://twitter.com/i/events/1217928133917044736 …",2020-01-16 22:45:56
6,"Over @ConversationEDU, @catgomes10 & @ShantonChang talk about 3 of the #coronavirus issues we are dealing with here @waikato. (BTW I agree with @edu_tuan: we need to move beyond #NoSignificantDifference in #elearning)https://twitter.com/ConversationEDU/status/1226649478050058241 …",2020-02-09 23:54:23
7,Bat meat remains popular in Indonesia despite coronavirus fears https://youtu.be/ZJEp-LNcWHs  via @YouTube. Sick bastards,2020-02-16 23:35:13
8,Can someone give Donald DUMP the corona virus please:),2020-02-16 23:27:27
9,"House of Cards
https://www.cnn.com/2020/02/23/business/stock-futures-coronavirus/index.html …
Dow plunges 1,000 points, posting its worst day in two years as coronavirus fears spikes",2020-02-24 23:55:49
10,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…,Sat Jun 13 09:52:26 +0000 2020
11,RT @BermudaPremier: (1/5) We received 145 new #COVID19 results today. 144 were negative and  1 was positive. Total confirmed cases in #Berm…,Sat Jun 13 12:33:44 +0000 2020
12,RT @SJAOntario: The Ontario Government is recommending the use of a face covering (non-medical mask) to reduce the transmission risk of #CO…,Sat Jun 13 10:20:54 +0000 2020
13,RT @CochraneUK: Starting soon: 3pm: How do we deal with the overwhelming evidence being produced during the #pandemic? @DrRebeccaGould &amp; th…,Sat Jun 13 13:04:56 +0000 2020
14,"RT @bernewsdotcom: #Bermuda Hospitals Board announced the re-opening of the Lamb Foggo Urgent Care Centre with revised hours from Tuesday,…",Sat Jun 13 14:07:00 +0000 2020
15,Is this a symptom of the coronavirus: paranoia?,2020-03-01 23:50:16
16,"Stop using our vodka to make hand sanitizer, major brand begs amid coronavirus outbreak  https://www.nj.com/entertainment/2020/03/stop-using-our-vodka-to-make-hand-sanitizer-major-brand-begs-amid-coronavirus-outbreak.html …pic.twitter.com/cp7EeIjZms",2020-03-05 23:56:43
17,Because if you get Corona Virus you are in deep shit?,2020-03-05 23:53:56
