,Tweets,Date
0,'So what?': Bolsonaro shrugs off Brazil's rising coronavirus death toll ,2020-04-29 23:59:19+00:00
1,It's really disappointing to see all this coronavirus misinformation going viral! The worst part is that there's a lot of people who may actually believe it...,2020-04-29 23:21:14+00:00
2,Dr. Fauci Warns a Second Coronavirus Wave Is “Inevitable” and U.S. Could Have a “Bad Winter” - ,2020-04-29 23:29:34+00:00
3,One in seven Americans 'would not seek medical care for coronavirus symptoms' due to fear of cost ,2020-04-29 23:25:50+00:00
4,What a despicable man! There is no empathy to those who lost their loved ones. 'So what?': Bolsonaro shrugs off Brazil's rising coronavirus death toll ,2020-04-29 22:53:45+00:00
5,The Coronavirus Aftermath: Managing colossal debt will burden societies around the world for decades to come. ,2020-04-29 22:44:23+00:00
6,"Mr. Teich has yet to present his own plan to fight the coronavirus. Meanwhile, Jair Bolsonaro has once again spoken out against social isolation measures, even suggesting that state governors should be held accountable for the Covid-19 death toll in their constituencies. ",2020-04-29 22:39:06+00:00
7,"In a video-conference with senators, Brazil’s newly appointed Health Minister Nelson Teich admitted that the government has no idea of the true extent of the coronavirus outbreak in Brazil. “We don’t know the percentage of people infected, as most people are asymptomatic."" ",2020-04-29 22:29:02+00:00
8,Every elected democrat should be on their local news channel asking this question and broadcasting how inept this administration has acted in this coronavirus crisis.,2020-04-29 22:17:37+00:00
9,"You will blame to other for all mistakes, you are not responsible for any of mistakes. Corona virus you blame to China, 100K death you blame to doctors &amp; nurses, Lock down delay you blame to Mayors. So what is your responsibility as President?",2020-05-30 22:00:37+00:00
10,WHO declares novel Corona virus a public health emergency of international concern -1/30/2020 - Brief recap from press conference on the Emergency Committee meeting on #2019nCoV,2020-01-30 23:47:38+00:00
11,World Health Organization declares the new coronavirus outbreak a Public Health Emergency of International Concern ,2020-01-30 23:28:22+00:00
12,"Anothe42 Coronavirus Deaths Reported In Hubei; More Than 9,000 Cases Worldwide | Zero Hedge ",2020-01-30 22:59:26+00:00
13,"Disease outbreak news from the WHO: Middle East respiratory syndrome coronavirus (MERS-CoV) – The United Arab Emirates On 29 December 2019, the National IHR Focal Point of the United Arab Emirates (UAE) reported one laboratory-confirmed case of Middle East Respiratory Syndro…",2020-01-08 14:30:41
14,Wuhan pneumonia outbreak: Mystery illness 'caused by coronavirus' http://dlvr.it/RMjyfv pic.twitter.com/KXJ3JzERhF,2020-01-09 13:08:07
15,Coronavirus outbreak: US issues TRAVEL ALERT following spread of deadly virus  (via @NewsfusionApps #World #News)http://go.newsfusion.com/world-news/item/12790196 …,2020-01-16 09:51:23
16,Coronavirus: 17 more people diagnosed with SARS-like mystery virus in China (via @thejournal_ie)https://jrnl.ie/4971192 ,2020-01-19 12:03:48
17,"New #ChineseVirus 'will have infected hundreds' 

A 2nd person has died in #China from a new virus & put the rest of #Asia on alert 

Scientists identified the illness as a new strain of #CoronaVirus, which is in the same family as the deadly severe acute respiratory syndrome! pic.twitter.com/2jEHrRCqKC",2020-01-18 07:10:39
18,"This is why I always stick with Pacifico.

WHO issues warning after 'mysterious' Chinese coronavirus spreads to Japan  https://twitter.com/i/events/1217928133917044736 …",2020-01-17 18:37:17
