,Tweets,Date
0,This quarantine and American economic shutdown should NEVER happen again. Our Rights under the Constitution mean more than the fear of DEATH! #OPENAMERICANOW #coronavirus #Covid_19,2020-04-29 23:31:17+00:00
1,OMG the Corona Virus has hit you. Im very sorry your mind is wilting. I hope you get well soon. #givemeabreak,2020-04-29 23:09:55+00:00
2,"Coronavirus: Texas Illness Count Up To 27,054, 42 More Deaths http://dlvr.it/RVjlf8",2020-04-29 23:03:32+00:00
3,"Please RT! With coronavirus, we have lost additional income. I could really use help getting ready for the fall! After this trauma, I'm hoping to start it off great! #amazonwishlist #clearthelists #support_a_teacher",2020-04-29 22:25:24+00:00
4,GOP declares ‘impeachment 2.0’ as Pelosi names Dem clowns to coronavirus oversight panel ,2020-04-29 22:24:11+00:00
5,One more coronavirus death reported Saturday; total number of cases leaps forward ,2020-05-30 23:46:09+00:00
6,"#Coronavirus #War The armies of and are locked in a tense face-off high in the Himalayas, which has the potential to escalate as they seek to further their strategic goals. What people from outside world knows (as of now) the near that #China and #India are from a war?",2020-05-30 23:28:52+00:00
7,"Illinois Coronavirus Updates: State Reports 1,462 New Cases of Virus Saturday – NBC Chicago ",2020-05-30 23:05:16+00:00
8,"In the meantime I just lay in bed though; I'm afraid of coronavirus. I feel inspired by those who stand up, but also afraid for their security. The assholes hold the power. The cops have all the guns.",2020-05-30 22:30:33+00:00
9,Just thinking of the climate change debate and the coronavirus hoax beliefs in the US.,2020-05-30 21:01:12+00:00
10,"They sold this to you as necessary for ""public health"", but they wanted this long before coronavirus. This is about control and keeping the rotten system as it is, forever. The first step to fighting this is throwing your damn smartphone in the trash, where it belongs.",2020-05-30 20:51:28+00:00
11,China factory-gate prices post steepest decline in four years for April as coronavirus pandemic shrank demand globally https://www.wsj.com/articles/china-economic-data-indicate-v-shaped-recovery-is-unlikely-11589257260 via @WSJ,2020-05-30 20:46:16+00:00
12,@POTUS @FLOTUS Now body cams and safty glasses. That would have reduced risks. Corona virus says eyes idiots. They used masks to conceal their identity not prevent cross infection. Wind can blow the infection into your eyes. The masks only hide deliberate cross infectores.,2020-05-30 20:41:09+00:00
13,Now body cams and safty glasses. That would have reduced the cross infection rate. Corona virus says eyes idiots. They used masks to conceal their identity not prevent cross infection.,2020-05-30 20:37:34+00:00
14,"As the pandemic cancels flights, Uruguay turns its airport into a drive-in | Coronavirus outbreak | The Guardian ",2020-05-30 20:19:43+00:00
15,"The number of confirmed coronavirus cases rose by more than 1,200 in Texas to surpass 61,000 with 25 additional deaths due to COVID-19, the disease caused by the deaths. ",2020-05-30 20:15:00+00:00
16,Coronavirus: Shocking Spread of a Viral Pandemic https://youtu.be/aXlm2fdQSoo via @YouTube,2020-01-30 23:51:31+00:00
17,@ibxtoycat Are you concerned about Corona virus during your travels this year?,2020-01-30 23:40:55+00:00
18,"Those won't help you! You have to be ""fitted"" for them in order to work. BTW the FLU has killed more than 8,000 people this season than the stupid Corona virus",2020-01-30 23:09:59+00:00
19,San Antonio News WHO Declares Coronavirus Outbreak an International Emergency - Bloomberg Markets and Finance ,2020-01-30 23:06:32+00:00
20,Percent of Critical & Serious cases seem to be dropping without an increase in CFR. Additional resources and workers seem to be making a difference in Wuhan. #ncov #coronavirus ,2020-01-30 22:44:45+00:00
21,WCS Calls for Closing Live Animal Markets that Trade in Wildlife in Wake of Wuhan Coronavirus Outbreak &gt; Newsroom https://newsroom.wcs.org/News-Releases/articleType/ArticleView/articleId/13738/WCS-Calls-for-Closing-Live-Animal-Markets-that-Trade-in-Wildlife-in-Wake-of-Wuhan-Coronavirus-Outbreak.aspx,2020-01-30 22:21:46+00:00
22, BREAKING NEWS: Chile's Ministry of Health @ministeriosalud rules out case of #coronavirus in northern city of Mejillones after arrival of ship that was in China ,2020-01-30 22:21:10+00:00
23,Whistleblower Claims ‘Corrupt Cover-Up’ Of Dangerous Coronavirus Quarantines https://www.infowars.com/whistleblower-claims-corrupt-cover-up-of-dangerous-coronavirus-quarantines/ #coronavirus #COVID19 #kungflu,2020-02-28 15:00:41+00:00
24,"Coronavirus: WHO warns virus could spread to every country, Mexico confirms first cases https://www.cnbc.com/2020/02/28/coronavirus-latest-updates-outbreak.html?__source=sharebar|twitter&amp;par=sharebar #coronavirus #COVID19 #kungflu",2020-02-28 14:27:15+00:00
25,"Chinese Report Says Illnesses may be From New Coronavirus
https://www.theepochtimes.com/chinese-report-says-illnesses-may-be-from-new-coronavirus_3197674.html …

For the latest US and political news download The Epoch Times app now!https://ept.ms/2mCEjel ",2020-01-09 16:45:52
26,Contact with live vector. SARS was civet cats from a market.  MERS was from camels. Human coronavirus causes common cold. Human to human transmission possible if viruses mutate.,2020-01-13 16:11:28
27,"First Death From China Mystery Coronavirus Respitory Illness Recorded, If It Has Jumped Animal-To-Human Barrier As Feared, It Could Cause A Pandemic https://www.theguardian.com/world/2020/jan/11/china-mystery-illness-outbreak-causes-first-death?CMP=share_btn_tw …",2020-01-11 20:30:29
28,China reports 1st death from new type of coronavirus http://twib.in/l/LLK8bbyxLkXR ,2020-01-11 03:28:35
29,"US authorities have implemented screening measures at LAX, SFO, and JFK.  Too early to tell how this compares to previous outbreaks of coronavirus like SARS and MERS. Viruses can mutate rapidly but I suspect transmissibility will be somewhere between SARS and MERS.",2020-01-19 21:33:59
30,China Reports 17 New Cases In Viral Coronavirus Pneumonia Outbreak Increasing Concerns Virus Has Crossed Animal-To-Human Barrier Which Could Cause Pandemic https://apnews.com/a478dde9f8fbc1c47d1ef6a5ede6fe9f …,2020-01-19 19:49:40
31,Wuhan Coronavirus Outbreak Forces Chinese to Rethink Travel Plans http://dlvr.it/RNdZNx pic.twitter.com/dZuwSyqLgJ,2020-01-23 23:53:33
32,"Video doesn't give the full context of an event.  EMS is following local infectious disease protocols for every call whether it is a drunk passed out, a traffic accident victim, or syncopal episode. Whether it's coronavirus related gets sorted out at the ER.",2020-01-23 23:53:20
33,How will airline stocks be impacted by the #coronavirus hampering travel demand? Here’s how airlines recovered after the SARS outbreak in 2002 and 2003: http://ow.ly/quFd50y6YD1 pic.twitter.com/cFY8Wdw11j,2020-01-28 23:50:04
34,When Chinese come through Mexico illegally :) that coronavirus thooo!,2020-01-28 23:40:00
35,i can’t be infected with the CORONAvirus because i’m straight edge https://twitter.com/ABC/status/1220467582450401281 …,2020-01-25 23:57:13
36,"I disagree, it could just be taking advantage of the chaos around coronavirus to put out a particular narrative",2020-01-25 23:43:57
37,Coronavirus: Shocking Spread of a Viral Pandemic https://youtu.be/aXlm2fdQSoo  via @YouTube,2020-01-30 23:51:31
38,@ibxtoycat  Are you concerned about Corona virus during your travels this year?,2020-01-30 23:40:55
39,"China Coronavirus Outbreak Rises to 440, With 9 Dead as First US Case Confirmed

https://www.theepochtimes.com/outbreak-from-new-virus-rises-to-440-in-china-with-9-dead_3211886.html …

For the latest US and political news download The Epoch Times app now!https://ept.ms/2mCEjel ",2020-01-22 23:01:06
40,@KatRamsland US airline stocks fall on coronavirus fears - CNN https://www.cnn.com/2020/01/21/investing/coronavirus-airline-stocks/index.html …,2020-01-21 22:55:43
41,BREAKING NEWS | #Alemania confirma paciente con #coronavirus https://www.dw.com/es/confirman-primer-caso-de-coronavirus-en-alemania/a-52168981 …,2020-01-27 23:40:10
42,I’m sorry you caught the coronavirus /:,2020-01-24 23:47:26
43,Baylor University student being testing for possible case of deadly strain of coronavirus http://foxsanantonio.com/news/local/baylor-university-testing-for-possible-case-of-deadly-strain-of-coronavirus …,2020-01-24 23:34:23
44,"#CoronaVirus 41deads, 5% of mortality rate. Scary
https://cnnespanol.cnn.com/2020/01/24/minuto-a-minuto-lo-ultimo-sobre-el-coronavirus-de-wuhan/?fbclid=IwAR0eqzTeaL8vTn1kYiV-0sheteHC1eSnL2oP5AP2E6hblkyikYwPFVoCamE#521356 …",2020-01-24 23:33:26
45,#BREAKING: Baylor University student being testing for possible case of deadly strain of coronavirus. #FoxSanAntoniohttps://cbsaustin.com/news/local/baylor-university-testing-for-possible-case-of-deadly-strain-of-coronavirus …,2020-01-24 23:21:20
46,"Coronavirus test results negative for Texas A&M University student!

https://www.ksat.com/news/local/2020/01/26/coronavirus-test-results-negative-for-texas-am-university-student/ …",2020-01-26 23:49:37
47,BREAKING: The university says the student suspected of having the coronavirus tested negative. http://bit.ly/2O0UJbb ,2020-01-26 23:48:38
48,What happend? Is because of the Corona Virus or something?,2020-01-26 23:26:11
49,can’t be worse then them ppl at our base who got the corona virus ,2020-02-07 23:31:54
50,"Businesses in Houston’s Chinatown are being impacted by coronavirus rumors, @ksatnews reports.https://www.ksat.com/news/local/2020/02/08/very-challenging-chinatown-businesses-are-losing-customers-due-to-coronavirus-rumors-owners-say/ …",2020-02-08 23:53:57
51,JUST IN: This is the first known American death from the coronavirus outbreak so far. http://bit.ly/31DomVA ,2020-02-08 23:38:51
52,"I should never have started tweeting about corona virus..., https://twitter.com/saddamscribe/status/1226284652111056896 …",2020-02-08 23:29:17
53,http://SEC.gov  | Look Out for Coronavirus-Related Investment Scams - Investor Alert https://www.sec.gov/oiea/investor-alerts-and-bulletins/ia_coronavirus#.XkCamQQYNhk.twitter …,2020-02-09 23:50:34
54,"With More Than One Million Chinese Living in Africa and no Strict Controls at Airports, the Dark Continent is Where the Coronavirus Outbreak Will Totally Explode Out-Of-Control as Health Workers Warn They Are Definitely not Ready to Face a New Epidemic https://strangesounds.org/2020/02/africa-coronavirus-outbreak-health-not-prepared.html …",2020-02-09 23:50:24
55,"News of the coronavirus spreading further outside China sparked fear in the markets globally. China is the world’s largest consumer of many commodities, including #oil and #copper, which means demand could be hurt in the short-term. http://ow.ly/v71750yddLz pic.twitter.com/Xf8SKIpHXR",2020-02-04 23:50:04
56,"Corona Virus, Jussie Smollett Guilty, Roger Stone Sentencing And Call In Show.. https://www.pscp.tv/w/cRM3QjFkclFlTG9rRHpZRWJ8MU1ZeE5rV01uRW9Ldyt6VV31Kkpy5TCpVtxW4tqgNBQW2SmgSihqTViTvd1l …",2020-02-11 23:58:58
57,"Live At 6 PM Central Time.  Corona Virus, Jussie Smollett Guilty, Roger Stone Sentencing And Call In Show..  https://www.youtube.com/watch?v=mxCgsoqtg6I …",2020-02-11 23:58:55
58,#coronavirus KSAT TV reporting that Pct. 4 Cty Commissioner Tommy Calvert wrote Secty of Defense calling for JBSA be decommissioned as quarantine facility IF spread of disease to civilian community can't be stopped.  KSAT also criticizing lack of transparency about who's sick.,2020-02-19 23:12:54
59,"Fever, cough, runny nose, sore throat and trouble breathing are some of the most common symptoms of the novel coronavirus. http://bit.ly/2UVN9Dd ",2020-02-16 23:30:03
60,Shocking moment Instagram pranksters spark panic by pretending to spill 'coronavirus' on NY subway train https://www.thesun.co.uk/news/10947817/shocking-moment-instagram-pranksters-pretend-to-spill-coronavirus-on-ny-subway-train-in-outrageously-bad-taste-stunt?utm_source=twitter&utm_medium=social&utm_campaign=sharebarweb …,2020-02-12 23:52:45
61,Maybe she's getting Corona virus next,2020-02-12 23:33:01
62,Hospital director dies of coronavirus in Wuhan as China designates dead nurses and doctors as 'martyrs' - CNN https://www.cnn.com/2020/02/17/asia/coronavirus-covid-19-update-intl-hnk/index.html …,2020-02-18 23:59:26
63,@KatRamsland Hospital director dies of coronavirus in Wuhan as China designates dead nurses and doctors as 'martyrs' - CNN https://www.cnn.com/2020/02/17/asia/coronavirus-covid-19-update-intl-hnk/index.html …,2020-02-18 23:44:23
