,Tweets,Date
0,"I’m not saying that the coronavirus pandemic is as bad as many people are making it out to be, all I’m saying is that these 2 specific doctors made bad calculations that are classic examples of selection bias.",2020-04-29 23:34:35+00:00
1,"They know there's no pandemic and that the whole Corona virus thing is a hoax, and they don't care thsrs why they're dancing. Just remember the entire medical industry is presided over by the god of Asclepius which is the symbol with the staff and 2 serpents entwined. It is evil",2020-04-29 23:14:20+00:00
2,New post: Gold Coast property market tipped to avoid ‘doom and gloom’ coronavirus predictions ,2020-04-29 22:35:02+00:00
3,So Corona virus isn't a problem anymore... Loool.,2020-05-30 22:17:27+00:00
4,"You can use only one of two vaccines, one to prevent Coronavirus, or one to prevent stupid conspiracy theories. Which do you inoculate everyone with?",2020-05-30 21:50:52+00:00
5,Coronavirus: Wuhan wet market wasn't source of virus - Chinese scientists ,2020-05-30 20:31:50+00:00
6,"That's what they just did in Italy because 2 people got infected. Now 3 countries in Europe (Italy, France and Germay) have the corona virus.",2020-01-30 23:12:45+00:00
7,"On Afternoons with @SeanPlunket today: who should fund a @SpeakerTrevor defamation defense case, the coronavirus officially becomes a global emergency, a 'groundbreaking' suicide pact case and we take a closer look at the @NZNationalParty SFO political donations situation #nzpol",2020-01-30 23:06:16+00:00
8,I don't understand how anyone can make fun and joke about the #coronavirus in China or anywhere else. People are dying! And there is a chance YOU will get infected in the future if things got worse! How would you like it to be made fun of then?!,2020-01-30 22:57:44+00:00
9,WARNING!! Toyota Corona Virus spreads at rapid pace. ,2020-01-30 22:34:41+00:00
10,This is how the corona virus started. ,2020-01-30 22:33:45+00:00
11,"BBC News - Coronavirus declared global health emergency by WHO https://www.bbc.com/news/world-51318246 . #coronavirus,#global,#healthemergency,#who,#world,#virus,#emergency,#crisis,#who",2020-01-30 21:56:42+00:00
12,"It is an absurdly high death rate, or the under-reporting is extreme. #coronavirus #COVID19 ",2020-02-28 18:42:44+00:00
13,"A second case of #COVID19 has been confirmed in #Denmark. As with the first case, man got symptoms after returning from skiing holiday in Northern Italy. Pt in isolation at home, via @DRNyheder #COVID19Denmark",2020-02-28 16:40:26+00:00
14,BBC News - Coronavirus: Virus fears trigger Shanghai face mask shortage https://www.bbc.com/news/av/world-51219365/coronavirus-virus-fears-trigger-shanghai-face-mask-shortage …,2020-01-23 23:45:48
15,"Jared's brain has been damaged from spending too much time with Daddy-inlaw. Insanity is contagious!
I'm a trillion times more afraid of the Trump-virus than of the corona-virus outbreak!
This is no more a plan than Trump's idea of ending the budget deficit by eliminating taxes https://twitter.com/atrupar/status/1222267374713348098 …",2020-01-28 23:47:24
16,Update On The Deadly Coronavirus From Wuhan https://www.bitchute.com/video/iqlv91jtxmut/ … #BitChute,2020-01-28 23:38:33
17,"Coronavirus spread accelerating in China, says Xi Jinping.
Coronavirus: number infected hits 1,400 worldwide

Countries below so far with confirmed cases of coronavirus pic.twitter.com/1FbkCcnuEC",2020-01-25 23:43:30
18,why is the wrong spelling of coronavirus trending,2020-01-25 23:40:25
19,Please remember symptoms of coronavirus infection similar to other viruses. They’ve ruled out coronoavirus in ChCh based on child’s symptoms and travel history,2020-01-22 23:50:32
20,Did Bill Gates & World Economic Forum Predict Coronavirus Outbreak? Will There be an Internet Blackout to Control Information? http://vaccineimpact.com/2020/did-bill-gates-world-economic-forum-predict-coronavirus-outbreak-will-there-be-an-internet-blackout-to-control-information/ …,2020-01-27 23:34:36
21,"No, only America supremacist.
And btw... Check int market movements re: coronavirus foul play",2020-01-24 23:59:01
22,China Corona Virus Horror: Hospital Corridor of the Dead and Dying https://wattsupwiththat.com/2020/01/24/china-corona-virus-horror-video-hospital-corridor-of-dead-and-dying/ … via @WattsUpWithThat,2020-01-24 23:30:21
23,"Like many, I am following the Coronavirus. This is sadly only the start of humanity bearing its racist teeth, out of fear. A virus does not see Chinese, Arab, French, Spanish, American or Cambodian. These are all human constructs. Unlike us, the virus ... https://www.kaa.bz/2020/01/29/like-many-i.html …",2020-01-29 23:33:01
24,China bans wild animal trade until coronavirus epidemic is eliminated https://www.washingtonpost.com/world/asia_pacific/china-bans-wild-animal-trade-until-coronavirus-epidemic-eliminated/2020/01/26/0e05a964-4017-11ea-971f-4ce4f94494b4_story.html …,2020-01-26 23:49:39
25,It's Auckland Anniversary Day but the radio rolls on. @SeanPlunket on-air until 4pm looking at the @nzlabour Party's handling of the coronavirus outbreak with @WoodhouseMP and the latest around the gang problems in Taradale with Des Ratima. 0800 844 747 to share your views.,2020-01-26 23:16:45
26,"Almost everyone on this planet has gone fucken crazy alright, if not lunatics!! I'm not even worried about the Corona virus, I'm more worried about the mental virus going around.",2020-02-01 23:40:51
27,"Also, Spanish flu in 1918 only had a 4% mortality rate: but it killed 20 million people coz it infected 500 million people. The way Coronavirus spreads seems to be the problem and the cause of expert concern.",2020-02-01 23:38:31
28,Coronavirus Outbreak - Transmission & Updates Explained https://dreddymd.com/2020/02/03/coronavirus-outbreak-transmission-updates-explained/ … via @dreddymd,2020-02-02 23:44:41
29,"Crumbs latest update, Coronavirus infections up to 19,881 (from 17,500) and deaths up to 426 (from 362).

This is nowhere near contained or the end (including the effects on China and global economy ... that quaint old thing called company earnings). 

I note US futures in red.",2020-02-03 23:52:20
30,"Coronavirus: Qantas cuts back Tasman flights, Asian network as virus impact hits, via @nzheraldhttps://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=12310168 …",2020-02-19 23:15:08
31,"Mobile World Congress called off over coronavirus concerns
Read more https://wf.net.au/2SMS6eG 
#industrynews #latestarticles #criticalcomms #communications #MobileWorldCongress2020 #MobileWorldCongress #Barcelona #coronavirus #outbreak #safety #China #Ericssonpic.twitter.com/N8yS7ql1EJ",2020-02-16 23:42:02
32,New post: Coronavirus outbreak: Melbourne rentals sit empty as students wait in China https://www.propertynoise.com.au/coronavirus-outbreak-melbourne-rentals-sit-empty-as-students-wait-in-china/ …,2020-02-18 23:38:35
33,"As with all previous outbreaks of new virus infections, we are being warned of impending doom concerning the new coronavirus, 2019-nCoV that is now spreading globally. http://www.virology.ws/2020/01/23/a-lesson-from-sars-cov-for-2019-ncov/ …",2020-02-21 23:41:30
34,"China done nothing last couple of years but be a pain in the ass to the world!

This fucking Corona virus is scaring me and those fuckers should have controlled it before it got worse got.",2020-02-22 23:38:31
35,"Final #coronavirus numbers for June 12th. The world lost 4,603 lives to #COVID19 yesterday while adding 140,917 new… https://t.co/fGjuzseCRF",Sat Jun 13 08:35:22 +0000 2020
36,RT @anthonypainter: This is what happens when you think there's a choice between public health and the economy. You surrender lives *and* t…,Sat Jun 13 09:54:32 +0000 2020
37,RT @JamesMelville: New Zealand hit #COVID19 hard and early and are now reaping the benefits. No new cases or deaths from Coronavirus for we…,Sat Jun 13 09:55:10 +0000 2020
38,"RT @womenncri: #Iran 
The conditions of #QarchakPrison are abysmal. Infected inmates are abandoned in  an unsanitary place w/o ventilation…",Sat Jun 13 10:03:08 +0000 2020
39,Financial aid has slowly trickled in for tennis players in the lower echelons of the sport during #COVID19 but the… https://t.co/sHqxKzhyew,Sat Jun 13 10:17:03 +0000 2020
40,"RT @docmmiller: We struggle to evaluate and get a handle on our future in times of #COVID19 The virus is not going away, July 4th will be r…",Sat Jun 13 11:06:01 +0000 2020
41,wanted to get a sense of the moral depravity of Indian twitter so I checked the replies. Wasn't disappointed.,Sat Jun 13 11:12:45 +0000 2020
42,might go for a walk now ) #anxiety #endstigma #mentalhealth #MHchat,Sat Jun 13 11:22:19 +0000 2020
43,"RT @AFPphoto: #Coronavirus #COVID19 #China #Beijing
Fresh virus cluster in China raises fears for pandemic control.
📸 GregBaker #AFP https:…",Sat Jun 13 09:07:44 +0000 2020
44,"Due to coronavirus outbreak, I'm not allowed to travel outside Aotearoa NZ by uni. Because I'm not a citizen/resident, there's a big risk of not being allowed to return here. Cancelled fieldwork & paper presentations. Whole PhD project changes. Whew, life's suprises. #phdchat",2020-03-01 23:50:18
45,"Afraid, anxious, scared about Coronavirus - 2 step guide ... pic.twitter.com/ys8C3RUQd2",2020-03-03 23:59:19
46,"Without doubt someone like Australian Home Affairs Minister is now thinking how to use Coronavirus to limit freedom in the country. It is an excuse to dominate and abuse power further. The priority for him is this, not people's health.",2020-03-03 23:56:20
47,This isn't a problem as long as he's tested negative for #CoronaVirus. The cough is not necessarily a problem. This kind of thing is what creates panic. This is why the US needs to do a MUCH better job of informing the public!,2020-03-03 23:54:55
