,Tweets,Date
0,"""Life for prisoners in Israeli prisons is tough, but after the spread of corona(virus) their pain multiplied,"" said Naji, who holds American and Palestinian citizenship. https://news.yahoo.com/palestinians-fear-virus-risk-israeli-jails-022849920.html?soc_src=hl-viewer&amp;soc_trk=tw via @YahooNews",2020-04-29 22:22:06+00:00
1,WHO declares coronavirus outbreak a global health emergency ,2020-01-30 23:32:30+00:00
2,"I'm travelling next week in the US and will probably not have the time to bore you with #COVID19 updates. I'm not too enthusiastic about a layover at Heathrow, which I think means 100% certain exposure to the virus. But anyway, I think it's too late. There's no stopping the virus ",2020-02-28 15:47:10+00:00
3,Why don’t we just give the new coronavirus this name officially: Mysterious Illness Virus (MIV)? https://www.theguardian.com/world/2020/jan/11/china-mystery-illness-outbreak-causes-first-death?CMP=Share_iOSApp_Other …,2020-01-11 06:08:48
4,Smartphones More Dangerous Than Coronavirus? Kills More People Than You Think http://va.newsrepublic.net/s/jTpFbM ,2020-02-25 23:49:50
5,"COVID-19 24.02.2020 Update: 78,971 infected, 2,468 deaths, 23,385 recovered. CFR: 3%, R0: 2-3.9%. Transmission: respiratory droplets 2m, possible airborne. Reports that virus can be infectious during the incubation period. WHO slow to declare this a pandemic. #COVID #coronavirus pic.twitter.com/PYG9OAwTRq",2020-02-23 23:38:19
6,"RT @Amandalavan1: You have imprisoned an innocent father for no reason, he is in danger of getting infected with #coronavirus @JZarif @Alir…",Sat Jun 13 08:12:49 +0000 2020
7,"RT @GrandmaSaidNo: Never forget that the US federal government is responsible for the high COVID-19 death toll on our Nation. 

The magnitu…",Sat Jun 13 09:57:32 +0000 2020
8,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…,Sat Jun 13 09:52:26 +0000 2020
9,RT @MichaelMarmot: Inequalities in mortality from #COVID19 - the social gradient - are similar to inequalities in mortality from all causes…,Sat Jun 13 09:54:11 +0000 2020
10,"RT @piersmorgan: This is absolutely shameful. 
How dare you spew such hurtful nonsense, ‘Professor Positive’ @ProfKarolSikora? 
Why would y…",Sat Jun 13 13:48:23 +0000 2020
11,"Italy's coronavirus cases climb to 35,713, death toll up to 2,978 http://www.dailyfinland.fi/europe/14907/Italys-coronavirus-cases-climb-to-35713-death-toll-up-to-2978 …",2020-03-18 23:56:20
