,Tweets,Date
0,Governors outflank Trump amid the coronavirus crisis as the president struggles with the basics of federalism ,2020-04-29 23:53:33+00:00
1,Model Projects 23K GA Deaths If Coronavirus Limits End In 4 Weeks http://dlvr.it/RVjq9W,2020-04-29 23:38:33+00:00
2,Overwhelming 70% of Americans want trade restrictions with China after coronavirus pandemic | Just The News ,2020-04-29 22:36:03+00:00
3,"yesterday, georgia changed its coronavirus website making it harder to find out how many cases and deaths are in the individual counties. ",2020-04-29 22:33:09+00:00
4,What the Coronavirus Crisis Reveals About American Medicine | The New Yorker ,2020-04-29 22:23:20+00:00
5,European doctors warn rare kids' syndrome may have coronavirus tie https://abc7ny.com/health/doctors-warn-rare-kids-syndrome-may-have-coronavirus-tie/6138272/ via @ABC7NY,2020-04-29 22:16:43+00:00
6,"The Georgia Department of Public Health reports the state has surpassed 2,000 coronavirus deaths, and hospitalizations have increased. https://trib.al/o49AUJM",2020-05-30 20:43:33+00:00
7,"No one will ever forgive #Democrats and #FakeNews when the truth about #CoronaVirusHOAX is finally known, and it is starting. As so many tried to say, it is an overblown attack by leftist. #TrumpHasNoPlan #coronavirus #SaturdayThoughts #SocialDistancing",2020-05-30 20:13:01+00:00
8,"ofc not, they have to meet their economical goals. while hundreds of poor people die every single day from #coronavirus, because after all it mostly effects the poor people in the poor regions not the rich, not the 1%.",2020-01-30 23:13:25+00:00
9,"Says Corona virus is God’s death angel sent to purge sin. In a total lack of self awareness, goes on to reveal he has self quarantined. ",2020-01-30 22:20:59+00:00
10,American Airlines pilots sue to halt US-China flights amid coronavirus epidemic http://dlvr.it/RP4Ypd,2020-01-30 21:29:33+00:00
11,This “logic” alone should disqualify you from seeking higher office. The political games you and some others in your party are willing to play with #Covid19 simply to try to hurt @realDonaldTrump are truly disgusting.,2020-02-28 14:34:22+00:00
12,BBC News - Coronavirus: Australian scientists first to recreate virus outside China https://www.bbc.com/news/world-australia-51289897 …,2020-01-28 23:42:30
13,First U.S. case of deadly coronavirus confirmed; Atlanta airport to begin screening passengers https://www.wsbtv.com/news/local/breaking-first-case-deadly-coronavirus-china-confirmed-us-cdc-says/QQDX5M75LND6JHGIZHEXRRCVK4/ …,2020-01-21 23:59:54
14,THE WEEK ON WALL STREET: Stock prices fell last week as investors considered the potential health and economic risks of the flu-like coronavirus. via @TrueWealthATL's  #WeeklyEconomicUpdate - http://bit.ly/36umoIc  #economypic.twitter.com/AZVyWNhmi9,2020-01-27 23:50:34
15,The Georgia Department of Public Health is alerting health-care workers to watch for signs of the deadly novel coronavirus in patients. https://trib.al/aPiKPJi ,2020-01-24 23:59:49
16,"This is a common desire, and it would seem to be common sense - except that, within the world public health community, travel bans are believed to be ineffective & make combating disease harder. #coronavirus
https://www.vox.com/2020/1/23/21078325/wuhan-china-coronavirus-travel-ban …https://twitter.com/PeterSweden7/status/1221496651988316160 …",2020-01-26 23:53:20
17,He was just worried about contracting the coronavirus,2020-02-05 23:32:10
18,OMG I GOT CORONAVIRUS :( #FIFA20 #FUT20 #Corona #Virus #Coronavirus #China #PS4sharepic.twitter.com/WeebPDnj1N,2020-02-04 23:51:33
19,"Facebook, Twitter and Google take steps to stop spread of coronavirus conspiracy theories - https://goo.gl/alerts/kRu3r  #GoogleAlerts",2020-02-01 23:47:24
20,Passenger wearing a GAS MASK because 'of coronavirus fears' is removed from an American Airlines flight from Dallas to Houston when he refuses to take it off - pic.twitter.com/W8VixDFazp,2020-02-01 23:37:32
