,Tweets,Date
0,"It’s true, I’m a doctor and I hate Jared Kushner: Kushner Announces Doctors HATE Him After He Discovered One Weird Trick To CURE Coronavirus ",2020-04-29 23:59:20+00:00
1,Breaking News! Coronavirus food shortage: Jared Kushner says the national food stockpile is only used for public health emergencies it’s not for states! @holachola @therealwombat1 @wolflayla420 @cm_merlin @karenamyatt @AriadneBoudicca @HillBeverlyhill @Cruellaisdevine,2020-04-29 23:54:30+00:00
2,Why did Fauci fund this virus research? Why did Bill Gates use the Corona virus for his Event 201 in October?,2020-04-29 23:53:35+00:00
3, on YouTube: DR ANDREW KAUFMAN - UNMASKING THE LIES AROUND COVID-19: FACTS VS FICTION OF THE CORONAVIRUS PANDEMIC https://www.youtube.com/watch?v=6C_26ZIUlrQ,2020-04-29 23:53:23+00:00
4,"My god, most of these people are idiots. Coronavirus Lockdown Protest https://youtu.be/8kkBseVTUow via @YouTube",2020-04-29 23:53:00+00:00
5,"""Rosenbach noted the impact of the coronavirus outbreak on the economy as a likely factor in election results."" ",2020-04-29 23:47:29+00:00
6,White House coronavirus guidelines to expire as testing challenges continue ,2020-04-29 23:45:14+00:00
7,Men are more likely to get sicker and die from coronavirus than women. ,2020-04-29 23:42:00+00:00
8,#COVID19Coins I see the enemy in all of these pics. Smh. Despicable. #coronavirus ,2020-04-29 23:34:26+00:00
9,"NOT THE FUCKING TOES!!!!! """"Frostbite"" toes and rashes may be signs of a coronavirus infection"" ",2020-04-29 23:31:56+00:00
10,My ass is really sobbing right. The corona virus can’t ruin everything for me ,2020-04-29 23:28:40+00:00
11,"Here are the six new coronavirus symptoms, according to the CDC - The Washington Post ",2020-04-29 23:28:02+00:00
12,"EVERYTHING is a fuckin symptom of coronavirus lmao. A headach, a cough, a fever , a rash , a tooth ache, a itchy scalp , a broken finger nail , a smelly breath , dandruff , a scratch on your elbow , a runny nose, upset stomach , diarrhea, Having no symptom is a symptom . https://twitter.com/washingtonpost/status/1255499765934104581",2020-04-29 23:22:21+00:00
13,India’s #CleanEnergy Revolution on ‘Pause’ During Coronavirus Crisis https://www.greentechmedia.com/articles/read/india-renewable-energy-outlook-coronavirus via @JMPyper @greentechmedia #India,2020-04-29 23:21:11+00:00
14,"The deadly coronavirus claimed more lives in Washington state overnight, pushing the statewide death toll on Wednesday to at least 802, according to reports from individual counties. ",2020-04-29 23:15:09+00:00
15,Coronavirus: Germany's rate of COVID-19 infections grows after lockdown eased ,2020-04-29 23:25:06+00:00
16,"Cyberscammers are targeting unsuspecting people online, threatening to infect their families with the coronavirus unless they pay money -- Yahoo News",2020-04-29 23:08:11+00:00
17,You already know that more Governors want to do the same fucking thing that @GovKemp racist ass is doing in Georgia. They're going to see how it goes and react. #coronavirus,2020-04-29 23:08:00+00:00
18,Coronavirus: Revenge of the Pangolins? ,2020-04-29 23:07:37+00:00
19,Governors outflank Trump amid the coronavirus crisis as the president struggles with the basics of federalism ,2020-04-29 23:53:33+00:00
20,"While health care providers & communities struggle to weather coronavirus, @senatemajldr's first priority when the Senate is back is to jam through more judges who want to limit access to health care. I joined @AFJustice to talk about how this is the last thing we need right now.",2020-04-29 23:05:00+00:00
21,poll/ 50% of Americans say they or someone in their household has either lost hours or a job due to the coronavirus ,2020-04-29 23:04:58+00:00
22,"The government has eased the country's coronavirus lockdown restrictions and will allow professional teams to resume training on May 11, provided they comply with social distancing restrictions.Recreational https://aziboat.com/swiss-league-set-to-resume-june-8-behind-closed-doors/",2020-04-29 23:03:47+00:00
23,2/ Dr. Anthony Fauci warned that a second round of the coronavirus is “inevitable.” ,2020-04-29 23:02:40+00:00
24,It’s caused deaths in tests. It has to be closely supervised. It’s a bust for Covid. Sorry. (I have articles frm 3 other countries). FDA warns against using hydroxychloroquine for coronavirus outside of hospitals https://www.nbcnews.com/health/health-news/fda-cautions-against-hydroxychloroquine-outside-hospital-setting-n1191266 via @nbcnews,2020-04-29 23:02:13+00:00
25,"1/ Jared Kushner called the coronavirus crisis “a great success story” as the U.S. death toll crossed 60,000, with more than one million COVID-19 cases confirmed. ",2020-04-29 23:01:51+00:00
26,CHINA Stole Remdesivir from Gilead then Tried to Patent the Drug in January -- Knowing Months Ago It Would Treat Coronavirus and Trying to Make Money off the Pandemic ,2020-04-29 23:03:17+00:00
27,I often worry that I personally manifested the Coronavirus pandemic because I wanted more time to relax,2020-04-29 22:58:43+00:00
28,"He would have been lifted and then dropped 6 ft in the air and then the ground had it been my Daughter, relative, whoever. These fists aren't a hoax. #coronavirus ",2020-04-29 22:58:27+00:00
29,Men are more likely to get sicker and die from #coronavirus than women. ,2020-04-29 22:58:01+00:00
30,"The volunteers then reach out to that group of close contacts and make sure they get tested if they are experiencing any coronavirus symptoms. If they don’t have any COVID-19 symptoms or are asymptomatic, the volunteers will still ask the person to quarantine for 14 days.",2020-04-29 22:57:38+00:00
31,"Over here, I'd be in a dead heat with completion of the coronavirus vaccine.",2020-04-29 22:56:34+00:00
