,Tweets,Date
0,Microsoft sales rise as remote working lifts cloud services during coronavirus crisis https://thedevtalk.com/article/id/63d4010a705d3e14df7d6a510875b118,2020-04-29 23:56:15+00:00
1,Dr. Fauci Backed Controversial Wuhan Lab with Millions of U.S. Dollars for Risky Coronavirus Research ,2020-04-29 23:56:15+00:00
2,Okay I’ll start. What has the corona virus epidemic taught me. 1. That no one is invincible. 2. You have to know how to survive. #vettegreen #thisiscrazy #itstime,2020-04-29 23:28:51+00:00
3,"hey i was just wondering if you c TERROR IN THIS SOUTH FLORDIA COMMUNITY AS CORONAVIRUS SWEEPS THROUGH and i needed this report upd OF THE MORE THAN 30,000 RESIDENTS WHO CALL THIS RETIREMENT COMMUNITY HOME i was having trouble logging into the site and IS A LOCAL WOMAN WHO LOST H",2020-04-29 23:23:13+00:00
4,"NYPD to Step Up Coronavirus Enforcement After Funeral Flouts Rules New York City police will no longer issue warnings to people who violate social-distancing rules designed to fight the coronavirus after a funeral drew a large crowd in Brooklyn Tuesday, officials said",2020-04-29 23:16:14+00:00
5,Dairy farmers in upstate New York who faced the wrenching task of dumping their milk earlier this month as the novel coronavirus spread are now confronting a grim future: months of low prices that could squeeze them out of business.,2020-04-29 23:15:44+00:00
6,"Tensions are escalating at food plants between essential workers who feel pressure to continue working through the coronavirus pandemic and their employers, who are striving to maintain the country’s food supply chain without interruption",2020-04-29 23:15:21+00:00
7,"I can sit up straight without the room spinning. If it is, in fact #coronavirus that I am suffering from...this is a really weird virus...",2020-04-29 23:14:35+00:00
8,"U.S. Coronavirus Deaths Top 60,000 as New Data Show Economic Toll Governments and companies took new measure of economic damage from the coronavirus pandemic, and some predicted bigger losses in the months ahead even as restrictions on movement are rolled back",2020-04-29 23:13:55+00:00
9,"Amid the coronavirus pandemic, almost everyone is waiting anxiously for something. For those seeking live organ transplants, it's an especially heavy burden. ",2020-04-29 23:05:38+00:00
10,"It’s sad how racist/dumb people are,,, this is happening rn with xenophobia towards Chinese because of the corona virus :/",2020-04-29 23:04:31+00:00
11,"Mass layoffs begin in cities and states amid coronavirus fallout, threatening education, sanitation, health and ",2020-04-29 22:47:34+00:00
12,This testimony will be used as evidence in the future inquiry into the negligence of vulnerable asylum seekers @LeoVaradkar @SimonHarrisTD @CharlieFlanagan Direct Provision https://www.rte.ie/radio/utils/share/radio1/21760062 #coronavirus #EndDP #EndDirectProvision,2020-04-29 22:44:24+00:00
13,"It’s coming. Milk is being poured down drains, pigs are being euthanized, chickens killed. Demand has shrunk and processing plants closed@due to workers with Coronavirus. Sleep through it if you choose. Democrats and the media want it to happen. ",2020-04-29 22:43:01+00:00
14,The Cook County medical examiner’s office confirmed another 119 COVID-19 death from the coronavirus outbreak. ,2020-04-29 22:41:34+00:00
15,"There are stats from NYC showing something like 6 times higher deaths than normal. More than the reported coronavirus death toll, as it happens. This with fewer car accidents because people aren't traveling.",2020-04-29 22:38:57+00:00
16,"Just another scumbag Trump acolyte grifter, fucking people over & stealing money @warp speed. #KushnerIsAnIdiot #KushnerApocalypse #Kushner #Corruption #COVIDー19 #coronavirus #CoronaVillains #TaskForce #COVIDIOTS #Genocide #CorruptToTheCore #CorruptAndComplicitGOP #COVIDー19.",2020-04-29 22:29:06+00:00
17,"OMG I WAS RIGHT!!!!! Remember all my tweets that their death rates were impossible?! I saved screen shots of daily rates, that I’ll add, b/c they were not possible. Florida medical examiners were releasing coronavirus death data. The state made them stop http://www.tampabay.com/news/health/2020/04/29/florida-medical-examiners-were-releasing-coronavirus-death-data-the-state-made-them-stop/",2020-04-29 22:28:35+00:00
18,"Halt destruction of nature or suffer even worse pandemics, say world’s top scientists | Coronavirus outbreak | The Guardian ",2020-04-29 22:24:23+00:00
19,"bill be blasio in a few weeks when a hasidic jew is attacked by a person for spreading coronavirus: damn rip this is so sad we never saw this coming. say no to antisemitism, we are all brothers let’s fight this together. Make love not war!",2020-04-29 22:19:37+00:00
20,Coronavirus just fell 2nd to the greatest pandemic in world history - Racism. ,2020-05-30 23:44:23+00:00
21,Haven't stats already shown that the jogger community had higher rates of coronavirus deaths? Could be messy.,2020-05-30 23:07:35+00:00
22,"Our death toll is on the lower end of expert prediction. 'The White House coronavirus response coordinator said Monday that she is ""worried about every city in the United States"" and projects 100,000 to 200,000 American deaths as a best case scenario.""' ",2020-05-30 22:54:09+00:00
23,"It's not all his fault anyways. He wanted to close down borders pretty early on but he got called a racist for that. Now that quarantine is in place many idiots are protesting and saying coronavirus is ""fake"". I doubt any other president would have handled this better",2020-05-30 22:50:53+00:00
24,Vietnam: How this country of 95 million kept its coronavirus death toll at zero ,2020-05-30 23:54:49+00:00
25,"The coronavirus outbreak is going to deal a huge blow to thousands of school district budgets across the country, with teachers cut, fewer days in classrooms and fewer resources.​ ",2020-05-30 21:45:00+00:00
26,"""They"" are killing off ""certain people"" with Coronavirus by staging these protests so ""They"" can't vote in November. #Q",2020-05-30 21:01:44+00:00
27,"Last week: If you go to church or try to get a haircut, we’ll arrest you and the media will say you’re a fascist. Coronavirus! This week: If you steal 70-inch flat screens from Target and burn down police stations, the media will call you a hero. No masks required! ",2020-05-30 21:00:39+00:00
28,"Perspective | No, the coronavirus pandemic wasn’t an ‘unforeseen problem’ | The coronavirus pandemic isn’t a ‘black swan.’ It’s a gray rhino. https://ecs.page.link/fYXtq",2020-05-30 21:00:01+00:00
29,"it has been on US soil since at least Oct '19, you can easily do some research into this bcz there was plenty of nursing home residents dying of a mystery lung infection last fall (it was coronavirus, no doubt about it)",2020-05-30 20:52:23+00:00
30,"There is a virus loose in the land. I’m not talking about coronavirus. It is the virus of hate, division, bigotry, racism, cruelty perpetrated on people of color aided &amp; abetted by a faux leader who only wants to go to war and win the election!!!",2020-05-30 20:47:23+00:00
31,"Armed with a coding manual, one group of students is logging all the lies, conspiracy theories, and misleading political attacks that have seemingly spread as fast as the coronavirus itself. http://bit.ly/3gjyyd1",2020-05-30 20:05:00+00:00
32,"Coronavirus updates: Officials report another 60 COVID-19 deaths in Illinois, bringing the statewide death toll to 5,330 ",2020-05-30 19:53:37+00:00
33,"Police brutality and coronavirus at the same time , it’s so sad and tragic ",2020-05-30 19:35:27+00:00
34,"The Henry and Stark County Health Department today, Saturday, May 30th announce a cumulative total of 73 confirmed cases of Coronavirus Disease (COVID-19) in Henry County and 3 confirmed cases in Stark County. ",2020-05-30 19:33:42+00:00
35,"October- 2 seizures. November- a dog with a nasty eye infection. December- 1 seizure. January- WW3, Corona Virus and other dog with a torn ACL and likely Cushings disease. Let’s hope we make it through February team",2020-01-30 23:56:12+00:00
36, World Health Organization declares coronavirus outbreak a global emergency ,2020-01-30 23:45:26+00:00
37,You dirty ass mfs need to worry about all your stds before worriying about that coronavirus,2020-01-30 23:36:37+00:00
38,"Coronavirus Geometric Progression Suggests 100,000 Infections In A Week | Zero Hedge ",2020-01-30 23:32:26+00:00
39,"Children With ""Stealth"" Coronavirus Infections Raise Fears Of 'Community Outbreaks' | Zero Hedge ",2020-01-30 23:30:01+00:00
