,Tweets,Date
0,Another BPO coronavirus patient this Nazi government is as stubborn as a mule. They are to be called for who they are stupid set of people only a few have a little sense. Are they on a mission to make their prediction of 1.8million infection come to pass? Wicked and callous govt,2020-04-29 23:58:34+00:00
1,"#CoronaMeter: As at 6 p.m., Jamaica has recorded 396 confirmed cases of the new #coronavirus. There are 385 persons in isolation and 89 persons in quarantine in a Government facility. So far 3,993 samples have been tested. ",2020-04-29 23:40:53+00:00
2,"...The US has now lost more people to coronavirus than the Vietnam war. Over the country’s nearly two decades of involvement in Vietnam, 58,220 Americans were killed. ",2020-04-29 23:34:21+00:00
3,"""...Spell...directed parishioners to donate stimulus checks to his website...Copeland urged viewers to pay tithes despite losing their jobs...Bakker pleaded to viewers to donate...after he was cut off from credit card companies for selling a fake coronavirus ""cure"" for $80...""",2020-04-29 23:33:25+00:00
4,2020.... a year in review #review #COVID19 #coronavirusuk #coronavirus #CoronavirusUSA #2020WasFunUntil #2020 #pandemic #thisisshit #SocialDistanacing #lockdown #isolation,2020-04-29 23:22:21+00:00
5,Coronavirus: Warning as major study claims most elderly victims 'would not have died otherwise' http://news.sky.com/story/coronavirus-warning-as-major-study-finds-most-elderly-victims-would-not-have-died-otherwise-11980675,2020-04-29 23:20:05+00:00
6,"24 HRS TO REGISTER. https://event.webinarjam.com/register/1/093pys8 Gerald Celente, the World’s #1 Trend Forecaster for an live webinar with Q&amp;A tomorrow! How are you going to financially survive this pandemic? #geraldcelente ##economic #pandemic #economists #epidemic #livewebinar #coronavirus ",2020-04-29 23:15:51+00:00
7,"'Inquests into coronavirus deaths among NHS workers should avoid examining systemic failures in provision of personal protective equipment (PPE), coroners have been told' Gov literally absolving itself of blame, right here &amp; now in front of our eyes. ",2020-04-29 23:09:51+00:00
8,"I'm just trying hard to change my island view from where I have both parents in their 90's with Coronavirus in a nursing home, 200 miles away, to embrace the larger continental view.....because that's what they taught me to do! But on my island, I do so sympathise with you.",2020-04-29 22:54:01+00:00
9,"Me to corona virus : me nuh know a which part you come from enu , but you gots to go!",2020-04-29 22:27:58+00:00
10,#trauma #resources for practitioners via @bacp - https://www.bacp.co.uk/news/news-from-bacp/coronavirus/incident-support-and-trauma-resources/ #coronavirus #Covid19UK #COVIDー19 #TherapistsConnect,2020-04-29 22:18:46+00:00
11,"""Boris Johnson was so badly affected by coronavirus because he is “significantly” overweight, a doctor said yesterday. ""Aseem Malhotra, a cardiologist, said that risk of death from the disease increased ten-fold if the patient is obese. Cont'd...",2020-04-29 22:17:21+00:00
12,I would not put it past him to be orchestrating this to take the focus off of Corona Virus,2020-05-30 23:30:29+00:00
13,Fact check: Trump's 654 false claims during the coronavirus pandemic - CNNPolitics. The American public has had enough of ⁦@realDonaldTrump⁩ &amp; ⁦@PressSec⁩ constant lying. People are dying because these 2 continue to mislead Americans daily.,2020-05-30 22:36:09+00:00
14,"How do we even attempt stop this endemic situation, deep seated in the culture. A vaccine might solve our problems with Coronavirus, but this? Jesus fucking Christ.",2020-05-30 22:30:23+00:00
15,"""I am going to save you [wife's name], throw me our [daughter or son], I will get the coronavirus cure"" [wife dies falling off the ledge of the aircraft carrier into the Chinese boat] and save... oh no [The Rock cries as a megaswarm of cicadas wildfires swarm the boat]",2020-05-30 22:06:44+00:00
16,"These arrangements, which are deemed necessary to conduct business in the confines of the commercial locations, have been implemented to prevent the spread of the Novel Corona Virus, COVID 19 and are in keeping with guidelines from the Ministry of Health and Wellness (MoHW).",2020-05-30 21:10:34+00:00
17,this coronavirus is a bit mad init what’s all that about then?,2020-05-30 20:53:01+00:00
18,"Know the enemy. #FTP #ThinBlueLie @CopCrime Officer said 'unfortunate' coronavirus didn't kill more black people, gets fired https://www.nbcnews.com/news/us-news/louisiana-cop-fired-saying-unfortunate-more-black-people-didn-t-n1215451 via @nbcnews",2020-05-30 20:47:20+00:00
19,"I don’t get CNN. I viewed Trump scoffing about the Coronavirus at one of his own rallies. Throwing out insults doesn’t change facts, sorry",2020-05-30 20:41:12+00:00
20,Coronavirus: Pret a Manger plots crunch rent talks with landlords http://news.sky.com/story/coronavirus-pret-a-manger-plots-crunch-rent-talks-with-landlords-11997377,2020-05-30 20:34:35+00:00
21,Coronavirus: Tory MPs call for change in 2m social distancing rule. Childish wishful thinking from the party that has caused England to have the highest level of deaths in Europe from Covid19. ⁦@RadicalStats⁩ ⁦@bbc5live⁩ ⁦@guardian⁩,2020-05-30 20:22:18+00:00
22,Cant wait for the fake news media to say that a couple of people on the ISS have coronavirus .,2020-05-30 20:20:10+00:00
23,"The governor also called for an end to ""inequality in healthcare,"" with new testing sites in minority communities hit hard by coronavirus. https://trib.al/o8UvCmf",2020-05-30 20:15:30+00:00
24,Here are the media outlets getting paid to push Tory coronavirus propaganda ,2020-05-30 20:11:44+00:00
25,"Gov. Andrew Cuomo speaks out about ""inequality in healthcare"" and announces 10 new testing sites across coronavirus hotspots in New York. https://trib.al/732Cl7a",2020-05-30 19:54:00+00:00
26,"36 Jamaicans murdered so far this week, child sexual abuse up my 70% since covid 19, poverty increase 18%year to date. Where is the government hiding behind coronavirus. This government has mastered the art of deception.",2020-05-30 19:50:05+00:00
27,"The long term damage to the Tories is not because of Cummings imo, its their shocking mishandling of the #CoronaVirus crisis, that's what many of the public are realising now &amp; it's affecting millions re the economy, health, politics it all adds up",2020-05-30 19:41:15+00:00
28,"The post always linked to the Coronavirus article and even quoted a big chunk of it. After the edit, it just quoted a bigger chunk. To pretend that it was fabricated after the fact is nonsense.",2020-05-30 19:39:41+00:00
29,New post (Coronavirus declared global health emergency) has been published on Yaadroc News - ,2020-01-30 23:41:44+00:00
30,I wish people would just get informed about the Corona virus and stop froth up!,2020-01-30 23:38:06+00:00
31,Coronavirus declared global emergency by World Health Organisation | Loop News http://www.loopjamaica.com/content/un-agency-declares-global-emergency-over-virus-china-1,2020-01-30 23:19:58+00:00
32,"THE GLEANER MINUTE: Public health nurse at Norman Manley International Airport disputes claims that temperature machine stolen… Jamaican father makes public plea for the safe return of his son… OVERSEAS... Coronavirus, a global emergency… Bryant’s wife speaks #TheGleanerMinute",2020-01-30 23:11:53+00:00
33,"#bbcqt ask anyone of the panel about coronavirus and they'll all avoid responsibility with the 'I'm not an expert' excuse FFS protection against spread of a virus is not rocket science, brain surgery or being able to answer &gt; 4 questions on only connect",2020-01-30 23:11:23+00:00
34,"Corona virus is like a family. They all share the same “last name” the 2019 novel Coronavirus is another addition if the family. So yes, we have always had the coronavirus (common cold SARS, MERS) but they are not all the same just as tho everyone in your family aren’t the same.",2020-01-30 23:08:50+00:00
35,WHO calls emergency meeting to decide whether coronavirus a global health emergency ,2020-01-30 23:08:02+00:00
36,"Everyone dying of the Corona virus sounds so fucking petty. Where's Trump, Putin and king Dick Dong with these nuclear bombs they were boasting about.",2020-01-30 22:35:24+00:00
37,WHO declares global emergency over coronavirus. I do hope Jamaica bans all incoming from China and any other affected countries ,2020-01-30 22:29:28+00:00
38,Didn’t know there was a flu jab to prevent this strain of corona virus? Please tell us all where we get it!,2020-01-30 22:08:06+00:00
39,"As The Coronavirus Spreads, So Does Racism — Both Against And Within Asian ",2020-01-30 21:46:12+00:00
40,Sevilla football club are the biggest set of shit cunts ever to walk the earth. I hope they have an outbreak of coronavirus and have to fold.,2020-01-30 21:45:32+00:00
41,"The mortality rate is 7-23 times greater than flu, and the transmission far, far superior. 24 days asymptomatic incubation, resurgence of symptoms after 2 days? Flu is so jealous it'll turn your snot green. The NHS is at limit with flu, imagine if we all get #COVID19 together...",2020-02-28 18:47:32+00:00
42,Oh...COVID19 IS YOUR ONLY HOPE...ARE YOU SURE THE DEMONRATS ARE NOT A PART OF A COVER UP WITH THE CHINESE TO SPREAD THIS DISEASE FOR PRES. TRUMP TO LOSE! CAUSE YOU'RE ALL APPEARING GUILTY TO ME.,2020-02-28 16:33:06+00:00
43,Negative test does NOT equal no COVID19 ,2020-02-28 13:51:36+00:00
44,The flu is not the problem. A lack of treatment is the problem #CoVid19,2020-02-28 13:45:55+00:00
45,Quite right. If you are over 50 with a chronic condition (and lots of us are) the chances of #Covid19 killing you are worrying. If we can stop it in it’s tracks we should.,2020-02-28 13:44:02+00:00
46,"RT @WHO: Wash your  with soap and running water when hands are visibly dirty.

If your  are not visibly dirty, wash them with soap and water or use an alcohol-based hand cleanser.

#coronavirus pic.twitter.com/AblX4VQ5uhpic.twitter.com/HgTrAw5wRq",2020-01-15 15:45:14
47,Given the outbreak of the new #coronavirus in #Wuhan should the government screen passengers who have travelled to that area? @themohwgovjm,2020-01-18 18:22:34
48,"China coronavirus latest: Mystery illness kills two as experts say 1,700 could be infected https://www.manchestereveningnews.co.uk/news/world-news/second-death-coronavirus-china-warning-17590344 …",2020-01-18 13:15:27
49,"Dw too much, it's a zoonotic virus but it not as lethal as SARS, they don't know much about it yet bc its a new strain of the coronavirus family, BUT, the people who have died were in their 60's and had other health conditions that would have contributed to a rapid deterioration",2020-01-17 11:22:54
50,"What Is Coronavirus: Mapping the Pneumonia-Like Respiratory Illness in China, Globally https://www.bloomberg.com/graphics/2020-wuhan-novel-coronavirus-outbreak/ …",2020-01-23 23:44:34
51,Yo man dem a deal with corona virus like in Plague Inc. at the end. Man dem shut down borders,2020-01-23 23:33:29
52,"Opposition spokesman on Health, Dr. Morais Guy says this morning’s corona virus scare threw the country including the Ministry of Health and Wellness into panic mode.

He says this is proof that the ministry and country is not prepared.

http://nationwideradiojm.com/opposition-says-coronavirus-scare-shows-jamaica-is-not-prepared/ …",2020-01-28 23:59:50
53,"Health and Wellness Minister, Dr. Christopher Tufton and senior medical personnel at the University Hospital of the West Indies  are rejecting as false a report by a television station that there’s a suspected case of the corona virus at the hospital.

http://nationwideradiojm.com/health-minister-refutes-television-report-of-suspected-case-of-corona-virus-at-uwi-hospital/ …",2020-01-28 23:59:16
54,Imagine this mawning we ah panic bout #CoronaVirus and Jah jus sey ah nuh dat! And drop ah 7.7 earthquake pon we fenneh! No sah!,2020-01-28 23:54:29
55,Comparing reactions to the flu and to the corona virus REALLY sends you on a trip.,2020-01-28 23:51:53
56,Who fuss ketch coronavirus a ,2020-01-28 23:43:23
57,Wouldn’t be surprised if the Coronavirus has been in Jamaica this whole time and they’ve been using Dengue as the scapegoat,2020-01-25 23:50:53
58,@elonmusk you on standby for this coronavirus? Every 100 years theres a new plague in the xx20's aaand its also Year of the Rat... We need a madlad millionaire to break the cycle!,2020-01-25 23:46:04
59,"""Dr. Peter Donnelly, CEO of Public Health Ontario, said Friday the province has testing that lets medical professionals know within 24 hours whether an illness is this new coronavirus type""

Canada announces 'presumptive' 1st case of deadly coronavirus https://www.cbc.ca/news/canada/toronto/canada-1st-case-coronavirus-toronto-1.5440760 …",2020-01-25 23:41:25
60,New post (Coronavirus declared global health emergency) has been published on Yaadroc News - https://news.yaadroc.com/coronavirus-declared-global-health-emergency/ …,2020-01-30 23:41:44
61,Breaking News: The first U.S. case of the Wuhan #coronavirus has been confirmed in Washington State. The virus has spread from China to at least 4 other countries.,2020-01-21 23:32:16
62,"The rapid spread of the new coronavirus in China, which has so far killed six people and infected hundreds, has fuelled fears of a possible epidemic. There are concerns the virus could spread to Japan which will host the Olympic Games. @dpos_smith @realpaulreid @DaltonSMyers",2020-01-21 22:40:49
63,"Coronavirus Update: Spreads Before Symptoms, 2,800 Cases, 2 California C... https://youtu.be/udpBQUKw-Ec  via @YouTube",2020-01-27 23:34:09
64,coronavirus served w/ wedge of lyme,2020-01-27 23:29:31
65,"Breaking News: 15 more people died from a coronavirus outbreak in Wuhan, China, pushing the death toll to 41. It's a nearly 60% increase.
It’s a serious ting. #coronoavirus",2020-01-24 23:36:01
66,More Corona virus memes and images from the far east! I will keep posting Corona Virus memes until the suspected case currently at UWI Hospital is confirmed or cleared #Jamaica #jamaican #jamaicanmemes #uwihospital… https://www.instagram.com/p/B77D6ThhvL6/?igshid=7cip8gjll9gn …,2020-01-29 23:57:57
67,corona virus and lime,2020-01-29 23:46:13
68,New post (Coronavirus Worries J’CANS  - ... But health minister assures public there is no confirmed case) has been published on Yaadroc News - https://news.yaadroc.com/coronavirus-worries-jcans-but-health-minister-assures-public-there-is-no-confirmed-case-2/ …,2020-01-29 23:40:58
69,"Whole world must be on alert over coronavirus outbreak, says WHO https://www.facebook.com/PressAssociation/?url=https%3A%2F%2Fcontent.api.pressassociation.io%2Fv1%2Fitem%2Ffb6362fd-6141-4877-886f-2421143439b9%2Fmore-like-this … #SmartNews",2020-01-29 23:32:29
70,"That's very true, Karl... The question is - Is Beijing suppressing the true scale of Coronavirus infections outbreak? 

Nurse treating coronavirus sufferers in China claims 90,000 people have already been infected...",2020-01-26 23:53:23
71,"With the Coronavirus death toll increasing, countries are taking precautions to prevent those exposed to the virus within their borders. However, what steps are being taken to screen passengers who arrive via cruise ships? More on #CVMLive",2020-02-07 23:38:46
72,Manchester United striker Odion Ighalo will miss the club's training camp in Spain because of fears the coronavirus outbreak could lead to him being refused entry back into the UK. (BBC) #MUFCpic.twitter.com/FJ8hmbudyr,2020-02-08 23:59:30
73,"If I was the Queen, and wondering who to send to China, in the middle of the nCoV Coronavirus outbreak, I'd have Prince Andrew high up on the list.",2020-02-08 23:55:04
74,It has finally happened. Coronavirus death toll passes SARS https://www.bloomberg.com/news/articles/2020-02-08/coronavirus-death-toll-rises-to-805-passing-sars-virus-update … via @business,2020-02-08 23:46:03
