,Tweets,Date
0,"U.S. Coronavirus Death Toll Is Far Higher Than Reported, C.D.C. Data Suggests http://www.nytimes.com/interactive/2020/04/28/us/coronavirus-death-toll-total.html, see more http://tweetedtimes.com/ArtGateDesign?s=tnp",2020-04-29 23:57:18+00:00
1,"As much as I love and miss football, but this comes on the same day UK reported more than 4k deaths due to coronavirus. It is sad to see that money will always come first. ",2020-04-29 23:04:04+00:00
2,I hate how coronavirus paused everything,2020-04-29 22:41:10+00:00
3,"Queen Allia International Airport will now be screening passengers arriving to Jordan for #coronavirus symptoms. Two screeners were installed at the airport. 

@QAIAirport #coronavirus #coronovirus #virus #Jordan #traveller #Airportpic.twitter.com/zIviFrzASR",2020-01-28 23:39:10
4,This coronavirus mess is the best introvert excuse sorry guys I can't come I'm scared of contracting the actual fucking plague,2020-01-27 23:35:27
5,"February 8:
 With 806 deaths to date, the novel #coronavirus (2019-nCoV) tops SARS (final toll of 774 deaths in 2003) and is poised to surpass MERS (final toll of 858 deaths in 2012). pic.twitter.com/isrPqJEXEK",2020-02-08 23:42:17
6,"Early signs of economic impact 

#Coronavirus food warning: PRICES DOUBLE in Russia’s Far East after Chinese border closed, vegetable supplies running scarce https://www.rt.com/russia/480074-russia-coronavirus-prices-double/ …",2020-02-04 23:49:30
7,"Cowards of @who and liars of @China are driving humanity to one of its most epic disasters of modern history. 
#coronavirus @WHOJordan",2020-02-25 23:48:57
8,"After #China, absolute rampage of #coronavirus is imminent in #Iran, #Japan, #SouthKorea, and #Italy. No one can do the brutal measures plus the high-tech of China, yet it went viral. Imagine other nations. The world most likely will loose this fight. Embrace for the worst.",2020-02-21 23:23:06
9,What does that mean?? the spread of the Corona virus in Iran is out of control!!!can they hide the number of infected people?? And for how long?? https://twitter.com/TehranDC/status/1231356796570390528 …,2020-02-22 23:56:31
10,"More and more lies from #China every f***ing day. Dead people there are already over 100,000 and millions infected. This is the mother Black Swan everyone was (not) anticipating. Global pandemic is real. Worse than Contagion and Outbreak movies combined. Embrace. #coronavirus pic.twitter.com/4uXJWj9YEU",2020-02-22 23:55:29
11,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…,Sat Jun 13 09:52:26 +0000 2020
12,RT @wef: ‘More masks than jellyfish’: our oceans are paying the price of our disposable COVID waste https://t.co/mAFQ013au2 #covid19 #ocean…,Sat Jun 13 10:08:23 +0000 2020
13,So far all flights are going as scheduled the suspension is for flights to countries and cities with coronavirus outbreak not for the ones for few cases yesterday’s flight from Amman to Montreal was as scheduled and wasn’t canceled,2020-03-02 23:55:33
14,"Stop sharing kids pictures on social media just because you assume they might have corona virus
#الاردن #كورونا_الاردن #كورونا",2020-03-02 23:50:19
