,Tweets,Date
0,How the Coronavirus Pandemic Has Shattered the Myth of College in America https://www.newyorker.com/news/us-journal/how-the-coronavirus-pandemic-has-shattered-the-myth-of-college-in-america via @NewYorker,2020-04-29 23:53:00+00:00
1,Jared Kushner’s “princely arrogance” set back the coronavirus response by weeks: report ,2020-04-29 23:25:08+00:00
2,Trump’s 100 Days of Deadly Coronavirus Denial – Mother Jones ,2020-04-29 23:21:24+00:00
3,"I’m just gonna keep retweeting some shit so y’all see how fucking DUMB some Americans are. Remember the countless government run simulations over the last two decades that have pointed EXACTLY to what happened, sometimes even using a corona virus as a model? No? The mf RESEARCH. ",2020-04-29 23:11:28+00:00
4,Coronavirus In Minnesota: Craft Brewers Say They're Forced To Dump Beer Due To State Taproom Laws https://minnesota.cbslocal.com/2020/04/28/coronavirus-in-minnesota-craft-brewers-say-theyre-forced-to-dump-beer-due-to-state-taproom-laws/?taid=5eaa099ad9c55b00011819fa&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter,2020-04-29 23:11:23+00:00
5,I’m literally so sick of people making it seem like this corona virus is a democratic versus republican thing....ITS A FUCKING HEALTH CRISIS YOU FUCKING MORONS,2020-04-29 22:57:40+00:00
6,"I had a client come in for counsel today and tell me that we have to accept that old people are going to die from this corona virus stuff, but we can't go shutting the economy down because of it. I told her I am one of those old people and tossed her out.",2020-04-29 22:44:44+00:00
7,trump this is the next thing we are going to go after you about. Do you really think we will forget about all the kids dying in the cages you put them in. Corona virus us at the border you saddest,2020-04-29 22:40:02+00:00
8,Studies find men more prone to #COVID19 death http://ow.ly/SlYX30qBRxz #Coronavirus ,2020-04-29 22:35:14+00:00
9,Coronavirus hype biggest political hoax in history - Washington Times ,2020-04-29 23:54:43+00:00
10,CDC: US #COVID19 death toll likely higher than reported http://ow.ly/arLg30qBRrR #coronavirus #pandemic,2020-04-29 22:24:56+00:00
11,Silence on the coronavirus stuff. We have bigger problems.,2020-05-30 23:53:46+00:00
12,"The protests may have expiration date of about 2 weeks- the incubation period, more or less, for coronavirus. I hope not..but there will be cases, no doubt.",2020-05-30 23:08:52+00:00
13,Could Xanax fight coronavirus? Scientists identify seven common medicines including anti-anxiety drug that could be used to block infection via https://dailym.ai/ios,2020-05-30 22:54:16+00:00
14,"He is the head of the coronavirus task force. 104,000 dead Americans in 3 months. What are you thanking him for?",2020-05-30 22:01:50+00:00
15,"Yes, 104,000 dead Americans in 3 months. Historic. You are head of the coronavirus task force. Where is the drive-thru testing? Where is the Google website? Where are the home tests? How do you even show your face in public?",2020-05-30 22:00:30+00:00
16,"I still DISAGREE(d) with curfews during coronavirus, but the thing that specifically makes this these curfews unconstitutional is that they are being put in place to stifle protests that are protected by the First Amendment. ",2020-05-30 21:17:01+00:00
17,"Adam Lawson, Break Curfew. #TrumpResignNow #AntifaTerrorists #riots2020 #SaturdayVibes #protests #columbusprotest #mineapolis #survivior2020 #America #AmericaFirst #covid1948 #coronavirus #Covid_19",2020-05-30 20:53:06+00:00
18,"100 residents, 61 staff infected with coronavirus at West St. Paul senior facility, but no public reports. Congregate care data still hard to find. https://www.hmoob.tv/articles/100-residents-61-staff-infected-with-coronavirus-at-west-st-paul-senior-facility-but-no-public-reports-congregate-care-data-still-hard-to-find/",2020-05-30 20:31:01+00:00
19,"@BridgetPhetasy the farther away you get from Mpls/St Paul, the less that people seem preoccupied with antifa, BLM, coronavirus and the weak local politicians ",2020-05-30 20:19:34+00:00
20,Corona virus who?????,2020-05-30 19:52:02+00:00
21,#Coronavirus #NewsAlert The World Health Organization (WHO) has declared the coronavirus outbreak a global public-health emergency. ,2020-01-30 23:59:08+00:00
22,WHO declares coronavirus a global health emergency: https://mailchi.mp/who.int/who-declares-coronavirus-a-global-emergency #coronarvirus #pandemic #zoonotic #infectiousdisease,2020-01-30 23:48:09+00:00
23,"Aussies trapped in Wuhan by the #coronavirus outbreak will be charged $1,000 to be rescued, THEN ferried straight to quarantine on #ChristmasIsland , THEN dropped off in Perth where they have to find their own way home AT THEIR EXPENSE. WTF?! #ScoMoMustGo",2020-01-30 23:25:30+00:00
24,Corona beer shrugs off misinformation on coronavirus http://dlvr.it/RP4mzB,2020-01-30 22:55:04+00:00
25,"One minute from my house in OC, Ca. The panic is real. #CoronaVirus #WuhanCoronavirus #CoronavirusOutbreak",2020-01-30 22:18:57+00:00
26,Thread by @paul_furber: The #coronavirus and why exponents are scary. Exponents are deceptive and we underestimate them at our peril. Some whhould know better are mocking the small amount of #coronavirus infections at this stage. That's because this is e… ,2020-01-30 21:57:38+00:00
