,Tweets,Date
0,"The novel coronavirus can infect blood vessels, which could explain high prevalence of blood clots, strokes, and heart attacks Coronavirus May Be a Blood Vessel Disease, Which Explains Everything by @SmithDanaG in @elemental",2020-05-30 23:13:53+00:00
1,"Isn't it going further and getting more dreadful! If the dog is indeed infected, it would be the first case of a pet catching the virus from humans. Be prepared! Prevention is better than cure! #CoronaVirus #WuhanVirus #nCov2020 #2019nCoV #COVID19 ",2020-02-28 16:48:16+00:00
2,"I am afraid we may soon need to start thinking of our own safety ourselves as #Covid19 reaches pandemic status. With poorly equipped health system and dense population, it will explode like a bomb in Kathmandu.",2020-02-28 12:27:46+00:00
3,The #PokharaRegionalInternationalAirport was originally scheduled to commence in Jul 2021. The project might be delayed due to the #Covid19 outbreak in #China. https://www.nepalisansar.com/health/covid-19-outbreak-threatens-nepals-construction-projects/ @nepalisansar4u #NepalsConstructionProjects #GautamBuddhaInternationalAirport #CAMC,2020-02-28 10:53:52+00:00
4,A new #coronavirus identified as cause of Wuhan #pneumonia outbreak(china).But to which disease is it closely related? #MERS or #SARS CoV?Because these 2diseases have marked variation in mortality rate. #WuHanPneumonia #OneHealth @ProMED_mail #Weibo #infection #NTDs #Kathmandu,2020-01-09 03:33:26
5,UN health agency alerts Health Ministry about the risk of transmission of a new strain of coronavirus #Nepal #आजकोसमाचारhttps://kathmandupost.com/national/2020/01/13/un-health-agency-alerts-health-ministry-about-the-risk-of-transmission-of-a-new-strain-of-coronavirus …,2020-01-13 03:20:05
6,TKP: UN health agency alerts Health Ministry about the risk of transmission of a new strain of coronavirus - https://kathmandupost.com/national/2020/01/13/un-health-agency-alerts-health-ministry-about-the-risk-of-transmission-of-a-new-strain-of-coronavirus …,2020-01-13 02:17:11
7,"Pneumonia Outbreak in China, Nepal is also under threat:
A new case of the new Chinese Coronavirus infection has been detected in Thailand. The patient is a... https://www.who.int/china/news/detail/09-01-2020-who-statement-regarding-cluster-of-pneumonia-cases-in-wuhan-china …",2020-01-15 17:26:54
8,"Source of #nCoV2019 may not be compulsorily animal market.Continues fever and SOB followed by dry cough but without vomiting & diarrhea >10days are main symptoms. Not necessarily transmit h2h.Need treatment protocol, alert and train h/workers. #WuhanPneumonia #Coronavirus",2020-01-15 13:15:08
9,"The US State Department warned Americans in China about an outbreak of pneumonia in the central city of Wuhan believed to be caused by a new strain of coronavirus, and which has killed one person - https://thehimalayantimes.com/lifestyle/health/us-warns-citizens-in-china-against-pneumonia-outbreak/ …",2020-01-15 10:43:10
10,"Pneumonia Outbreak in China, Nepal is also under threat:
A new case of the new Chinese Coronavirus infection has been detected in Thailand. The patient is a traveller from Wuhan, China. WHO has issued guidance on how to detect and…https://lnkd.in/fD8GX-s https://lnkd.in/fcbtzYE ",2020-01-15 03:46:52
11,"""There has been ""limited"" human-to-human transmission of a new coronavirus that has struck in China, mainly small clusters in families, but there is potential for wider spread, the World Health Organization (WHO) said on Tuesday.""",2020-01-14 11:44:39
12,This is how you reduce the risk of coronavirus infection. https://www.instagram.com/p/B7Syo3IJJDy/?igshid=bbq804atgfps …,2020-01-14 08:37:21
13,China reports 1st death from new type of coronavirus https://dhrubalamsal.com/china-reports-1st-death-from-new-type-of-coronavirus/ …pic.twitter.com/Hy6ecR6SMo,2020-01-11 03:35:17
14,"#VisitNepal2020 a threat to Nepal.  
Japan confirms first case of new China coronavirus strain https://www.theguardian.com/world/2020/jan/16/japan-confirms-first-case-of-new-china-coronavirus-strain?CMP=share_btn_tw …",2020-01-16 06:03:57
15,"Suspected case of novel Corona virus is admitted in  sukra Raj tropical and infections disease hospital, Kathmandu, Nepal. https://twitter.com/atulmishra7/status/1217667059359682565 …",2020-01-16 04:53:21
16,WHO advice for international travel and trade in relation to the outbreak of pneumonia caused by a new coronavirus in China http://dlvr.it/RNJsjQ ,2020-01-19 01:19:03
17,I read about the new Corona virus and I lowkey have the symptoms and now I'm hella freaking out but I know theres no way I'm contracting it cuz I havent gone to a public place for some time but I'm still freaking out. I prolly just have cold. Prolly.,2020-01-18 10:06:56
18,"Chinese health authorities said on Saturday they had discovered four more cases of pneumonia following an outbreak of what is believed to be a new coronavirus strain in the central city of Wuhan, raising concerns that the disease could spread further - https://thehimalayantimes.com/lifestyle/health/china-reports-new-wuhan-virus-cases-ahead-of-key-holiday/ …",2020-01-18 07:30:09
19,"WHO advice for international travel and trade in relation to the outbreak of pneumonia caused by a new coronavirus in China #coronavirus
https://www.publichealthupdate.com/who-advice-for-international-travel-and-trade-in-relation-to-the-outbreak-of-pneumonia-caused-by-a-new-coronavirus-in-china/ …",2020-01-18 06:38:18
20,"The throat swab, blood sample of a Nepali suspected of being infected with corona virus, will soon be sent to New Delhi or Hong Kong to confirm whether he has contracted the fatal disease, reports @ShabiDhakal #Pneumonia -https://wp.me/p6iC0n-2Gte ",2020-01-18 03:15:00
21,THT: Corona virus infection suspected in capital - https://thehimalayantimes.com/kathmandu/corona-virus-infection-suspected-in-capital/ …,2020-01-18 03:03:10
22,Be aware of Corona Virus..........it's communicable. https://www.kantipath.com/health-and-education/corona-virus-spotted-in-nepal …,2020-01-18 02:47:05
23,"The urge to be aware! 
The coronavirus spread in China is very likely to spread anywhere in the world, most seriously to its neighboring countries. The virus does not take long to become pandemic and we cannot think of its effect. ...
#High_Alert!",2020-01-18 02:28:23
24,"Coronavirus Outbreak: Nepal initiates screening of travelers from China, Japan, Thailand at airports https://abpnepal.net/coronavirus-outbreak-nepal-initiates-screening-of-travelers-from-china-japan-thailand-at-airports/ …",2020-01-17 15:14:38
25,"The report says it was a Nepali studying in China. But the sad part is that the patient was discharged as his health was improving BUT the scary part is that, ""he could not be tested for coronavirus for the lack of kit"" @mohpnep @hello_sarkar @PM_Nepalhttps://tkpo.st/3ahBYtz ",2020-01-17 09:22:01
26,#Coronavirus test on China returnee shows negative result – https://english.onlinekhabar.com/coronavirus-test-on-china-returnee-shows-negative-result.html#.XiFxXYKEwbc.twitter …pic.twitter.com/wUEceoUPt2,2020-01-17 08:33:54
27,OnlineKhabar: Coronavirus test on China returnee shows negative result - https://english.onlinekhabar.com/coronavirus-test-on-china-returnee-shows-negative-result.html …,2020-01-17 08:26:14
28,Chinese Man Infected With Mysterious Strain Of Corona Virus Quarantined In Nepal - NDTV News : https://ift.tt/2tpULm2 ,2020-01-17 08:07:17
29,TKP: Nepali man suspected to have been infected with the new strain of coronavirus discharged - https://kathmandupost.com/health/2020/01/17/chinese-man-quarantined-with-coronavirus-under-observation-in-kathmandu-officials-confirm …,2020-01-17 07:13:50
30,"Asked if the guy who is under quarantined for suspected #nCoV visited seafood,Wuhan,which is widely believe to be source of nCoV, but he denied,meaning it mayb spreading human to human, but his relatives so far fine. #Tropmed #WuhanPneumonia #NTDs #Infection #coronavirus #vaccine",2020-01-17 01:43:58
31,"Statement on the meeting of the International Health Regulations(2005) Emergency Committee regarding the outbreak of novel coronavirus(2019-nCoV)
@WHO @DrTedros
https://www.publichealthupdate.com/statement-on-the-meeting-of-the-international-health-regulations-2005/ … 
Novel #Coronavirus #nCoV2019 CoV #VirusCorona #VirusChina #CoronavirusOutbreak #coronavirus",2020-01-23 23:31:52
32,"Passengers arriving to Nepal are pictured on a thermal scanner inside the arrival section at Tribhuvan International Airport in Kathmandu, Nepal on Tuesday, January 28, 2020. The outbreak of pneumonia in China is believed to have been caused by a new strain of corona virus, pic.twitter.com/e3oSXteFfU",2020-01-28 23:59:15
33,"Coronavirus: 45 more deaths, 1,921 new cases reported in Hubei province, the epicentre of the outbreak  pic.twitter.com/0fmcZx8R0t",2020-02-01 23:37:02
34,"World is Facing corona virus
Nepal is Facing 
senti virus",2020-02-19 23:28:26
35,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…,Sat Jun 13 09:52:26 +0000 2020
36,"Coronavirus Nepal:
No of new cases: 273
Total no of cases: 5335
No of deaths: 18

#covid19",Sat Jun 13 10:35:07 +0000 2020
37,"Ministry of Health and Population has reported 273 new cases of #coronavirus infection on Saturday, taking the nati… https://t.co/3PFXMRCSKE",Sat Jun 13 10:50:14 +0000 2020
38,"RT @AppHomeopathy: A to Z steps to beat transmission, infection and effects of #Corona virus and #COVID19 pandemic. https://t.co/iDAVkecnvk",Sat Jun 13 11:05:00 +0000 2020
39,"RT @Saj_PakPassion: Gautam Gambhir ""Nobody should be infected with this virus. I have political differences with Shahid Afridi but I want h…",Sat Jun 13 11:32:10 +0000 2020
40,RT @fullauri: i just read press release of #enoughisenough #covid19 campaign in Nepal. It is REALLY disheartening to see that it does not m…,Sat Jun 13 13:40:48 +0000 2020
41,RT @DrTomFrieden: 2 million cases is just the tip of the iceberg of how #COVID19 is spreading. Looking at identified deaths and the latest…,Sat Jun 13 13:31:14 +0000 2020
42,"China locks down Mount Everest climbing routes
Mountain climbing expedition operators on Mount Everest says Chinese mountaineering officials will not allow spring climbs from their side of the world's highest mountain due to fears of coronavirus.
#news",2020-03-12 23:58:11
