,Tweets,Date
0,"#niet_in_journaal #US #military #COVID_19 The complete list of military coronavirus cases by base, as second Navy ship faces a major outbreak ",2020-04-29 23:54:18+00:00
1,Michigan doctor charged with fraud after allegedly touting vitamin C infusions as coronavirus treatment http://www.myheadlinez.com/40506340/Michigan-doctor-charged-with-fraud-after-allegedly-touting-vitamin-C-infusions-as-coronavirus-treatment/,2020-04-29 23:48:23+00:00
2,"FOLKS! After you give your heart to Jesus, you're supposed to keep using your brain! ‘A phantom plague’: Evangelicals who defied social distancing guidelines are dying of coronavirus in frightening numbers – Raw Story ",2020-04-29 23:24:47+00:00
3,I used Duckduckgo to search for 'Coronavirus: how dangerous is it?' and your Youtube video came up seventh. In Google: nothing.,2020-04-29 23:10:37+00:00
4,"#Lebanon : for the 4th night in a row riots are taking place in the city of #Tripoli. The combination of economic collapse, government repression, corruption and #coronavirus lockdowns have made life unbearable for many Lebanese. #لبنان_يتنفض",2020-04-29 23:07:58+00:00
5,If they have time to play they need to go home. Doesn't look as if their services are needed. That is not in anyway funny. People have died and went through hell with the coronavirus and their mocking them. Very unprofessional,2020-04-29 22:42:22+00:00
6,"OMG! Thunberg said in a statement that “like the climate crisis, the coronavirus pandemic is a child-rights crisis”",2020-04-29 22:30:01+00:00
7,"#COVID1984 #coronavirus From 9/11 we have learned there are 3 branches profiteering and working together, always hiding behind each others backs: 1. politics (propaganda) 2. commercial (marketing) 3. religion (belief). Think about it. How does that relate to #Covid1984?",2020-04-29 22:23:43+00:00
8,"Most of them are Americans with legitimate grievances and concerns...not that Trump cares about them, or black Americans being murdered by police or the 105,000 dead from the coronavirus or anyone but himself...he's too busy putting the dick in dictator.",2020-05-30 23:05:14+00:00
9,"COVID-19 patients who undergo surgery are at increased risk of postoperative death: Patients undergoing surgery after contracting coronavirus are at greatly increased risk of postoperative death, a new global study reveals. Researchers found that amongst… ",2020-05-30 22:48:32+00:00
10,"Romanian Prime Minister Ludovic Orban paid a 3,000 lei fine ($690) on Saturday for breaking his own coronavirus restrictions ",2020-05-30 22:37:39+00:00
11,Coronavirus reveals the truth about Denmark’s costly carbon tax. Raising it is not considered now because of the economic uncertainty. ,2020-05-30 21:36:37+00:00
12,‘America in 2020 has stunned itself with a collapse that’s larger and deeper than one miserable leader’ The Coronavirus Revealed America’s Failures - The Atlantic ,2020-05-30 21:03:51+00:00
13,"We've ""never"" had a FLU Vaccination Ms. Dawkins & , &amp; we'll never take a vaccine for the #coronavirus either! #Guaranteed PS: Its been over 10 YR's since we've had any cold &amp;/or flu like symptoms, &amp; we owe it to the 65 Vitamins, Supplements &amp; Herbs we take ""every day"" @POTUS",2020-05-30 20:44:19+00:00
14,Coronavirus: Restrictions return in South Korea after new spike in COVID-19 cases ,2020-05-30 20:43:41+00:00
15,What CORONA VIRUS? What SOCIAL DISTANCING? ,2020-05-30 20:39:08+00:00
