,Tweets,Date
0,How many people do you know have or have had the Corona virus?,2020-04-29 23:56:49+00:00
1,The #coronavirus outbreak has had former President Bill Turner busy at his full time job at the Chester County Emergency dept. One of the reasons for reorganization according to VP Jones. @LancasterOnline,2020-04-29 23:56:14+00:00
2,"When Things Really Suck, Feel Your Feelings: Grief, Climate, and Coronavirus a deep and informed conversation with eight women on @citizenscradio - https://petersontoscano.com/suckfeel-feelingsgriefclimatecoronavirus/ @ElizabethaRush",2020-04-29 23:55:21+00:00
3,#TechnoCool: The coronavirus outbreak means an opportunity for fintech companies - Marketplace #fintech #cryptocurrency #dlt #blockchain #iot #hyperledger #businessblockchain Read More Here:,2020-04-29 23:54:28+00:00
4,Did we ever get that present from North Korea? Or was it Corona virus ?,2020-04-29 23:48:25+00:00
5,Coronavirus crisis forcing Pennsylvania farmers to euthanize chickens https://www.phillyvoice.com/pennsylvania-farmers-coronavirus-chickens-euthanized-meat-processing-facilities-covid-19/?utm_source=dlvr.it&amp;utm_medium=twitter&amp;utm_campaign=pv-site,2020-04-29 23:48:04+00:00
6,"HARRISBURG – While coronavirus deaths in nursing homes mount, state officials have yet to commit to naming which long-term care facilities have been hit by coronavirus outbreaks. ",2020-04-29 23:42:07+00:00
7,Miscalculation at Every Level Left U.S. Unequipped to Fight Coronavirus - WSJ ,2020-04-29 23:38:14+00:00
8,2 guards at ICE jail die after contracting coronavirus http://a.msn.com/01/en-us/BB13nMbY?ocid=st,2020-04-29 23:34:37+00:00
9,Tucker: Big Tech censors dissent over coronavirus lockdowns https://youtu.be/sPrbGU0Wyh4 via @YouTube,2020-04-29 23:34:08+00:00
10,‘A Dramatic Turn For The Worst’: 64-Year-Old Beaver Co. Man Barely Showing Coronavirus Symptoms Dies Of A Stroke ,2020-04-29 23:32:32+00:00
11,Russia’s coronavirus outbreak is getting bad. Putin says the worst is yet to come. - Vox ,2020-04-29 23:32:21+00:00
12,Another quote that has implication in the apocalyptic world that I am creating. SARS-CoV-2 will surely impact our world for generations to come. What would happen if a virus were genetically engineered? #amwriting #amreading #WritingCommunity #coronavirus,2020-04-29 23:29:28+00:00
13,"“Lost jobs. Lost freedom. Friends, relatives, co-workers, and patients gone too soon.” @barbaralaker takes us to Beechwood Street in South Philly and tells the tale of tight-knit neighbors who are supporting one another through the coronavirus crisis 3/ ",2020-04-29 23:28:19+00:00
14,"Panama COVID-19: Two new deaths attributed to the novel coronavirus on Wednesday, raising the accumulated total to 178. 178 new reported infections, totaling 6,378. 1,042 new tests, totaling 29,837. Data according to the health ministry's director of epidemiology Lourdes Moreno.",2020-04-29 23:16:16+00:00
15,Sean Hannity threatens to sue the New York Times if they don't apologize and retract coronavirus story ,2020-04-29 23:15:07+00:00
16,Coronavirus Crisis: Bill de Blasio's Incompetence Endangered Lives | National Review ,2020-04-29 23:14:32+00:00
17,They looked at me like oh no this bitch got the corona virus I seen they faces and straight went to get my mask ,2020-04-29 23:11:41+00:00
18,"As the U.S. exceeds 1,000,000 coronavirus cases, our team in Washington, D.C. is examining the issues that likely won't be featured tonight during primetime cable news — including propo…​ ",2020-04-29 23:05:02+00:00
19,"How is it that Mike Pence and those around him can get tested all the time: “As vice president of the US, I’m tested for the coronavirus on a regular basis, and everyone who is around me is tested” yet Zoe Mungin, a teacher in NYC with symptoms, died after being denied twice? ",2020-04-29 22:59:20+00:00
20,Coronavirus Pennsylvania: In-State College Tuition Frozen For Next Year Due To COVID-19 Pandemic ,2020-04-29 22:59:02+00:00
21,I know sports don’t matter and corona virus has consumed the world but Gronk and OJ Howard are gonna kill it this season.,2020-04-29 22:57:31+00:00
22,"The @tribunedemocrat announces they're cutting back to 5-days-a-week, citing lost revenues due to the Coronavirus crisis as a final blow from economic challenges throughout the newspaper industry. ",2020-04-29 22:51:44+00:00
23,So if the coronavirus can be considered a biological weapon... Can we please prosecute the public figures who allowed coronavirus to spread through inaction or misinformation? Thanks #COVID19,2020-04-29 22:48:16+00:00
24,Recruiters Share 9 Mistakes Job Seekers Are Making Amid The Coronavirus Pandemic ,2020-04-29 22:47:59+00:00
25,"25,000 new cases and 2000 deaths everyday is the new normal?? #coronavirus",2020-04-29 22:45:05+00:00
26,I don’t care how bad the corona virus gets I’m not dancing on Tik Tok lol.,2020-04-29 22:44:59+00:00
27,"Telemedicine bill vetoed, mixed drinks bill still alive; universities freeze tuition; more: Latest on coronavirus in Pa. ",2020-04-29 22:39:07+00:00
28,"The coronavirus is an ""all hands on deck emergency"" for state officials. ",2020-04-29 22:39:04+00:00
29,"I have an aunt who will share something saying “heart react for all those loss to covid” and in the same breath share something that says coronavirus is fake, which confuses me because my grandma literally died of coronavirus",2020-04-29 22:29:18+00:00
30,Florida medical examiners were releasing coronavirus death data. The state made them stop. http://www.tampabay.com/news/health/2020/04/29/florida-medical-examiners-were-releasing-coronavirus-death-data-the-state-made-them-stop/ #SmartNews,2020-04-29 23:55:33+00:00
31,"“The episode comes as New York City’s Orthodox population reels from the coronavirus, which has ricocheted through Hasidic neighborhoods in Williamsburg, Crown Heights and Borough Park. Those neighborhoods have had high rates of infection...” ",2020-04-29 22:16:25+00:00
32,"I find it amusing how protestors all over would act a fool across the country on the where abouts of another's death but wouldnt dare to protest to our government being unemployed due to the corona virus, lol. I had literally thought these riots occurring where COVID-19 inspired.",2020-05-30 23:53:15+00:00
