,Tweets,Date
0, NEWS ALERT World Health Organization declares coronavirus outbreak a public health emergency ,2020-01-30 23:32:01+00:00
1,Fact-checking coronavirus conspiracies and hoaxes ,2020-01-30 23:10:01+00:00
2,Health alert. #contagion #fever #china #wuhan #outbreak #coronavirus #viruspic.twitter.com/YkoxmpWZOz,2020-01-17 12:54:55
3,UN health emergency committee to re-convene on global threat posed by coronavirus http://dlvr.it/RNYwTN pic.twitter.com/WJISSa3aB1,2020-01-22 23:58:03
4," NEWS ALERT 

Authorities limit the travel of 11 million residents, shut down transportation in Wuhan amid Coronavirus outbreak https://twitter.com/i/events/1220065224117481472 …",2020-01-22 23:37:18
5,"January 2020:
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
-Turkey 6.8 quake
- earthquake in indonesia
- jakarta flood
- wuhan coronavirus outbreak

And we still got 11 months to go. Nakakatakot ",2020-01-26 23:57:47
6,"PUBLIC HEALTH EMERGENCY

Scientists urge caution around pangolin 'link' in spread of deadly coronavirus https://twitter.com/i/events/1225857900616142848 …",2020-02-07 23:39:51
7,"PUBLIC HEALTH EMERGENCY

Chinese rage after the death of the doctor who tried to warn the world about coronavirus https://twitter.com/i/events/1225741309287075840 …",2020-02-07 23:37:45
8,"PUBLIC HEALTH EMERGENCY

Life aboard a quarantined cruise ship in the midst of a coronavirus outbreak https://twitter.com/i/events/1225871665931751425 …",2020-02-07 23:32:24
9,"One of the viruses that circulates and causes the common cold along with adeno and rhino virus is the regular corona virus. This is not the 2019-nCoV CV that is novel (new) and is causing the outbreak in China. 
What can Laredoans do: 
•Use common respiratory prevention actions pic.twitter.com/cXsOaoovk4",2020-02-05 23:33:12
10,"PUBLIC HEALTH EMERGENCY

Hyundai to suspend production in South Korea due to the coronavirus outbreak https://twitter.com/i/events/1224736848141926400 …",2020-02-04 23:37:30
11,"PUBLIC HEALTH EMERGENCY

Coronavirus: State media reports death of Wuhan hospital director as global death toll rises to almost 1900 https://twitter.com/i/events/1219057585707315201 …",2020-02-18 23:58:42
12,"""Masked men stole hundreds of rolls of toilet paper in HK amid coronavirus fears""  https://twitter.com/i/events/1229313970781077505 …",2020-02-17 23:45:08
13,This is so fucking racist wtf!!!! He’s trying to be “funny” misspelling their names then he said sorry army don’t hate me when he already said such thing and at the end he dare to say their manager’s names is Coronavirus! Wtf how dare him https://twitter.com/yoonwrld/status/1231336260528201730 …,2020-02-22 23:42:19
14,RT @Nicxsy1: SHARE the HELL out of this #BorisResign #Corrupt #Partiality #DailyMail #dominiccumnings #ToriesOUT #CumSack #BorisResign #COV…,Sat Jun 13 12:49:12 +0000 2020
15,"RT @UN_Women: Economic uncertainty
Health concerns
Movement restrictions
Anxiety over security
Crowded homes
Reduced peer support
Stress of…",Sat Jun 13 13:35:46 +0000 2020
16,"Parties at Biglow’s have now been set to limited spectators due to the coronavirus outbreak, Ill update this the more we know",2020-03-10 23:57:49
17,"My teacher goes “we have way worse then corona virus, we have inbred”",2020-03-10 23:55:48
