,Tweets,Date
0,"This is the one that bothers me. If your motivation for driving all the way to Durham is to safeguard your child... 1. Why let your son dress up as a doctor to ""administer medicine"" to somebody with Coronavirus? 2. Why would you then drive them around ""testing your eyesight""?",2020-05-30 21:55:58+00:00
1,"Updated immigration information for foreign nationals residing in Indonesia, holders of emergency stay permit #IndonesianWay #coronavirus #togetherwecan #bersamakitabisa #Repost @ditjen_imigrasi… https://www.instagram.com/p/CA04quYHlYB/?igshid=1885yi5ukcnl7",2020-05-30 21:01:15+00:00
2,Your world is devoid of facts.. Cummings is neck deep in promoting a strategy for coronavirus that has lead to England having the highest death rate per capita in the world This latest 6 people from 6 households ensured it will skyrocket further,2020-05-30 20:11:26+00:00
3,"With this Corona Virus from China ...and the delay of the League, loads of foreign players thinking to move back to Europe. Should we take Dembele back for 6 months loan or maybe the Venezuela striker that played for New Castle",2020-01-30 21:30:19+00:00
4,"The guy with the nano silver particles that kill the virus in mosques died from COVID19. The virus must be going ""science"".",2020-02-28 17:19:37+00:00
5,Chinese Report Says Illnesses may be From New Coronavirus https://www.theepochtimes.com/chinese-report-says-illnesses-may-be-from-new-coronavirus_3197674.html … via @epochtimes,2020-01-09 13:00:02
6,"First death from Wuhan pneumonia outbreak reported - STAT https://buff.ly/2TeYSvO  new coronavirus, human 2 human probably not happening (yet?) pic.twitter.com/0FrIENuVXX",2020-01-12 14:48:03
7,Breaking: Coronavirus Is Bioweapon For Population Control https://www.youtube.com/watch?v=-1qaKpAQDW0&feature=share …,2020-01-23 23:20:21
8,Commodities Corner: What the 2003 SARS epidemic tells us about the potential impact of China’s coronavirus on oil and metals - https://www.viralnews.monster/?p=1345 pic.twitter.com/ouDjFEsi1d,2020-01-22 23:46:12
9,HRC Arrest On October 22nd 2020? Schumer Talking To An Entity?! Corona Virus! :coded: https://www.youtube.com/watch?v=tP1dSZ4JDDQ&feature=share …,2020-01-22 23:14:14
10,Coronavirus: Should you be worried? https://edition.cnn.com/2020/01/20/health/what-is-coronavirus-explained/index.html …,2020-01-22 22:54:34
11,"1st U.S. case of deadly new coronavirus found in Wash. state, report says https://katu.com/news/local/1st-us-case-of-deadly-new-virus-found-in-wash-state-reports-say …",2020-01-21 23:24:44
12,"#coronavirus i'm still wondering why would they start building more hospitals yet everyone has this chill vibe that everything is alright and noone should be worried about anything, kinda contradictory imho, i guess thats why everyone is so confused & #shocked, #pandemic or not?",2020-01-29 23:57:28
13,This study predicted a coronavirus outbreak one year ago  http://zpr.io/twEVs ,2020-02-27 23:59:05
14,RT @europe_creative: What's the impact of the #coronavirus outbreak on Europe's audiovisual sector and how to face the challenges after the…,Sat Jun 13 08:03:59 +0000 2020
15,"RT @kimmaicutler: Still ridiculous how badly this country screwed this up. California, which is thought of as having done a good job, has 1…",Sat Jun 13 10:32:34 +0000 2020
16,@OPfaar #MustRead EAACI/ARIA #PositionPaper on #COVID19 pandemic and the #allergy clinic ! @OPfaar @AkdisCezmi… https://t.co/d5VlOUGjGS,Sat Jun 13 10:50:07 +0000 2020
17,RT @FlorinDanPopesc: @OPfaar #MustRead EAACI/ARIA #PositionPaper on #COVID19 pandemic and the #allergy clinic ! @OPfaar @AkdisCezmi @liam_O…,Sat Jun 13 10:56:30 +0000 2020
18,RT @ThatTimWalker: This will be an odd chapter in The Decline and Fall of Great Britain. In the same month Michael Gove committed the count…,Sat Jun 13 09:52:37 +0000 2020
19,"RT @Warren_S_Nel: Sorry to say, but the @BBCnews are reporting that Brasil has the second highest death toll at just over 41,000, but we kn…",Sat Jun 13 11:38:43 +0000 2020
20,"Brexit Petition: Extend the transition.
Delay negotiations until after the coronavirus outbreak!

https://petition.parliament.uk/petitions/300412 …",2020-03-18 23:57:25
