,Tweets,Date
0,"Nothing you can “brag about “ will ever erase your Dereliction of Duty when it comes to several things, including but not limited to the Coronavirus Pandemic Outbreak that is taking lives as you TWEET. Your complete lack of compassion and empathy is disgusting and appalling.",2020-04-29 23:59:14+00:00
1,"The con-artist’s failure to heed the warnings about coronavirus and act quickly has set a train into a domino effect that now imperils large swathes of the US. I’m sure Trump is working for Russia, he’s compromised just like the rest of the Republican GOP, there’re all TRAITORS! ",2020-04-29 23:57:26+00:00
2,"Numbers show damage of #coronavirus shutdown, but SC could bounce back in 2020, economists say ",2020-04-29 23:52:31+00:00
3,DHEC increases Thursday coronavirus deaths by 29 after cross analysis ,2020-04-29 23:50:09+00:00
4,"SC public health officials have confirmed 29 previously unrecorded #coronavirus deaths, bringing the state's total to 232 ",2020-04-29 23:49:04+00:00
5,"After this corona virus, I’m taking my baby to Texas with us. He’s fully potty trained now anyways ",2020-04-29 23:42:02+00:00
6,LIVES LOST: It’s been two months since the first U.S. coronavirus death. Here’s a look at some of the lives lost ,2020-04-29 23:42:00+00:00
7,I just checked the coronavirus data at my late mom's former nursing home. Tragic numbers. Nearly a quarter of the residents there currently have coronavirus as do 14 staff members. Prayers for everyone at my mom's former facility. ,2020-04-29 23:40:42+00:00
8,"More than 1,000 NYPD officers are infected with coronavirus ",2020-04-29 23:39:02+00:00
9,"Parents, please read covid-19 is doing something different in kids than adults. Europe has been seeing an uptick in these new cases & it now starting to show in US. First U.S. case of rare inflammatory syndrome linked to coronavirus https://mol.im/a/8267721 via @MailOnline",2020-04-29 23:33:09+00:00
10,How the Coronavirus Pandemic Has Shattered the Myth of College in America ,2020-04-29 23:26:24+00:00
11,Richland County is losing hundreds of June primary poll workers to coronavirus fears ,2020-04-29 23:23:33+00:00
12,@scdhec identifies 29 additional deaths associated with #coronavirus. https://bit.ly/2VNxNQZ,2020-04-29 23:19:46+00:00
13,"Let's show some numbers. Testing 1.7% Cases over 1 million Deaths over 60,000 #COVID19 #coronavirus #PeopleOverProfit #HealthyAtHome #StayHome #PPEShortages #VoteBlue2020",2020-04-29 23:09:13+00:00
14,".@scdhec has announced an additional 29 deaths related to #COVID19 #coronavirus that had not been previously reported, bringing the statewide total to 5,910 cases and the death toll to 232. Also, beaches are open. Have fun. ",2020-04-29 23:03:22+00:00
15,DHEC: 29 more coronavirus deaths in South Carolina that previously thought ,2020-04-29 23:00:14+00:00
16,"DHEC said they have identified 29 new coronavirus deaths in South Carolina which had not been reported previously, including 11 people in the Upstate. ",2020-04-29 22:54:25+00:00
17,BREAKING: DHEC identifies 29 more coronavirus-related deaths that were previously unreported in South Carolina. The state's death toll is now up to 232. ,2020-04-29 22:48:12+00:00
18,"Sorry but unless they've redesigned the entire plant there's no way to keep the recommended distance between you and your coworkers, one car going down the line that has been exposed to the Coronavirus will infect 2/3 of the workforce.",2020-04-29 22:39:19+00:00
19,"COLUMBIA, S.C. — The South Carolina Department of Health and Environmental Control (DHEC) today announced 130 new cases of the novel coronavirus COVID-19, and 11 additional deaths were reported to DHEC.This brings the total number of people confirme… ",2020-04-29 22:33:04+00:00
20,29 previously unrecorded coronavirus deaths in S.C. were confirmed Wednesday evening. The newly-identified deaths came as a result of ongoing cross analysis and double checking of deaths reported to S.C. DHEC. ,2020-04-29 22:29:50+00:00
21,"The Agenda: SC receives F for social distancing; Charleston County could have more than 2,500 untested coronavirus cases ",2020-04-29 22:25:27+00:00
22,Tucker: Big Tech censors dissent over coronavirus lockdowns https://youtu.be/sPrbGU0Wyh4 via @YouTube,2020-04-29 23:34:08+00:00
23,Tired of takeout? SC restaurant group requests May 4 for outdoor dine-in services https://www.thestate.com/news/politics-government/article242372486.html #sctweets #coronavirus #readlocal,2020-04-29 22:21:54+00:00
24,"Coronavirus update: Global death toll tops 365,000 as Brazil, Mexico and Peru record spikes in new cases ",2020-05-30 23:44:01+00:00
25,@henrymcmaster Governor did you watch the ABC national news tonight? I'm sure you did not. South Carolina is one of the states with the coronavirus On The Rise and you want to open up everything. You are a fool you are going to cause sickness and death it will be on your clock!!,2020-05-30 22:47:15+00:00
26,"Two examples of unnecessary yard signs during coronavirus: 1) ""my music ministry misses me"" 2) preschool graduate WITH COLORED PICTURE in cap and gown",2020-05-30 22:15:09+00:00
27,So y’all notice how the corona virus just disappears?,2020-05-30 22:13:55+00:00
28,So we just gonna forget about the Corona virus ?,2020-05-30 21:47:01+00:00
29,DHEC has reported 266 new cases and 4 additional deaths from coronavirus ,2020-05-30 21:44:33+00:00
30,"COLUMBIA, S.C. — The South Carolina Department of Health and Environmental Control (DHEC) today announced 266 new cases of the novel coronavirus COVID-19 and 4 additional deaths. ",2020-05-30 21:33:08+00:00
31,Are Coronavirus Fears Spurring a New Construction Frenzy? https://bit.ly/2zYKMXV,2020-05-30 21:37:08+00:00
32,"SC #coronavirus data - May 30 Cases New: 266 Total: 11,394 Deaths New: 4 Total: 487 Tests New: 5,688 Total: 199,735 ",2020-05-30 20:53:05+00:00
33,"From P&C: SC logs 266 new coronavirus cases, 4 deaths at end of record-breaking week https://ift.tt/2TUAkHV #chsnews",2020-05-30 20:46:17+00:00
34,"Protest is going through the City Market, which is still closed because of coronavirus. ",2020-05-30 20:25:20+00:00
