,Tweets,Date
0,Clorox always had “kills coronavirus “ on their labels. It’s mostly referring to the other forms of coronavirus. Not COVID-19,2020-04-29 23:40:47+00:00
1,Understanding the Economic Shock of Coronavirus ,2020-04-29 22:24:16+00:00
2,Pope Francis calls for end to 'pandemic of poverty' after coronavirus ,2020-05-30 23:10:48+00:00
3,"Coronavirus outbreak: Ontario reports 292 new COVID-19 cases, 32 new deaths | FULL #COVID19 #DORSCON",2020-05-30 21:30:32+00:00
4,"Read more... & More about Twitter, Conspiracy Theories, Misinformation, 5g, and Coronavirus #techtrends #techno https://bit.ly/2VPC8SF",2020-05-30 19:27:29+00:00
5,"China's Health Commission says #Coronavirus death toll hits 213, total confirmed cases at 9,692",2020-01-30 23:58:49+00:00
6,#WuhanCoronavirus #WuhanVirus #Coronavirus #CoronavirusOutbreak #nCoV2020 #nCoV2019 WHO declares international emergency over Wuhan virus,2020-01-30 23:54:13+00:00
7,"Singapore, Malaysia clamp down on online falsehoods about coronavirus ",2020-01-30 23:49:05+00:00
8,"Italian authorities examined samples taken from a Chinese woman ill with a fever, as well as her travelling companion, and both were negative for coronavirus. ",2020-01-30 23:45:09+00:00
9,WHO declares the coronavirus a “global public health” emergency as U.S. confirms it’s first person-to-person spread. ⁦@airhen⁩ reports.,2020-01-30 23:37:15+00:00
10,"WHO declares coronavirus outbreak a global health emergency - but recommends no travel and trade restriction, all 3 US stock indices rallied to close higher. ",2020-01-30 23:28:18+00:00
11,"World Health Organisation #WHO declared a #GlobalEmergency over the deadly #coronavirus ""The whole world needs to take action,"" Michael Ryan, head of the WHO Health Emergencies Programme. #WuhanCoronavirus",2020-01-30 23:07:03+00:00
12,"The World Health Organization on Thursday (Jan 30) declared a global emergency over the deadly coronavirus spreading from China, after the Asian giant reported its biggest single-day jump in the death toll. ",2020-01-30 22:59:30+00:00
13,WHO declares international emergency over novel coronavirus https://cna.asia/2OeS91o,2020-01-30 22:34:02+00:00
