,Tweets,Date
0,The fact that coronavirus tests are STILL being rationed in the wealthiest country on Earth is a total failure of government. ,2020-04-29 23:49:45+00:00
1,"New York Post Publisher Tells Staff That Business Is ‘Drastically Destroyed’ by Coronavirus, Announces Layoffs Bye Bye. ",2020-04-29 23:47:06+00:00
2," ""This is how science actually works. It’s less the parade of decisive blockbuster discoveries that the press often portrays, and more a slow erratic stumble toward ever less uncertainty"" from ""Why the Coronavirus Is So Confusing"" @edyong209 @TheAtlantic https://www.theatlantic.com/health/archive/2020/04/pandemic-confusing-uncertainty/610819/",2020-04-29 23:16:48+00:00
3,We don’t need Carnac the Magnificent A fool in the WH is predicting the coronavirus virus is “going to go away”. ,2020-04-29 23:10:32+00:00
4,Gun Makers Produce Masks for First Responders amid Coronavirus Crisis https://www.breitbart.com/2nd-amendment/2020/04/29/gun-manufacturers-producing-masks-for-first-responders-during-coronavirus-crisis/ via @BreitbartNews,2020-04-29 22:25:17+00:00
5,China's global growth in jeopardy as Beijing blasts allies amid coronavirus crisis https://fxn.ws/2KJP8UX #FoxNews,2020-04-29 22:51:07+00:00
6,Corona virus is not a joke ,2020-05-30 22:17:19+00:00
7,"from NBC News ""Roberts joins liberals as Supreme Court rejects challenge to coronavirus limits on church services A California church had argued that putting a limit on crowd size violates constitutional guarantees of religious freedom.""+"" https://twitter.com/ShimonCoen/status/1266853666633379840",2020-05-30 22:10:29+00:00
8,"Roberts joins liberals as Supreme Court rejects challenge to coronavirus limits on church services https://www.nbcnews.com/politics/supreme-court/supreme-court-rejects-challenge-coronavirus-limits-church-services-n1219336 via @nbcnews """"Although California’s guidelines place restrictions on places of worship, those restrictions appear consistent with the free exercise clause""",2020-05-30 22:07:05+00:00
9,"Roberts joins liberals as Supreme Court rejects challenge to coronavirus limits on church services https://www.nbcnews.com/politics/supreme-court/supreme-court-rejects-challenge-coronavirus-limits-church-services-n1219336 via @nbcnews ""Chief Justice John Roberts joined the court's four liberals in an unsigned order that denied the church's application for a stay of the""",2020-05-30 22:05:22+00:00
10,Roberts joins liberals as Supreme Court rejects challenge to coronavirus limits on church services https://www.nbcnews.com/politics/supreme-court/supreme-court-rejects-challenge-coronavirus-limits-church-services-n1219336 via @nbcnews,2020-05-30 22:22:56+00:00
11,How did Vietnam manage to avoid even one coronavirus death? https://nypost.com/2020/05/30/how-did-vietnam-manage-to-avoid-even-one-coronavirus-death/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypost,2020-05-30 21:05:15+00:00
12,why is the news worried about the coronavirus,2020-05-30 21:02:07+00:00
13,"The governor also called for an end to ""inequality in healthcare,"" with new testing sites in minority communities hit hard by coronavirus. https://trib.al/Jr5VEVN",2020-05-30 19:50:50+00:00
14,You have corona virus shut up ,2020-01-30 23:57:25+00:00
15,City turned ghost town: Take a look inside sealed-off Wuhan amid coronavirus outbreak in China ,2020-01-30 22:55:48+00:00
16,"Correct me if i’m wrong,but this all started bc someone over there ate a or a ? Thats what I heard, but wanna make sure... Coronavirus is an international ‘public health emergency,' WHO says ",2020-01-30 22:52:35+00:00
17,what if the coronavirus is the 0.1% of bacteria hand sanitizer couldn’t kill,2020-01-30 22:34:35+00:00
18,World Health Organization Declares Global Health Emergency Amid Coronavirus Outbreak ,2020-01-30 22:32:36+00:00
19,This whole corona virus is a set up. THEY ALL WANT US GONE ,2020-01-30 22:17:19+00:00
20,Coronavirus is emerging public health problem that widely spreading in the world. @WHO&amp; health authorities has to but in place better prevention measures and to uplift risk measurement of the virus. Now it's pandemic and governments with weak health care system needs empowerment,2020-01-30 21:45:26+00:00
21," #Tipoftheday in #Pneumologia: 
The Wuhan #nCoV #pneumonia outbreak quadruples, spreads within #China # http://ow.ly/NWK030qaECG  via @cidrap #coronavirus #pneumologistahttps://lnkd.in/dJUJEz8 ",2020-01-19 22:39:04
22,"Three of the new cases are severe, with experts worried about the disease’s spread ahead of lunar new year.

Coronavirus: China reports 17 new cases of Sars-like mystery virus https://www.theguardian.com/world/2020/jan/19/coronavirus-china-reports-17-new-cases-of-sars-like-mystery-virus?CMP=share_btn_tw …",2020-01-19 08:13:25
23,"Experts fear numbers affected may be higher than first thought as US begins screening passengers arriving from Wuhan.

Coronavirus: more cases and second death reported in China https://www.theguardian.com/world/2020/jan/17/corona-second-death-in-china-after-sars-like-outbreak?CMP=share_btn_tw …",2020-01-18 15:43:53
24,"Hell yeah keep that shit out.... this is scary shit. They should be doing this in every city. People already died from this. Novel Coronavirus sounds nasty. 
https://eastcountytoday.net/public-health-screening-to-begin-at-3-u-s-airports-for-2019-novel-coronavirus/ …",2020-01-18 15:14:53
25,The hospital told my mom I had the symptoms of the coronavirus is y’all mentally ill? ,2020-01-28 23:59:17
26,all the fuckers who wear the bape shark masks are gonna be the ones who survive the coronavirus and that just seems unfair,2020-01-28 23:50:45
