,Tweets,Date
0,SNP separatists restrict contain coronavirus within Scottish Borders they were not prepared for this crisis trying to be one step ahead against Westminster timetable to end lockdown but SNP proceeding in separate plans end lockdown on their own timetable ,2020-04-29 23:38:19+00:00
1,I agree. Fauci needs fired Fauci: Coronavirus not a major threat and Americans don’t need to worry. This guy still has credibility? ,2020-04-29 23:28:23+00:00
2,Coronavirus: Germany's rate of COVID-19 infections grows after lockdown eased ,2020-04-29 23:25:06+00:00
3,Damn...What's Corona virus? ,2020-04-29 23:17:42+00:00
4,evidence smoking may cut the risk of coronavirus: Review of 28 studies shows number of smokers among hospitalised patients is 'lower than expected' as expert admits the mounting findings are 'weird' https://www.dailymail.co.uk/news/article-8264635/More-proof-smokers-risk-catching-coronavirus-expert-admits-weird.html @DlaminiZuma @CyrilRamaphosa @DrZweliMkhize DICTATORS!!,2020-04-29 23:16:40+00:00
5,They are dying at home as well that's why China had to update the number of people died from Corona virus,2020-04-29 23:13:20+00:00
6,COVID stands for Corona virus disease,2020-04-29 23:11:00+00:00
7,"OPINIONISTA: Conspiracy theories, hypocrisy and bioterrorism amid the Coronavirus battle https://www.dailymaverick.co.za/opinionista/2020-04-30-conspiracy-theories-hypocrisy-and-bioterrorism-amid-the-coronavirus-battle By Terry Bell",2020-04-29 23:07:18+00:00
8,Please open boaders for our deceased to go at least with 5or 10 people this is torture driver and the body after they didn't die of Coronavirus #coronavirus,2020-04-29 23:05:36+00:00
9,"Ya man, poor provinces are not suffering from corona virus joking friend!",2020-04-29 23:03:57+00:00
10,"#Coronavirus #level4lockdown #CoronaVirusSA finally makes my choice of staying home, smoking weed, watching Netflix and sleeping socially acceptable",2020-04-29 22:54:25+00:00
11,"The year started with ""This is my year!"" and then... -WW3 -Australia on fire -Corona Virus -UFO's confirmed I've seen enough movies to not ask ""What else could possible go wrong?...""",2020-04-29 22:53:27+00:00
12,Breaking news Ian Huntley has got coronavirus in jail and he's in a critical condition. Share the good news ,2020-04-29 22:45:41+00:00
13,"S&P downgrades SA's credit rating further into junk, citing impact of coronavirus | Fin24 Yoh gents ",2020-04-29 22:36:55+00:00
14,"@LanaMarks @TonyLeonSA I dont see much of a difference between Syria and parts of Cape Town ""Better that we go back to work and die of coronavirus than that our children starve to death!"" #LockdownSA #lockDownSouthAfrica #lockdown",2020-04-29 22:36:35+00:00
15,screaming at this video starting with corona virus,2020-04-29 22:34:08+00:00
16,Coronavirus: Transgender people 'extremely vulnerable' during lockdown ,2020-04-29 22:33:49+00:00
17,"600 schools were burnt, mobile classrooms are cold AF when will the time to sanitize the schools take place. We've always been considered guinea pigs but please our children's lives matter too. Flu season is upon us. #AttentionMinisterOfDBE #Grade7and12 #coronavirus",2020-04-29 22:32:52+00:00
18,Coronavirus: My son's asthmatic killer doesn't deserve to die in jail ,2020-04-29 22:31:04+00:00
19,Coronavirus: Care packages given to vulnerable students in Tayside… https://www.thecourier.co.uk/fp/news/local/dundee/1297762/coronavirus-care-packages-given-to-vulnerable-students-in-tayside/?utm_source=twitter via @thecourieruk,2020-04-29 22:28:45+00:00
20,What do you miss most about the outside world? #Lockdownfever #CoronaVirusSA #coronavirus #Covid19SA #COVIDー19 #LockdownSA #lockDownSouthAfrica #LockDownLevel4,2020-04-29 22:25:32+00:00
21,"No no, they didn’t all die “from the coronavirus”.... they tested positive at time of death. ",2020-04-29 22:16:52+00:00
22,no one in the world is jealous of getting Coronavirus no one. wrong is wrong and we need to address it. they're putting everyone else's life in danger. ,2020-05-30 23:48:42+00:00
23,"One thing I know is that the people who came with the virus were white people, during early stages of the virus it affected them until they spread it. I also know that most of those coronavirus deaths are white old people. It will be nice to see demographics of deaths too",2020-05-30 23:45:39+00:00
24,LOCKDOWN: Learn the sig ns of Coronavirus COVID-19 illness and what to do: https://cms.tolatender.co.za/conoravirus-covid-19/?utm_source=twitter-tolatender&amp;utm_medium=social&amp;utm_campaign=coronavirus&amp;utm_term=%23LockdownHouseParty&amp;utm_content=LOCKDOWN%3A+Learn+the+signs+of+Coronavirus+COVID-19+illness+and+what+to+do%3A+ #coronavirussa #coronavirus #coronavirusInSA #covid19sa #SouthAfricaLockdown #lockdowninsa #lockdowninsouthafrica #LockdownHouseParty,2020-05-30 23:30:05+00:00
25,"It's the corona virus, it's domestic violence, it's racism, it's the government, it's assignments CAN WE GET A BREAK??",2020-05-30 23:15:21+00:00
26,"Coronavirus, Racism and Injustice: No One Is Coming to Save Us ",2020-05-30 23:26:11+00:00
27,"""COVID-19: Health experts in Minnesota worry about a spike in cases as large protests continue"" #Coronavirus ",2020-05-30 23:48:57+00:00
28,I hope they are not going to transmit Corona virus kuna mbuya vakazvigarira havo pamusha pavo.,2020-05-30 22:35:54+00:00
29,How Vietnam kept its coronavirus death toll at zero ,2020-05-30 22:37:18+00:00
30,"South African government will never denounce Corona virus because they are in the payroll of Bill gates. Ours is to pray, otherwise we are toast. ",2020-05-30 22:25:52+00:00
31,"@iam_ph @Shimza01 thanks alot bras , you kept us in house glowed to our tv screen dancing sitting on our couches , we even forgot that we were facing with the dreadful coronavirus.The sponsors @hunterscider @SamsungSA @ChannelOTV ",2020-05-30 22:03:12+00:00
32,this is for coronavirus you big disgusting white nasty smelling bitch why do you exist wit yo triflin dirty white racist ass you broke ass bitch oompa loompa body ass bitch I’m comin up there and im gonna beat the fuck out of you bitch,2020-05-30 21:53:24+00:00
33,I thought this was a new coronavirus strain. ,2020-05-30 21:50:55+00:00
34,Everyday I make shukr that it's corona virus and not something as fatal as black death,2020-05-30 21:49:16+00:00
35,Corona virus has shown whose who in the zoo ,2020-05-30 21:45:33+00:00
36,This is one of the Symptoms of Corona virus,2020-05-30 21:29:10+00:00
37,We trying to save our world while other bringing this kind of pain to destroy what we have left with because of corona virus y ppl this is painful ,2020-05-30 21:14:36+00:00
38,We have Electric problem here at Protea Glen ext 12 .always we have loadsheadding in a week time like 3 times a week. Another thing we i still scared of Corona virus because is easy to catch it when is cold how we can beat these virus. Is winter time now.,2020-05-30 21:11:08+00:00
39,30967 confirmed coronavirus cases in South Africa as deaths climb to 643 ,2020-05-30 21:05:15+00:00
40,"#Coronavirus #COVID19 Politics seems so dishonest. It is said smokers ""cost” money. How, one wonders. They pay a lot of tax. If they die younger, as it says on the packet, one can only conclude that the government can't rip them off any more – a high cost, really?",2020-05-30 21:05:04+00:00
41,Corona virus is a scam gone wrong. They is no virus whatsoever ...,2020-05-30 21:02:41+00:00
42,Nothing as bad as corona virus. This is how people deal with the worst thing that ever happened to the world..,2020-05-30 20:59:39+00:00
43,1.Why is Coronavirus only killing people after being tested ? 2.The Corona death charts are people who died after testing positive why ? 3.why is it that there are no cases of untested people that were found dead in their homes and cause of death was Corona??,2020-05-30 20:58:44+00:00
44,Cleo is not worried about Coronavirus ,2020-05-30 20:47:23+00:00
45,"Spain’s excess deaths during coronavirus crisis reach 43,000 https://english.elpais.com/spanish_news/2020-05-28/spains-excess-deaths-during-coronavirus-crisis-reach-43000.html?ssm=TW_CC via @elpaisinenglish",2020-05-30 20:43:03+00:00
46,Are you God? If on God will the child will die with Coronavirus then thats the will of God and why cursing kids-,2020-05-30 20:43:02+00:00
47,"Economic activity in the tourism sector, which had initially been scheduled to begin in level 2 and 1 of the Covid-19 coronavirus-enforced lockdown, will be allowed with some restrictions under level 3, which kicks in on Monday ",2020-05-30 20:29:32+00:00
48,Coronavirus: Nigerian Security forces kill more Nigerians than Covid-19 https://www.bbc.com/news/world-africa-52317196 Chad: The Religious War In The Central African Republic Continues,2020-05-30 20:28:24+00:00
49,"Deadliest Disease in the States ain't Corona virus, it's Racism. #JusticeForGeorgeFlyod",2020-05-30 20:26:33+00:00
50,"When the Coronavirus pandemic invaded our lives,we had plans! Don’t deter! Start that business, engage ,get married, fall pregnant, house hunt, job hunt , lose weight, apply to study further, start afresh... No one knows the future but remember-Hope never disappoints ",2020-05-30 20:22:40+00:00
51,Ramadan 2020: 30% More Jihadist Attacks than 2019 Despite Coronavirus ,2020-05-30 20:20:23+00:00
52,is there still corona virus in America?,2020-05-30 20:19:43+00:00
