,Tweets,Date
0,"He called coronavirus the Chinese virus because it originated from...China...he called ALL the people looting and burning buildings down thugs not just black people, this is legit driving your own thoughts without facts. ",2020-05-30 21:00:51+00:00
1,"#CoronavirusUpdates A few hours ago, WHO has declared a global health emergency over the ongoing coronavirus outbreak. @JChengWSJ China Bureau Chief of WSJ will be giving us the latest developments in China regarding the situation. Stay tuned for more updates!",2020-01-30 23:32:36+00:00
2,Korean firms help to fight coronavirus outbreak ,2020-01-30 23:30:29+00:00
3,"WHO. corona virus (2019 n-cov), declaration of emergency https://www.instagram.com/p/B79gXESnVCS/?igshid=xa4tql99npsy",2020-01-30 22:44:58+00:00
4,WHO declares Wuhan coronavirus a public health emergency of international concern - CNN ,2020-01-30 22:29:54+00:00
5,(3rd LD) S. Koreans withdraw from liaison office in N.K. amid new coronavirus fears ,2020-01-30 21:29:50+00:00
6,This seems like a crazy idea but I still did it. The New Corona Virus Covid19 is getting worse and worse everyday and masks are the things that decrease the chance of being infected. Currently South Korea is having a… https://www.instagram.com/p/B9HglaDByAT/?igshid=gj2aqbqnqkt2,2020-02-28 16:30:46+00:00
7,SOUTH KOREA reports 3 more deaths from coronavirus bringing death toll to 16. So on Febr 28 new anti-record of 571 new #COVID19 confirmed cases registered wth total standing at 2 337. God bless Korea! ,2020-02-28 14:47:31+00:00
8, MORE COUNTRIES RESTRICT ENTRY FROM S. KOREA 58 countries are controlling entry from South Korea #COVID19 #coronavirus #controlling,2020-02-28 12:22:30+00:00
9, STOCKS HIT BY COVID-19 Global stock markets plunge on virus fears #COVID19 #Global #stock,2020-02-28 12:22:21+00:00
10,"COVID19 at 8pm 2,337 Infected, 1,988 in our area ",2020-02-28 10:53:36+00:00
11,"BBC News - Wuhan pneumonia outbreak: Mystery illness 'caused by coronavirus'
https://www.bbc.co.uk/news/world-asia-china-51047576 …",2020-01-09 21:59:32
12,"A Chinese visitor to Thailand has been confirmed to be infected with a new strain of coronavirus that has been linked to a pneumonia outbreak in central China.
https://www.koreatimes.co.kr/www/nation/2020/01/119_281891.html …pic.twitter.com/n0DjZEpS3x",2020-01-14 02:00:32
13,Three U.S. Airports to Check Passengers for a Deadly Chinese Coronavirus https://nyti.ms/2G0j1Os ,2020-01-19 10:13:54
14,Factbox: New coronavirus outbreak in Chinese city of Wuhan (Reuters) https://ift.tt/2G04DFI ,2020-01-19 08:37:23
15,"Chinese market at center of coronavirus outbreak sold wolves, rats to eat https://nypost.com/2020/01/23/chinese-market-at-center-of-coronavirus-outbreak-sold-wolves-rats-to-eat/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @nypost",2020-01-23 23:56:49
16,Hi be careful whoever you are. Corona virus isn't a joke and you shoud take care yourself well pic.twitter.com/VZRKtuMR4z,2020-01-23 23:17:34
17,The coronavirus panic is turning the UK into a hostile environment for east Asians | Sam Phan https://www.theguardian.com/commentisfree/2020/jan/27/coronavirus-panic-uk-hostile-environment-east-asians?CMP=share_btn_tw …,2020-01-28 23:40:47
18,#Korea’s Center for Desease Control (KCDC) now showing clips with warnings about #corona #virus on buses heading to the airport. #china,2020-01-25 23:42:10
19,"What is coronavirus? The Wuhan, China, virus explained - CNN https://edition.cnn.com/2020/01/20/health/what-is-coronavirus-explained/index.html …",2020-01-22 22:30:55
20,"Wuhan coronavirus death toll rises to 17 with 547 infected in China, sparking fears of wider spread - CNN https://edition.cnn.com/2020/01/22/asia/china-wuhan-coronavirus-deadly-intl-hnk/index.html …",2020-01-22 22:29:12
21,#NorthKorea announces it is suspending all foreign visitors from entering the country in the wake of the #Wuhan #coronavirus outbreak.,2020-01-21 23:23:09
22,"Scary: Chinese coronavirus outbreak has reached U.S. shores, CDC says https://www.latimes.com/science/story/2020-01-21/china-coronavirus-outbreak-us …",2020-01-21 22:41:36
23,"BBC News - Coronavirus: Death toll rises to 82 as China extends holiday
https://www.bbc.co.uk/news/world-asia-china-51259649 …",2020-01-27 23:50:27
24,Olympic women's hoops qualifiers moved out of China over coronavirus concerns http://yna.kr/AEN20200128000600315 …,2020-01-27 23:37:24
25,Everyone is asking me why im so worried Btch China is just above my country and they are 3 persons suspected to have corona virus in manila Knowing how over populated manila is that virus can easily spread and our government here sucks didnt even ban any direct flights from China,2020-01-27 23:25:27
26,Should you panic about the coronavirus from China? Here's what the experts say https://www.latimes.com/science/story/2020-01-24/china-coronavirus-panic …,2020-01-24 23:42:23
27,We’re not ready for this growing epidemic! Not to be judgy but Chinese people need to stop eating weird animals!  #Coronavirus,2020-01-24 23:26:12
28,"BBC News - China coronavirus: Lunar New Year subdued as outbreak spreads
https://www.bbc.co.uk/news/world-asia-china-51240355 …",2020-01-24 23:15:47
29,"Police and ambulance services have received an increasing number of prank calls from people making false reports of new coronavirus infections, and officials warn that those who interrupt the work of the emergency services are subject to legal punishment. http://shorturl.at/cdtKU ",2020-02-05 23:34:19
30,"N. Korea enhances restrictions on foreign residents to block coronavirus spread:

Diplomats and NGO workers not allowed to visit shops and hotels in Pyongyang through at least February 15, MFA says. 

@ColinZwirko reports:https://www.nknews.org/2020/02/n-korea-enhances-restrictions-on-foreign-residents-to-block-coronavirus-spread/ …",2020-02-04 23:51:29
31,"I'm somewhat afraid of the coronavirus. I'm definitely afraid of the coronavirus' potential impact on the economy.

But this? I'm friggin terrified of this. https://twitter.com/YonhapNews/status/1224113666674421760 …",2020-02-02 23:56:23
32,"Op-Ed: International overreaction to the coronavirus is more dangerous than the virus itself
https://buff.ly/2tnq6G1 ",2020-02-02 23:53:51
33,Hyundai Motor Group has decided to lock all exhibition vehicle doors to take actions of #CoronaVirus emergency response at the HQ building in #Seoul. We can just see the exterior look of #GV80 and other Hyundai & Kia cars.pic.twitter.com/rGSjtbwHXE,2020-02-03 23:56:33
34,DPRK officials meet with face masks on amid coronavirus cover-up fear https://mol.im/a/8001603  via @MailOnline,2020-02-17 23:42:49
35,N. Korea reaffirms no new coronavirus infection http://yna.kr/AEN20200218000800325 …,2020-02-17 23:35:57
36,"heres a video if you're curious about coronavirus situation in busan, my insta story was more dramatic than it should have been (I did buy an eyebrow pencil so my eyebrows are coming with me to the apocalypse 
 https://youtu.be/euz9BOcLuD4 ",2020-02-24 23:57:33
37,"As concerns over the spreading coronavirus outbreak hammered U.S. stocks, one corner of the market was confronted with another potentially game-changing prospect: a ⁦@SenSanders⁩ nomination.https://reut.rs/2PfNYmH ",2020-02-24 23:45:21
38,"For those of you who are visiting Seoul, avoid visiting parts of Gangnam-gu district such as Nonhyeon-dong and Yeoksam-dong. District office don’t have exact information on this, and still this office refuses revealing exact path. #CoronaVirus",2020-02-28 23:52:45
39,"Nissan, Honda delay restart of some China plants over coronavirus https://www.autonews.com/china/nissan-honda-delay-restart-some-china-plants-over-coronavirus … via @Automotive_News",2020-02-23 23:42:11
40,"RT @AFP: Brazil claims the unenviable position of having the second-highest #coronavirus death toll worldwide behind the US, where several…",Sat Jun 13 08:01:20 +0000 2020
41,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…,Sat Jun 13 09:52:26 +0000 2020
42,"💥GEORGE FLOYD PROTESTS AND THE #COVID19 OUTBREAK IN THE U.S.💥

#US #George_Floyd #funeral 
#coronavirus #코로나바이러스 https://t.co/GWB0tefzww",Sat Jun 13 11:30:00 +0000 2020
43,RT @allieyoung13: The death toll on #NavajoNation has reached 298 due to #COVID19. That’s 298 Navajo lives including 5 Medicine People gone…,Sat Jun 13 09:55:00 +0000 2020
44,#Beijing reimposes lockdown measures after new #COVID19 outbreak https://t.co/72T31WBjSV,Sat Jun 13 13:40:57 +0000 2020
45,Dispelling myths and misconceptions about coronavirus - Are hand dryers effective in killing the new corona... http://www.ecoti.in/qeN1pa53  via @economictimes,2020-03-02 23:59:30
46,Coronavirus is mutating: Chinese scientists find second strain https://buff.ly/3cwLsSX ,2020-03-04 23:53:43
47,"Marvell swings to Q4 profit, sees 5% revenue dip on coronavirus worries in Q1 https://www.marketwatch.com/story/marvell-swings-to-q4-profit-sees-5-revenue-dip-on-coronavirus-worries-in-q1-2020-03-04 …",2020-03-04 23:52:17
48,"Globally, there have been no COVID-19 deaths in young children reported yet.

According to a WHO-China Joint Mission report, only 2.4 percent of all reported cases of COVID-19 in China have been children. Only a minuscule 0.2 percent became critically ill due to the coronavirus.",2020-03-04 23:51:51
49,"Haha! A Coronavirus test costs $1,600 in the US. The worst is yet to come.",2020-03-03 23:55:06
50,"shit, our campus declared as state of emergency regarding corona virus",2020-03-08 23:53:35
51,"The Official Coronavirus Numbers Are Wrong, and Everyone Knows It by @TheAtlantichttps://link.medium.com/Iw98eKOLA4 ",2020-03-09 23:59:41
52,Coronavirus fears spread across Europe with schools shut down https://mol.im/a/8108333  via @MailOnline,2020-03-13 23:59:30
