,Tweets,Date
0,More afraid of the Corona virus than your bum guns ,2020-05-30 22:04:51+00:00
1,"Now amidst of turmoil the media says: ""Mounting evidence suggests the coronavirus is more common and less deadly than it first appeared. Tests are finding large numbers of people in the U.S. who were infected but never became seriously ill."" ",2020-05-30 20:53:35+00:00
2,"I can't stand, more so, malicious trukes, about this Coronavirus ",2020-05-30 20:50:40+00:00
3,"I miss the days of sunning the perineum. Now it’s all coronavirus, BDCC, police officers killing black people, white people killing black people, white people filming white people killing black people, president of the US encouraging killing of black pekoe. ",2020-05-30 20:50:27+00:00
4,Sweden's former state epidemiologist reveals why she changed her view on controversial coronavirus strategy ,2020-05-30 20:49:33+00:00
5,"I think with coronavirus, lockdown, job losses, businesses closing down and now this. Emotions explode and the anger needs a direction and when in a mob, it usually results in a path of destruction. Maybe I'm just too stoic/pragmatic :P",2020-05-30 20:37:53+00:00
6,"Corona virus: We may never know the precise origin. Whether the impact of this virus will be significant &amp; run into 22 is of extreme interest. With U.S. CDC going to China, perhaps this will help to verify the true death rate &amp; stop the conspiracy stories which do not help us!",2020-01-30 23:13:52+00:00
7,words of wisdom: 1. putting your blinker on doesn’t give u the right to swerve into the next lane right away (look over ur shoulder bitch) 2. corona virus news fake or not yall need to be washing your damn handz,2020-01-30 22:05:24+00:00
8,So the WHO declared the new corona virus a global health emergency tonight. This while the impeachment trial in the US senate continues and a new heat wave is coming to Australia. Good night.,2020-01-30 21:43:50+00:00
9,Coronavirus’ Effect on the Travel Industry Deepens as Global Emergency Is Declared http://bit.ly/2uLlzO0 by @skift,2020-01-30 21:43:48+00:00
10,"Wait, you got the Corona virus?",2020-01-30 21:30:43+00:00
11,RT 2013: Chinese scientists slammed for creating new ‘deadly’ influenza strains #Coronavirus ,2020-01-30 21:28:30+00:00
12,god is angry we fucked up the planet so much so he gave china the coronavirus #COVID19 #ClimateChange #GodsPlan,2020-02-28 21:16:34+00:00
13,New article from @UCGHR: #COVID19 outbreak on the Diamond Princess cruise ship: estimating the epidemic potential and effectiveness of public health countermeasures https://doi.org/10.1093/jtm/taaa030 https://www.umu.se/en/news/karantan-pa-lyxkryssaren-gav-fler-coronasmittade_8936181/,2020-02-28 19:03:20+00:00
14,"Uh, now? A month ago this move could have made sense, but now flights from Italy/Europe, not to speak of Iran, would incur greater risk flights than from China. #COVID19 is still rampant in Wuhan, but anyone there would have hard time leaving Hubei, not to speak of the country.",2020-02-28 15:36:29+00:00
15,"The World Health Organization @WHO said on Thursday that its greatest concern in relation to #COVID19 is no longer China, but the rest of the world. #coronavirus #END",2020-02-28 12:17:14+00:00
16,"#BREAKING First Cremona, now also the #Lodi hospital is overcrowded due to the high infection rate and the many patients showing serious complications after contracting #COVID19. The coronavirus epidemic is clearly out of control in #Italy, the rest of Europe should be alarmed.",2020-02-28 12:00:28+00:00
17,"@pmakela1 @EndGameWW3 #BREAKING The German influenza surveillance network just found a #COVID19 case. No details yet, but this suggests a) coronavirus community transmission and b) the system is working. ",2020-02-28 10:54:57+00:00
18,@pmakela1 @EndGameWW3 #BREAKING Iran reports the death toll from the #COVID19 coronavirus has risen to 34 and infections to 388 in the country: Ministry of Health https://twitter.com/disclosetv/status/1233340048499761152,2020-02-28 10:54:32+00:00
19,"It must be close to impossible for North Korean refugees to live in China these days of massive surveillance everywhere. Fortunately, the NK border is closed due to fear of covid19, so let us hope that they will not be deported when the border opens again.",2020-02-28 10:41:18+00:00
20,#BREAKING Iran confirms 64 new #COVID19 cases during the past 24 hours. https://twitter.com/disclosetv/status/1233339045289299968,2020-02-28 10:33:43+00:00
21,#BREAKING FEDERAL COUNCIL BANS **ALL** MAJOR EVENTS IN SWITZERLAND OVER #COVID19 FEARS. Source: @disclosetv,2020-02-28 09:25:21+00:00
22,Tokyo #Disneyland will be closed starting from Saturday through to March 15 amid an outbreak of #coronavirus infections in #Japan. #COVID19 #END,2020-02-28 09:02:25+00:00
23,"#DifferentialDiagnosis of illness in #patients under investigation for the #NovelCoronavirus (#SARSCoV2), #Italy, February 2020 http://ow.ly/hMur50yydsa #COVID19 #coronavirus #diagnosis #outbreak #epidemic #Europe",2020-02-28 09:00:29+00:00
24,"Between 31 Dec and 5 Jan, 59 pneumonia cases possibly associated with a novel coronavirus have been reported in Wuhan City, China. For ECDC’s threat assessment and options for response, see http://bit.ly/2T9SFB6 ",2020-01-09 19:36:02
25,China says pneumonia outbreak linked to new coronavirus https://on.ft.com/2NoPhin  #ENDEGOhttps://on.ft.com/2NoPhin ,2020-01-09 09:19:21
