,Tweets,Date
0,Two groups of Taiwanese nationals have returned home after being stranded by the coronavirus pandemic in 2 countries. The CECC says some 30 nationals returned from India while 11 Taiwanese came from Saudi Arabia. All will be quarantined and checked for COVID-19 symptoms.,2020-04-29 23:54:44+00:00
1,WHO Declares Coronavirus Outbreak A 'Global Pandemic' | Zero Hedge ,2020-01-30 23:55:52+00:00
2,"RT Click here Video added WHO declared the coronavirus global health emergency, here's what you need to know http://bit.ly/2upRXFD #Wuhan #china #coronavirus #CoronavirusOutbreak #2019nCoV #GlobalNews",2020-01-30 23:17:22+00:00
3,"WHO declared the coronavirus global health emergency, here's what you need to know – https://exploretraveler.com/breaking-news-2019-novel-coronavirus-wuhan-china/ #Wuhan #china #coronavirus #Corona... https://exploretraveler.com/breaking-news-2019-novel-coronavirus-wuhan-china/",2020-01-30 23:15:16+00:00
4,The WHO began announcing PHEIC 2 years AFTER SARS outbreak. The corona virus is now a PHEIC. Read more ,2020-01-30 22:47:14+00:00
5,"Vice President Chen Chien-jen says for the average person, wearing a surgical face mask is not entirely necessary to prevent contracting the 2019 novel coronavirus.",2020-01-30 21:32:19+00:00
6,President Tsai Ing-wen says some 4.2-million surgical masks per day will be released to the public from today in order to meet widespread demand due to the coronavirus outbreak.,2020-01-30 21:32:07+00:00
7,"More on #COVID19 - American airline United announced that they will reduce flights to Asian countries starting March, in light of #COVID19 outbreak in several countries. Flights to Tokyo, Osaka and Singapore will be reduced and flights to Seoul will be operated by smaller planes. ",2020-02-28 19:53:41+00:00
8,"Hi @WHO, I am a journalist who has been diligently following and updating the latest about the #COVID19 epidemic since day 1 of the outbreak and I think I am in the position to tell you that this epidemic has now reached a global pandemic scale. What are you still waiting for? ",2020-02-28 15:25:22+00:00
9,Breaking - The UK recorded its first death related to #COVID19. The patient is a former Diamond Princess passenger. ,2020-02-28 13:49:22+00:00
10,"COVID19 has spread to all of the world. Due to the CCP’s malicious cover-up of the epidemic. Instead of condemning the CCP and not warning countries to take precautionary measures, YOU has repeatedly praised and tolerated the CCP. You are the culprit of the damn virus pandemic. ",2020-02-28 13:35:24+00:00
11,"DPM-praising speech contained verbiage that MP Lee obviously could not have written herself nor understand with her level of English proficiency. Also, not the time for court jestering in parliament amidst such ""turbulent times"" with #COVID19. Distasteful and unproductive. ",2020-02-28 12:09:01+00:00
12,"Hainan reported a patient who was originally discharged from the hospital on February 19 after he recovered from his initial #COVID19 infection on February 2. However, he returned to the hospital on February 23 after having fever and was tested positive for the virus. ",2020-02-28 12:08:22+00:00
13,"Officials may have found the cause of the mysterious outbreak of #pneumonia that has sickened dozens of people in China.

Initial test results point to a new type of #coronavirus as the cause of the #Wuhan outbreak.

https://www.livescience.com/new-coronavirus-pneumonia-outbreak-china.html …pic.twitter.com/GbxXscB29G",2020-01-09 21:54:47
14,The Centers for Disease Control says Chinese health authorities have identified a mysterious respiratory disease being reported in the city of Wuhan as being a new type of coronavirus.,2020-01-09 21:21:13
15,According to Chinese state media the pneumonia epidemic in Wuhan might be caused by a new type of coronavirus. Other types of coronaviruses are SARS and MERS.  https://twitter.com/spektrum/status/1215192910515392512 …,2020-01-09 12:13:33
16,A #ChinesePneumonia outbreak was reported on Dec. 12 + epidemiologists have already gathered useful data from #Wuhan. Apparently? The infection is a form of #coronavirus. http://www.cidrap.umn.edu/news-perspective/2020/01/virologists-weigh-novel-coronavirus-chinas-outbreak …,2020-01-09 06:50:00
17,The Centers for Disease Control has listed the mysterious coronavirus originating in China's Wuhan City as a communicable disease.,2020-01-15 21:34:21
18,"The new #coronavirus in China that's causing the #WuhanPneumonia outbreak may be able to spread between people under certain circumstances, although the risk of such transmission appears to be low, according to news reports.

https://www.livescience.com/new-coronavirus-china-spread.html … #Wuhanpic.twitter.com/aER3T4xerk",2020-01-15 19:40:57
19,"The SARS-Like Virus Spreads as First Confirmed Case Emerges Outside China.

The novel coronavirus (#nCoV) has spread beyond China's borders for the first time with a case emerging in Thailand in a traveller arriving from #Wuhan.

https://www.sciencealert.com/first-case-of-that-new-sars-like-virus-was-just-confirmed-outside-china …pic.twitter.com/WJsrGAR8hx",2020-01-14 17:10:27
20,"Mystery SARS-Like Virus Spreads as First Confirmed Case Emerges Outside China.

A new #coronavirus from the same family as the SARS virus has spread beyond China's borders for the first time with a case emerging in Thailand.

https://www.sciencealert.com/first-case-of-that-new-sars-like-virus-was-just-confirmed-outside-china … #WuhanPneumonia #Wuhanpic.twitter.com/slE0ExpM4F",2020-01-14 06:01:45
21,"The Centers for Disease Control has upgraded its travel alert for the Chinese city of Wuhan, citing the possibility of limited human-to-human transmission of a new type of coronavirus there.",2020-01-16 21:17:44
22,"In May, Taiwan’s foreign minister told @TelGlobalHealth that #Taiwan was at greater risk of pandemics after being sidelined by the WHO under Chinese pressure. With the Wuhan coronavirus spreading, it’s vital to keep Taiwan in the loop https://www.telegraph.co.uk/global-health/science-and-disease/taiwan-greater-risks-pandemics-exclusion-says-foreign-minister/?WT.mc_id=tmg_share_tw …",2020-01-19 02:45:21
23,"The number of cases in a #pneumonia outbreak in China is grossly underestimated, according to new study.

Authorities in China's #Wuhan city have confirmed 45 cases of the novel #coronavirus. But the study suggests that ~1,723 people were likely infected

https://www.cnn.com/2020/01/18/asia/china-coronavirus-study-intl/index.html …pic.twitter.com/oHhjFyX1TZ",2020-01-18 18:55:10
24,Japan confirms 1st case of infection with new coronavirus from China http://bit.ly/35SjvAp ,2020-01-18 02:33:32
25,Taiwan's Centre for Disease Control issues a travel alert for Wuhan - ground zero for a new type of coronavirus that is starting to spread around Asia http://www.taipeitimes.com/News/front/archives/2020/01/17/2003729386 …,2020-01-17 00:58:54
26,The Deceptively Simple Number Sparking Coronavirus Fears https://flip.it/0tUw1l ,2020-01-28 23:43:21
27,"Top story: @DrEricDing: 'HOLY MOTHER OF GOD - the new coronavirus is a 3.8!!! How bad is that reproductive R0 value? It is thermonuclear pandemic level bad - never seen an actual virality coefficient outside of Twitter … https://twitter.com/DrEricDing/status/1220919589623803905/photo/1pic.twitter.com/DchQJBy8h0 , see more http://tweetedtimes.com/HsiaoTom?s=tnp ",2020-01-25 23:56:47
28,WHO Declares Coronavirus Outbreak A 'Global Pandemic' | Zero Hedge https://www.zerohedge.com/geopolitical/watch-live-who-reveals-decision-coronavirus-pandemic-status …,2020-01-30 23:55:52
29,"China's #Wuhan #nCoV #coronavirus:

Death toll in the outbreak in China has jumped to 17, with ~500 confirmed cases. There's growing fear the disease could spread.

Hong Kong & Macau have confirmed cases. Other regions have reported a handful of cases.

https://www.youtube.com/watch?v=QoSU1GPTeBg …",2020-01-22 22:59:20
30,"Coronavirus cases surged in China overnight.

China's national health commission::
7,711 cases (5,974 previously.Up 30%)
170 deaths (132 previously)",2020-01-29 23:54:43
