,Tweets,Date
0,"#Trump, challenged by a reporter over his claim #coronavirus deaths will fall to zero, responds 'well, they eventually will'. Of course they will tend in that direction when all the vulnerable are dead.",2020-04-29 23:52:18+00:00
1,"U.S. coronavirus outbreak soon to be deadlier than any flu since 1967 as deaths top 60,000 https://bit.ly/3bL2H26 #usa #coronavirus #covid19",2020-04-29 23:42:45+00:00
2,"After aggressive mass testing, Vietnam says it contains coronavirus outbreak ",2020-04-29 23:46:53+00:00
3,Coronavirus death toll surpasses U.S. casualties from Vietnam War ,2020-04-29 23:19:34+00:00
4,"Australia and New Zealand Banking Group Ltd deferred a decision on its interim dividend and posted a 60% fall in first-half cash profit on Thursday, as bad loan charges rose due to economic challenges triggered by the coronavirus pandemic. ",2020-04-29 23:09:09+00:00
5,"Pakistan begins colossal tree planting campaign - a staggering 10 billion trees will be planted starting now in order to combat climate change using 60,000 workers who have lost their jobs because of the coronavirus - ",2020-04-29 22:50:31+00:00
6,Fuel consumption in 2020 tanks under Covid-19 impact - https://bit.ly/2XgIH2q #thailand #coronavirus #covid19,2020-05-30 23:43:24+00:00
7,BBC News - Coronavirus declared global health emergency by WHO .He also said that there is no reason to limit international trade or travel to China. #CORONAVIRUS #ไวรัสโคโรน่าสายพันธุ์ใหม่,2020-01-30 23:56:34+00:00
8,"WUHAN CORONAVIRUS (2019-NCOV) — WHAT THE MSM IS FAILING TO REPORT, AND HOW THE OFFICIAL NUMBERS SIMPLY DON’T ADD-UP ",2020-01-30 23:52:22+00:00
9,Thousands of doctors and nurses are saying goodbye to their families as they're deployed to Wuhan to fight the #coronavirus outbreak. It has been described as a “coronavirus suicide mission”. #ServiceForHumanity #China,2020-01-30 23:38:45+00:00
10,The new coronavirus has been declared a global emergency by the World Health Organization,2020-01-30 23:33:56+00:00
11,"Is coronavirus worse than SARS in China? Our data analysis, updated https://news.cgtn.com/news/2020-01-30/Is-coronavirus-worse-than-SARS-in-China-Our-data-analysis-updated-NFsuzoahH2/index.html via @cgtnofficial",2020-01-30 23:30:54+00:00
12,@WHO declares #2019nCoV #coronavirus a public health emergency of international concern. ,2020-01-30 23:21:16+00:00
13,Watch live: NZ's response on coronavirus outbreak ,2020-01-30 22:53:55+00:00
14,Global Emergency! #CoronaVirus #WuhanVirus https://www.facebook.com/93889432933/posts/10157079611602934/?d=n,2020-01-30 22:53:52+00:00
15,#IRAN #Coronavirus Infected : 388 Deaths: 34 Official report. #coronavirus #China #Italy #covid19 #Wuhanoutbreak #chinanews #virus #Corona #news #japan #chinavorona #korea #Iran #News #Irancorona #koreacorona #Koreavirus,2020-02-28 12:11:11+00:00
16,"Thailand’s MoPH recommends that persons returning to Thailand from #COVID19 affected countries, and who do not have fever and symptoms, to place themselves in self-observation, at home for 14 days, avoiding public areas during this period. https://www.who.int/docs/default-source/searo/thailand/20200228-tha-sitrep-10-covid-19-final.pdf?sfvrsn=553c5e34_0",2020-02-28 11:02:16+00:00
17,"Here Are The 425 Billion Reasons Why WHO Refuses To Call The Covid-19 Outbreak A ""#Pandemic"" | Zero Hedge #Cahoots #coronavirus #COVID19 ",2020-02-28 10:32:40+00:00
18,"BREAKING NEWS! China Issues Statement That New Strain Of Coronavirus Is Behind Mysterious Viral Pneumonia Outbreaks...more..https://lnkd.in/fRVNCBu 
#China #Pneumonia #Coronavirus #NewStrain #ViralPneumonia #SARS #epidemic #health #breakingnews #news #chinesenewyearpic.twitter.com/VYL9mO3cZ2",2020-01-09 09:55:16
19,"A Chinese tourist has been quarantined in #Thailand with a mystery strain of coronavirus, the first time it has been detected outside China, the Thai Health Ministry have confirmed.
A https://bangkokjack.com/2020/01/13/chinese-woman-mystery-virus/ …pic.twitter.com/Hb3J6jhdQC",2020-01-13 12:26:39
20,The Min of Health will enforce strict health checks (of incoming tourists) during this Chinese New Year holiday period after reporting the first confirmed case of a new stain of the corona virus https://twitter.com/PPTVHD36/status/1216681723523551232 …,2020-01-13 11:34:56
21,"Thailand detects first Corona virus infected patient 
https://en.vietnamplus.vn/thailand-detects-first-corona-virus-infected-patient/167251.vnp …",2020-01-13 11:21:42
22,"Thailand confirms a Chinese tourist, having infected with the new coronavirus from China’s Wuhan. Her illness was detected at Suvarnabhumi Airport on Jan 8 and she is now receiving treatment at Bamrasnaradura Infectious Diseases Institute in Nonthaburi. @TNAMCOTpic.twitter.com/V4zeAkfuFo",2020-01-13 07:05:31
23,New post (Confirmed: China Visitor to Thailand Infected with New Coronavirus Strain) has been published on Phuket Travel Tips And Advise - https://www.hoteldealsphuket.com/phukettraveltips/confirmed-china-visitor-to-thailand-infected-with-new-coronavirus-strain/ …,2020-01-15 17:00:47
24,"China Issues Statement Indicating That the New Virus Causing Pneumonia Could Spread Between Humans...more...https://www.thailandmedical.news/news/china-issues-statement-indicating-that-the-new-virus-causing-pneumonia-could-spread-between-humans …
#China #Pneumonia #coronavirus #SARS #virus #health #respiratory #epidemic #news #transmissionspic.twitter.com/LwQLcMOStE",2020-01-15 13:17:35
25,"If anyone close to you has just returned from #China, #Wuhan city in particular, and begins to show symptoms of a fever, cough, sore throat, shortness of breath, difficulty breathing, they should see a doctor as early as possible to receive proper treatment. #coronavirus https://twitter.com/WHO/status/1217151178884222976 …",2020-01-15 09:05:33
26,"61 year old Chinese tourist being treated for new coronavirus in Thailand - more at https://thethaiger.com/news/national/61-year-old-chinese-tourist-being-treated-for-new-coronavirus-in-thailand … #Thailand
A 61 year old Chinese tourist, found to be infected with the new strain of coronavirus dubbed ""Wuhan or Chinese pneumonia"" when she arrived in Thailand last w... pic.twitter.com/7scnqyxaYV",2020-01-14 09:09:23
27,Chinese visitor to Thailand has new Coronavirus strain https://www.tvnz.co.nz/one-news/world/chinese-visitor-thailand-has-new-coronavirus-strain … via @1NewsNZ,2020-01-14 08:26:34
28,"61yo Chinese woman who arrived at January 8, the first person in Thailand with a confirmed case of ‘New Coronavirus Pneumonia’ aka “mystery Wuhan pneumonia.” The mystery virus was identified by Chinese scientists,",2020-01-14 04:43:23
29,"Bangkok Post headlines on Tuesday: 
PM says rallies 'waste of time' https://www.bangkokpost.com/thailand/politics/1834939/pm-says-rallies-waste-of-time …
Tourist hit by coronavirus https://www.bangkokpost.com/thailand/general/1834934/tourist-hit-by-coronavirus …
Speed limit hike 'to cut crashes' https://www.bangkokpost.com/thailand/general/1835089/speed-limit-hike-to-cut-crashes … #Thailandpic.twitter.com/Pgq2yLTU44",2020-01-14 00:37:14
30,"BREAKING NEWS!

China Health Authorities Report First Death From Mysterious Viral Pneumonia Outbreak...more..https://www.thailandmedical.news/news/china-health-authorities-report-first-death-from-mysterious-viral-pneumonia-outbreak …
#China #pneumonia #breakingnews #death #epidemic #health #Warning #viral #SARS #Coronavirus pic.twitter.com/sRJIWsQ8l3",2020-01-11 10:43:00
31,Japan confirms first case of infection with new China coronavirus | Article [AMP] | Reuters https://uk.reuters.com/article/us-china-health-pneumonia-japan-idUKKBN1ZF02Z …,2020-01-16 08:43:21
32,"New Pneumonia Virus From China Spreads To Japan...more..https://www.thailandmedical.news/news/new-pneumonia-virus-from-china-spreads-to-japan …
#China #Japan #virus #pneumonia #coronavirus #health #news #BreakingNews #SARS #warning #epidemicpic.twitter.com/KwrfuDOnSI",2020-01-16 08:33:40
33,RT @KhaosodEnglish: Japan Confirms 1st Case of Coronavirus Infection From China (Kyodo) https://buff.ly/2Tr82Fp ,2020-01-16 06:30:01
34,Japan Confirms 1st Case of Coronavirus Infection From China (Kyodo)  http://www.khaosodenglish.com/news/international/2020/01/16/japan-confirms-1st-case-of-coronavirus-infection-from-china …,2020-01-16 05:46:13
35,TOKYO: Japan confirmed the first case of infection from the new China coronavirus that has killed one person and prompted a travel alert from the US State Department. #BangkokPost #World https://www.bangkokpost.com/world/1837034/japan-confirms-first-case-of-infection-with-new-china-coronavirus …,2020-01-16 03:41:24
