,Tweets,Date
0, And Corona virus too... ,2020-04-29 23:58:37+00:00
1,When does the corona virus stop being “novel”? With all the research being done it’s so “un novel”,2020-04-29 23:15:55+00:00
2,May God be with every one that lost somebody to corona virus.,2020-04-29 22:46:40+00:00
3,"US ecomony shrinks at the fastest rate since 2008. The US economy suffered its most severe contraction in more than a decade in the first quarter of the year, as the country introduced lockdowns to slow the spread of coronavirus. In China the economy shrank by 6.8% #NBSUpdates",2020-04-29 22:44:15+00:00
4,I'm team no sleep #follow me before I direct corona virus where you are ,2020-04-29 22:16:49+00:00
5,Sat here and watched America responded to coronavirus protests. Also watched how America responded to protests against racism and injustice against black ppl. They think only a certain type of ppl should have a voice,2020-05-30 23:13:50+00:00
6,Uganda will never get anything original from China. Even the Corona Virus we got is duplicate. It can't kill any of its 400 victims.. ,2020-05-30 22:48:59+00:00
7,"This number havnt reached the number of people living with HIV n people still have sex,so jst stop counting,let's jst learn how to live with corona virus naye tubikoye,coz corona won't end now",2020-05-30 22:43:54+00:00
8,So the riots across USA jst proved that there ain’t Corona virus ..... Cz literally there hasn’t been any social distancing or sort USA ain’t shit,2020-05-30 22:31:39+00:00
9,"Corona virus disease 2019 cases Elegu,malaba and kwarantiini, what details did I miss out on, Oooh all kwarantiini cases were contacts of the drivers",2020-05-30 22:30:16+00:00
10,USA where did corona virus go ,2020-05-30 22:27:41+00:00
11,It is unbelievable that people died #coronavirus In US are almost equivalent to this. God! #riots2020 #COVIDIDIOTS #COVID__19,2020-05-30 21:50:22+00:00
12,"Corona Virus is just a wave, the light house still stands.",2020-05-30 21:26:48+00:00
13,Signs of corona virus.,2020-05-30 21:17:31+00:00
14,I didn't know that corona virus entered in these people's mind. Singing about The virus. ,2020-05-30 19:43:29+00:00
15,The novel #Coronavirus is officially a public health emergency of International concern @WHO has declared. #2019nCov is spreading fast and time is not on our side. We're working with partners to help protect children and halt the virus now. https://www.bbc.com/news/world-51318246 #UMSRAUpdates,2020-01-30 21:54:12+00:00
16,"COVID19: No Coronation havoc, Air Force particular plane arrived in Delhi with so many voters ... https://www.google.com/url?rct=j&amp;sa=t&amp;url=https%3A%2F%2Fsahiwal.tv%2Fcovid19-no-coronation-havoc-air-force-special-aircraft-arrived-in-delhi-with-so-many-citizens-from-china-and-japan%2F&amp;ct=ga&amp;cd=CAIyGjA1NmQ4Yzk3M2I2ZWVkNzM6Y29tOmVuOlVT&amp;usg=AFQjCNGjv-5CbS6dnrK73FVB-W0A7y5TZw&amp;utm_source=dlvr.it&amp;utm_medium=twitter",2020-02-28 20:47:05+00:00
17,BREAKING: WHO upgrades global risk of #COVID19 virus spread to 'very high' https://www.independent.co.ug/who-upgrades-global-risk-of-virus-spread-to-very-high/,2020-02-28 15:49:34+00:00
18,Great visit to the Entebbe hospital isolation facility prepared for #COVID19. Hospital staff and equipment in place to isolate and manage suspected or confirmed cases #Uganda,2020-02-28 09:04:17+00:00
19,"#CroozefmNews
A traveller in Thailand has become the first person outside China to be diagnosed with a new coronavirus. The Chinese woman was quarantined after arriving in Bangkok from Wuhan, in eastern China, where the outbreak began in December.",2020-01-14 13:26:33
20,New Strain Of Coronavirus In China: What You Should Know : Goats and Soda : NPR http://ow.ly/O1pR30qa9Vk ,2020-01-17 07:17:21
21,New Strain Of Coronavirus In China: What You Should Know : Goats and Soda : NPR http://ow.ly/Gf0K30qa9Pz ,2020-01-17 07:03:22
22,Has anyone seen a travel advisory to china due to #coronavirus outbreak? Or they’re meant for African countries only,2020-01-24 23:26:38
23,"Coronavirus also seemed to favour those with pre-existing medical conditions, with the study listing: “Chronic diseases, including cardiovascular and cerebrovascular diseases, endocrine system disease, digestive system disease, respiratory system disease, malignant tumour,",2020-02-05 23:56:21
24,How do you think the corona virus came about....mbu they even eat bats hehehe,2020-02-01 23:57:41
25,GMSA cancels Mobile World Congress due to coronavirus concerns | Hytech Lab - https://hytechlab.com/gmsa-cancels-mobile-world-congress-due-to-coronavirus-concerns/ …pic.twitter.com/FAyjTomZkl,2020-02-12 23:31:47
26,If corona virus doesnt finish it.,2020-02-14 23:31:39
27,"⛳️🏌🏽‍♀️SWINGING BACK TO ACTION

Ugandan golf is planning to shake off the effects of the #coronavirus pandemic and… https://t.co/4FzFJp3oY3",Sat Jun 13 08:15:00 +0000 2020
28,"RT @MutonyiMary1: It's no doubt everyone has been affected by #COVID19 

#mentalhealth needs so much attention especially in children durin…",Sat Jun 13 09:53:06 +0000 2020
29,"Botswana, which ended a 48-day national coronavirus lockdown late last month, reinstates strict virus lockdown in c… https://t.co/PcKPeg3e0s",Sat Jun 13 09:53:34 +0000 2020
30,"RT @KentPage: Children already affected by armed conflicts, forced displacement, natural disasters and protracted crises, now face added ha…",Sat Jun 13 10:03:30 +0000 2020
31,"RT @DailyMonitor: Uganda's virus cases rise to 694, Health minister expected to clarify on reports of fake results, 199 discharged https://…",Sat Jun 13 10:06:50 +0000 2020
32,"RT @DrTedros: As the #COVID19 pandemic accelerates, we are concerned about its impact on women, children &amp; adolescents' access to healthcar…",Sat Jun 13 10:08:25 +0000 2020
33,"RT @cobbo3: Botswana, which ended a 48-day national coronavirus lockdown late last month, reinstates strict virus lockdown in capital city…",Sat Jun 13 09:54:18 +0000 2020
34,RT @JamesMelville: New Zealand hit #COVID19 hard and early and are now reaping the benefits. No new cases or deaths from Coronavirus for we…,Sat Jun 13 09:55:10 +0000 2020
35,RT @SJAOntario: The Ontario Government is recommending the use of a face covering (non-medical mask) to reduce the transmission risk of #CO…,Sat Jun 13 10:20:54 +0000 2020
36,"RT @picardonhealth: 100% face mask use could crush second, third #COVID19,  wave, study says, by @Mike_at_SFGate
 https://t.co/3VTjFEXYSH v…",Sat Jun 13 09:54:08 +0000 2020
37,RT @GlobalSpotlight: People around the world are experiencing increased stress and anxiety feelings during the #COVID19 pandemic. But this…,Sat Jun 13 11:19:34 +0000 2020
38,"RT @ahmedvision1: The economic hardship resulting from #COVID19 (income loss, unemployment, job instability, lack of social service)  is ca…",Sat Jun 13 11:27:19 +0000 2020
39,"RT @Leicnut: We’re all getting use to having this virus around. 

Doesn’t mean it can’t still kill you. 

Be careful. Act sensibly. Think o…",Sat Jun 13 11:10:17 +0000 2020
40,@nbstv Food distribution has primarily centred on urban areas. They have no social capital. There is no protest in… https://t.co/rwJCRuo6Cn,Sat Jun 13 12:03:34 +0000 2020
41,Senior al-Shabab official by urging people with the #covid19 symptoms to come to the medical facility and avoid inf… https://t.co/FFHOKOgPh4,Sat Jun 13 12:36:32 +0000 2020
42,RT @Koecheruiyot: 400 Chinese nationals now want to flee Nairobi due to #COVID19 crisis!,Sat Jun 13 12:37:56 +0000 2020
43,"RT @fawashsmiley: Covid 19 is accelerating the rate of unemployment by threatening over millions of jobs majority being the youth.

@WorldB…",Sat Jun 13 11:40:48 +0000 2020
44,"RT @UNYouthEnvoy: These are difficult times. But young people are:
 
- Fighting racism, systemic discrimination, oppression &amp; injustice on…",Sat Jun 13 11:26:24 +0000 2020
45,"RT @francediplo_EN: #COVID19 
Travel restrictions to France from European countries will be lifted from 15 June, except:
By ✈️from 🇪🇸: rest…",Sat Jun 13 09:53:42 +0000 2020
46,"#COVID19 is real, #COVID19 is still here with us #COVID19 may kill #COVID19 is real, #COVID19 is still here with us… https://t.co/pHUCJyedNb",Sat Jun 13 13:55:20 +0000 2020
47,"Interesting crime statistics from #Russia: During #COVID19, violent crime reduced by 24% but cybercrime has increas… https://t.co/wnmccSm6G1",Sat Jun 13 13:57:19 +0000 2020
48,Had it not been for @mtnug data and #COVID19 by now I would be having a plane. My 2020 plans all dead now.,Sat Jun 13 14:14:36 +0000 2020
49,Stocks fall again on continued coronavirus worries | Hytech Lab - https://hytechlab.com/stocks-fall-again-on-continued-coronavirus-worries/ …pic.twitter.com/X8y0wFbLmW,2020-03-06 23:54:03
50,"""Vorm couldn't catch the corona virus if he lived in China"" 
@ExpressionsOOZ",2020-03-04 23:51:30
51,Amazon Quietly Removes Some Dubious Coronavirus Books | Hytech Lab - https://hytechlab.com/amazon-quietly-removes-some-dubious-coronavirus-books/ …pic.twitter.com/AG0ipltoCR,2020-03-11 23:59:07
52,Corona virus updates,2020-03-21 23:57:11
53,Yep. For real. Coronavirus kills you quickly but feelings? They kill you slowly and a slow death hurts.,2020-03-16 23:57:28
