,Tweets,Date
0,Rail worker from Saltburn-by-the-Sea moves out to protect mum from Coronavirus https://www.railadvent.co.uk/2020/04/rail-worker-from-saltburn-by-the-sea-moves-out-to-protect-mum-from-coronavirus.html #trainspotting #railway #coronavirus #covid19 #train #rail #travel,2020-04-29 23:59:56+00:00
1,"All Our Nightmares Are True, Covid-19 Is The Door to Human Extermination - FULL SHOW 4/29/20 https://banned.video/watch?id=5eaa0fe77bd40e00b0023df1 #UKlockdown #coronavirusuk #Covid19UK #COVID19 #coronavirus #conservatives #maga #trump2020 #canadalockdown",2020-04-29 23:59:54+00:00
2,Nowadays when I’m walking on the sidewalk and Caucasians see me and crrosd the road. I can’t tell if it’s racism or fear of corona virus anymore ,2020-04-29 23:59:28+00:00
3,I honestly do not believe that is true. Old and frail people living close together is ideal for coronavirus unfortunately.,2020-04-29 23:59:23+00:00
4,"""NHS staff coronavirus inquests told not to look at PPE shortages"" ??? Isn't that like inquests into shootings not looking at bullet wounds? ",2020-04-29 23:59:03+00:00
5,NHS staff coronavirus inquests told not to look at PPE shortages https://www.theguardian.com/society/2020/apr/29/inquests-nhs-staff-deaths-ppe-shortages?CMP=share_btn_tw More Leftie Politics. No Reporting Truth @Viruswatch2020,2020-04-29 23:58:12+00:00
6,"RT @IngrahamAngle: French coronavirus expert says “second wave” warnings are a 'fantasy'....”Humanity didn't die from an epidemic, that's t…",2020-04-29 23:57:33+00:00
7,Coronavirus: Mafia 'poised to exploit vulnerable people during COVID-19 pandemic' http://news.sky.com/story/coronavirus-mafia-poised-to-exploit-vulnerable-people-during-covid-19-pandemic-11980834,2020-04-29 23:57:09+00:00
8,"Used to like and agree with a lot of what piers Morgan said. Until he went absolutely hysterical over #coronavirus Scaring everyone, total negative narrative from him and won’t let anyone talk but himself on GMB ",2020-04-29 23:56:45+00:00
9,Starting to really miss rocking out with this lot! Is that a @hellokitty drum kit @MikePortnoy? @PrettyMaryMoira #coronavirus #stopped #the #irish #rock #bass #BEARD #beer #balls #bitblurry #blondie #butshesabrunette #beenawhile #butwewillreturn,2020-04-29 23:56:09+00:00
10,Are their going to be Botox issues because of the #coronavirus pandemic. How often does that stuff need roped up?,2020-04-29 23:55:55+00:00
11,From what I’m seeing he has more chance of single handedly killing CoronaVirus with his bare hands than winning the next election. If this isn’t the case then America is as broken as the U.K.,2020-04-29 23:55:06+00:00
12, The New Yorker What the Coronavirus Crisis Reveals About American Medicine ,2020-04-29 23:54:11+00:00
13,NHS staff coronavirus inquests told not to look at PPE shortages ,2020-04-29 23:53:51+00:00
14,Such a perfectly @realDonaldTrump plan-to force Covid-19 infected workers to handle our meat and farm products while you hold the owners exempt from liability. You show your preference for wealth and your contempt for people every day. #coronavirus Trump is the greatest danger.,2020-04-29 23:52:38+00:00
15,"Coronavirus latest: Record death toll pushes US total above 55,000 ",2020-04-29 23:52:33+00:00
16,"Between the Joker, their handling of Coronavirus, and the community, ICP will become a political force at some point",2020-04-29 23:52:18+00:00
