,Tweets,Date
0,A timeline of Trump's 100 days of deadly coronavirus denial - Mother Jones https://nzzl.us/ymoXaX8 via @nuzzel thanks @russchoma,2020-04-29 23:48:01+00:00
1,"After aggressive mass testing, Vietnam says it contains coronavirus outbreak ",2020-04-29 23:46:53+00:00
2,"China continues to pose a threat to the world by hiding information about the origin of the coronavirus, U.S. Secretary of State Mike Pompeo says. https://www.bloomberg.com/news/articles/2020-04-29/pompeo-says-china-responsible-for-outbreak-must-detail-origin via @bpolitics",2020-04-29 23:20:18+00:00
3,"COVID-19 caused strokes in young people who had mild coronavirus symptoms, NYC doctors say https://www.usatoday.com/story/news/health/2020/04/29/coronavirus-covid-19-caused-strokes-young-patients-nyc-doctors/3046447001/ via @usatoday",2020-04-29 23:25:14+00:00
4,Opinion: Coronavirus panic shows how little China has learned since SARs #WuhanCoronavirus #publichealth,2020-01-30 23:11:48+00:00
5,#coronavirus emergency ,2020-01-30 23:06:04+00:00
6,"What it means for coronavirus outbreak to be at the WHO's ""highest level of alert"" https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-28-20-intl-hnk/h_27a7eeed180e54e7ff3f59f4db825053 #coronavirus #2019nCoV #virus #chinavirus #wuhan #sos #COVID19",2020-02-28 20:08:47+00:00
7,There are now 821 coronavirus cases in Italy https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-28-20-intl-hnk/h_92bf7cd7acc4ed0b8cdd53b6043bb00f #coronavirus #2019nCoV #virus #chinavirus #wuhan #sos #COVID19,2020-02-28 20:07:54+00:00
8,European stocks fall another 4.2% and sink further into correction territory as coronavirus grips markets https://www.cnbc.com/2020/02/28/europe-markets-coronavirus-hammers-global-stocks.html?__source=sharebar|twitter&amp;par=sharebar #coronavirus #2019nCoV #virus #chinavirus #wuhan #sos #COVID19,2020-02-28 11:09:41+00:00
9,"Coronavirus live updates: New Zealand, Nigeria report first cases, China’s death toll over 2,700 https://www.cnbc.com/2020/02/28/coronavirus-latest-updates-china-hubei-south-korea.html?__source=sharebar|twitter&amp;par=sharebar #coronavirus #2019nCoV #virus #chinavirus #wuhan #sos #COVID19",2020-02-28 11:09:07+00:00
10,Global stocks head for worst week since the financial crisis amid fears of a possible pandemic https://www.cnbc.com/2020/02/28/global-stocks-head-for-worst-week-since-financial-crisis-on-coronavirus-fears.html?__source=sharebar|twitter&amp;par=sharebar #coronavirus #2019nCoV #virus #chinavirus #wuhan #sos #COVID19,2020-02-28 11:01:48+00:00
11,US removes Vietnam from list of areas vulnerable to community spread of #SARSCOV19 https://vietnamnews.vn/society/652860/us-removes-viet-nam-from-list-of-areas-vulnerable-to-community-spread-of-sars-cov-19.html #coronavirus #Vietnam #US #COVID19 ,2020-02-28 09:13:47+00:00
12,"First death from China mystery illness outbreak

Man dies in outbreak that has infected 41 people as early tests point to new type of the coronavirus responsible for Sars epidemic
 https://amp.theguardian.com/world/2020/jan/11/china-mystery-illness-outbreak-causes-first-death?CMP=share_btn_tw&__twitter_impression=true …",2020-01-12 07:30:14
13,"#coronavirus

Local authorities in central China's city of Wuhan said Thursday that a 69-year-old man died the previous day of pneumonia caused by a new coronavirus, bringing the total number of deaths linked to the virus to two.

https://english.kyodonews.net/news/2020/01/88c29e019e03-update1-china-announces-2nd-death-from-new-coronavirus.html …",2020-01-16 21:42:34
14,"#coronavirus #vietnam
Two feverish Chinese nationals coming from Wuhan City were quarantined after landing in Da Nang airport Tuesday.https://e.vnexpress.net/news/news/two-chinese-quarantined-in-da-nang-amid-pneumonia-fears-4042708.html …",2020-01-16 01:00:07
15,"#coronavirus: #China reports 17 new cases of #Sars-like mystery virus

Three of the new cases are severe, with experts worried about the disease’s spread ahead of #lunar new year.

https://amp.theguardian.com/world/2020/jan/19/coronavirus-china-reports-17-new-cases-of-sars-like-mystery-virus …",2020-01-19 08:04:32
16,Coronavirus outbreaks in Asia pic.twitter.com/nvAMyBEepz,2020-01-18 11:00:19
17,"""China’s Coronavirus Has Revived Global Economic Fears"" by Peter S. Goodman via NYT https://ift.tt/30WdEtc ",2020-01-27 23:46:03
18,"The downside of Xi Jinping's top-down control system is that no one takes action until they are approved by the highest authorities, and then overreact to satisfy the request for top management. on. This is evident in the outbreak of the corona virus disease in Wuhan.",2020-02-08 23:33:37
19,"Coronavirus Update: 9 cases in US,  Shubei province reports 56 new coronavirus deaths https://ift.tt/36Q9Vi0 ",2020-02-02 23:42:20
20,"Coronavirus Update: 9 cases in US, Hubei province reports 56 new coronavirus deaths https://ift.tt/37Sqknp ",2020-02-02 23:31:22
