,Tweets,Date
0,"#BREAKING Ministry of Health announces biggest daily jump in coronavirus cases - 8, bringing national total to 40 ",2020-04-29 23:11:26+00:00
1,"260 reports of coronavirus-related TV Licensing emails so far this month claiming recipient's direct debit has failed and need to pay to avoid prosecution but they are eligible for a ""COVID19 Personalized Offer"" of six months free. #scams #emails https://www.actionfraud.police.uk/news/260-reports-of-coronavirus-related-tv-licensing-emails-so-far-this-month",2020-05-30 22:24:39+00:00
2,Monkeys steal coronavirus samples after attacking technician in India https://www.dailymail.co.uk/news/article-8369439/Monkeys-steal-coronavirus-samples-attacking-lab-technician-India.html?ito=amp_twitter_share-top via @MailOnline,2020-05-30 20:43:45+00:00
3,Don’t know what will kill us first ... World War 3 or the CoronaVirus ....,2020-01-30 23:18:00+00:00
4,Bloody hell ! The woman asking the Corona virus question #bbcqt,2020-01-30 23:06:57+00:00
5,I think planes bringing Nationals home of likely infected/exposed people from the epicentre of Wuhan who will be at their most infectious/shedding before any symptoms show are what is going to spread the virus around the world. Evacuated too late in my opinion #coronavirus,2020-01-30 22:56:21+00:00
6,This is the most inhumane and insensitive statement I have ever read in my lifetime. It only confirms allegations and conspiracies that the #coronavirus is a biological warfare disease. This speaks a lot about Trumps Administration. #CoronavirusOutbreak,2020-01-30 21:30:58+00:00
7,What compassion are you talking about? Their type of compassion where they are having a power struggle in the midst of a world epidemic Covid19 crisis?,2020-02-28 09:14:16+00:00
8,"@WHO issues warning after 'mysterious' Chinese coronavirus spreads to Japan @IranNewsNow https://www.cdc.gov/coronavirus/about-me/index.html …
Coronavirus | About | @CDCgov @cdcatla https://twitter.com/timothy_j7/status/1182295088686403584 …
Ronald Timothy Jones Sr @interior on Twitter: ""https://t.co  ...

https://twitter.com/i/events/1217928133917044736 …",2020-01-16 23:42:08
9,"In total, 41 people in Wuhan have been diagnosed with a novel coronavirus, a family of viruses that can cause both the common cold and more severe diseases like SARS and MERS. https://www.nbcnews.com/news/world/china-reports-second-death-mystery-coronavirus-n1117631 …",2020-01-17 13:53:12
10,Plz lm blank wat is corona virus ?yu only liked m tweet without an explntn of wat l askd,2020-01-25 23:59:21
11,"A whole finance minister who is in Davos but doesn’t know of coronavirus outbreak in China.Chinese come to Africa a lot ,as cabinet they should have decided on their strategy.Other countries are already screening at the pots of entry",2020-01-22 23:03:46
12,No goin back on #ShutDownZimbabwe2016 on Wed 13 & Thurs 14 July.This govt can't threaten us & think it's ok #ThisFlag RT @263Chat: Chinese Doctor Who Discovered Coronavirus Has Died The Chinese doctor who first warned his government of the corona… https://twitter.com/i/web/status/1225915439961825280 …,2020-02-07 23:39:35
13,"""It would really help if the Zimbabwean government could show that they care about us. It's difficult to get food... If the electricity went out at this apartment there would be no way to get help, it's terrifying. Mentally, I'm not OK.""
https://www.aljazeera.com/news/2020/02/african-students-trapped-coronavirus-hit-wuhan-plead-200204082319647.html … #coronavirus pic.twitter.com/nyiPUg2aYT",2020-02-05 23:39:55
14,"Hi Garry, are you still coming to the UK with the travel restrictions coz of coronavirus issue at the moment?",2020-02-01 23:56:29
15,RT @SebDance: Populism is *very* bad for your health.,Sat Jun 13 07:51:43 +0000 2020
16,"RT @Mamoxn: The govt of Zimbabwe🇿🇼 will not,
On their own volition,
Stop:
Abducting
Torturing,
Raping,
&amp;Killing us.
They will not voluntari…",Sat Jun 13 10:00:33 +0000 2020
17,"Beijing in a Wartime lockdown as new cases of #covid19 resurfaces . As second wave fears grows fast. 
@WHO 
@WHO_Zimbabwe 
@MoHCCZim",Sat Jun 13 10:06:19 +0000 2020
18,"RT @maDube_: Police have arrested 62 801 people countrywide since March 30 for violating lockdown measures.

Sadly none of those whole #COV…",Sat Jun 13 10:06:37 +0000 2020
19,"RT @antonioguterres: People with albinism continue to be the target of stigma, discrimination &amp; violence - including amid #COVID19.

The UN…",Sat Jun 13 10:04:31 +0000 2020
20,More here from @inzyrashid on what was in the @ProfKevinFenton’s report. It’s a scandal that we are having to rely… https://t.co/1Ky9afaIxa,Sat Jun 13 10:44:12 +0000 2020
21,"SA To Make 10 000 Cheap Ventilators

For more on this story visit our website 
https://t.co/QZgOqK2EZ0
.
.
.
.
.
.… https://t.co/nFbt42zJYI",Sat Jun 13 10:46:07 +0000 2020
22,"RT @XHNews: There have been coordinated efforts on social media to spread rumors that the #coronavirus is a bioweapon created by China, say…",Sat Jun 13 10:10:25 +0000 2020
23,@SAFoundationN and @SAfridiOfficial has done so much for the needy since day one of the virus and has been hands on… https://t.co/WstEbmwiD2,Sat Jun 13 10:57:32 +0000 2020
24,RT @PachotoTribe: Young girls who are not going to school due to lockdown restrictions put in place due to #Covid19 tend to occupy themselv…,Sat Jun 13 11:18:22 +0000 2020
25,RT @Wamagaisa: I hear Delish Nguwaya is appearing in court concerning Drax Investments and scandalous #COVID19  procurement deals. Let’s go…,Sat Jun 13 11:21:24 +0000 2020
26,"RT @YourAnonNews: Yesterday, there were 140,927 new cases of #COVID19 and 4,603 additional deaths were reported in the past 24 hours.

This…",Sat Jun 13 11:24:47 +0000 2020
27,"RT @iloharare: In the face of #covid19, we run the risk of sliding backwards, lets not be discouraged in fighting child labour. #WDACL is a…",Sat Jun 13 14:12:11 +0000 2020
28,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…,Sat Jun 13 09:52:26 +0000 2020
29,It must be this Gvt which is worse than coronavirus,2020-03-02 23:49:25
30,BREAKING: Deputy leader of Iran's parliament says 23 members of parliament have been infected with coronavirus.,2020-03-03 23:57:40
