,Tweets,Date
0,President Donald Trump said the federal government will not be extending its coronavirus social distancing guidelines once they expire Thursday. ,2020-04-29 23:34:57+00:00
1,Studies leave question of ‘airborne’ coronavirus transmission unanswered ,2020-04-29 23:59:52+00:00
2,"As of Tuesday, the ship had 940 active coronavirus cases, compared with 955 on Monday. ",2020-04-29 22:30:00+00:00
3,42% of Alabama’s new coronavirus cases come from 1 county ,2020-04-29 22:17:55+00:00
4,Me and @giana_jade are looking to talk to #millennials about these experiences and how they’re dealing with finances during #coronavirus,2020-04-29 22:17:08+00:00
5,"Tweet of the day, on a day with a space launch, riots, coronavirus, along with your usual government tomfoolery. ",2020-05-30 23:11:31+00:00
6,See the latest counts and information on the new coronavirus in Alabama. ,2020-05-30 22:37:40+00:00
7,See the latest counts and information on the new coronavirus in Alabama. https://trib.al/UFugfl0,2020-05-30 22:36:08+00:00
8,See the latest counts and information on the new coronavirus in Alabama. https://trib.al/s7hH5no,2020-05-30 22:12:02+00:00
9,See the latest counts and information on the new coronavirus in Alabama. https://trib.al/DsD9Olj,2020-05-30 22:12:02+00:00
10,See the latest counts and information on the new coronavirus in Alabama. https://trib.al/wrkDcg7,2020-05-30 22:09:20+00:00
11,Coronavirus we ain’t forgot about you.... we on yo ass too,2020-05-30 22:05:02+00:00
12,"COLUMN: This project gave @LindseySquints, @jakeadams520 and I a lot of insight on how the country as a whole has handled athletics amid the coronavirus pandemic. Here's our thoughts. #TPIpreps",2020-05-30 20:33:00+00:00
13,"Ion wanna hear shit else bout coronavirus.., shit really cap",2020-05-30 20:32:20+00:00
14,if in 2 weeks no protestors have coronavirus im done with the world,2020-05-30 19:50:19+00:00
15,"In the middle of the Coronavirus pandemic, and the violent riots in America, congrats to #SpaceX and #NASA for a successful launch! Bob and Doug have this covered! #LaunchAmerica #SpaceLaunchLIVE",2020-05-30 19:41:29+00:00
16,Watch @WVTM13's broadcast: UAB officials on Coronavirus ,2020-01-30 21:31:28+00:00
17,What do you call a Chinaman with coronavirus?,2020-01-30 21:30:16+00:00
18,So is there an agreed upon “threshold” of when #COVID19 is no longer “containable”? ,2020-02-28 19:44:10+00:00
19,This is a reminder that public awareness & education on #COVID19 is so important to understand the risks associated with the #coronavirus.,2020-02-28 16:51:47+00:00
20,#TrumpLiesAboutCoronavirus is the hashtag to use when you want to use #COVID19 for politics.,2020-02-28 15:05:24+00:00
21,First case of #COVID19 confirmed in #Mexico.,2020-02-28 13:58:25+00:00
22,Green Day announced they are postponing their Asian tour due to the Coronavirus. -Shroom #coronavirus #covid19 #washyourdamnhands - @ShroomRadio,2020-02-28 13:43:15+00:00
23,What Is Equine Coronavirus? – The Horse https://buff.ly/2Wc0l4P pic.twitter.com/lTDY72ELBY,2020-01-09 00:33:02
24,Thanks @suilee for cautious but thorough reporting on #coronavirus #pneumonia unfolding in China @IDSAInfo all eagerly awaiting genetic sequencing & key info on transmission scenarios given absence of Wuhan market in latest caseshttps://twitter.com/suilee/status/1217729717874216961 …,2020-01-17 02:34:27
25,"If you catch the Coronavirus, does that make the hospital your beach? pic.twitter.com/9thkCrTSHZ",2020-01-24 23:38:36
26,Can you give me some of that corona virus so I don’t have to go to work tomorrow???,2020-01-29 23:40:31
27,"CNN: University of Alabama at Tuscaloosa officials have confirmed a case of coronavirus within the student body. Check to follow updates: http://pbs.twimg.com/media/BG48ENgCEAAIDl9.jpg …    
(SPREAD THE WORD)",2020-01-29 23:34:47
28,He got the coronavirus? https://twitter.com/Charlie_Potter/status/1222663572288942080 …,2020-01-29 23:32:54
29,The map follows coronavirus cases across the world. https://www.waaytv.com/content/news/567399722.html …,2020-01-29 23:30:01
30,U.S. cities and states with confirmed coronavirus cases https://news.yahoo.com/u-cities-states-confirmed-coronavirus-072351226.html …,2020-02-05 23:35:59
31,"Investigational compound remdesivir, developed by UAB and NIH researchers, being used for treatment of novel coronavirus - News | UAB https://www.uab.edu/news/health/item/11082-investigational-compound-remdesivir-developed-by-uab-and-nih-researchers-being-used-for-treatment-of-novel-coronavirus …",2020-02-09 23:59:25
32,I’m scared to travel anywhere w/ the coronavirus going around chillleee ,2020-02-02 23:55:33
33,I really neen doing alot of reading bout the stock markets n stuff since this coronavirus hit.I'm thinking on doing some more research n finding that special one and going all in with every penny I got.,2020-02-06 23:48:16
34,I Think you might just have the coronavirus ,2020-02-11 23:49:27
35,"It would be at least a year before a coronavirus vaccine would be available. However, that timeline assumes a large pharmaceutical manufacturer does step up to help make the product. | @statnewshttp://ow.ly/dClc30qh93c ",2020-02-12 23:45:04
36,US Cities Begin Testing Patients with Flu-Like Symptoms for Coronavirus https://www.westernjournal.com/us-cities-begin-testing-patients-flu-like-symptoms-coronavirus/?utm_source=Twitter&utm_medium=PostBottomSharingButtons&utm_campaign=websitesharingbuttons …,2020-02-18 23:59:03
37,What you need to know about coronavirus and what to watch for. https://bit.ly/2Uv3j6e ,2020-02-18 23:59:00
