,Tweets,Date
0,More than 6 million coronavirus cases confirmed worldwide: AFP tally #COVID19,2020-05-30 23:47:19+00:00
1,"NOTIFICATION FROM THE MINISTER OF HEALTH T&T #WUHAN #CORONAVIRUS “Persons who are presently living in China or visiting China, regardless of nationality, will not be allowed entry into Trinidad and Tobago for 14 days after leaving China.” Read more https://www.facebook.com/groups/2309895292355800/permalink/3727845743894074/",2020-01-30 21:43:26+00:00
2,#COVID19 level the playing Field ,2020-02-28 09:18:19+00:00
3,China's Deadly Coronavirus Could Spread Even Faster During the Lunar New... https://youtu.be/s_HiaNq-qvk ,2020-01-22 23:49:04
4,"2020: Coronavirus

Gays: It's ok , I'm on PrEP pic.twitter.com/PWfSDV9KPZ",2020-02-06 23:56:42
5,Suppose the ching chung that started the Coronavirus??? ,2020-02-06 23:39:08
6, Chinese Doctor Who First Warned About Coronavirus Has Died From It  http://bit.ly/39faRhu  | #CoronaOutbreak #CoronavirusWho #Coronavirus #SARSVirus #SARS2020pic.twitter.com/H3rv2m15zF,2020-02-06 23:39:02
7,"RT @ClinRheumatol: A new article about management of #SystemicSclerosis #Ssl in the #COVID19 era.
👉📎 https://t.co/Gcq3XmUa0g https://t.co/3…",Sat Jun 13 11:50:24 +0000 2020
8,"RT @trishgreenhalgh: Above all, don’t be poor. https://t.co/XADAf4KdMD",Sat Jun 13 11:42:59 +0000 2020
9,This thread and response of  @johnkoetsier to @CarlaBridglal #COVID19,Sat Jun 13 13:51:04 +0000 2020
10,"RT @MexOnu: Upon the initiative of 🇲🇽 🇦🇺 🇨🇱 🇫🇷 🇬🇪 🇮🇳 🇮🇩 🇱🇻 🇱🇧 🇲🇺 🇳🇴 🇸🇳 🇿🇦,  1️⃣3️⃣2️⃣ countries have issued a cross-regional statement on t…",Sat Jun 13 10:22:54 +0000 2020
11,RT @NEJM: Correspondence: Diabetes and Covid-19 #COVID19 #SARSCoV2,Sat Jun 13 12:17:26 +0000 2020
12,📺 Health Ministry Holds Virtual Press Conf. At 11am On Saturday 13th June 2020 👉 https://t.co/zsA2rGHYGS |… https://t.co/QBzcJ0L49Q,Sat Jun 13 14:13:44 +0000 2020
13,. @SAfridiOfficial and his foundation @SAFoundationN have spent the last few months going to different areas of Pak… https://t.co/il4zmH89yh,Sat Jun 13 14:24:21 +0000 2020
14,*Coronavirus has entered the chat*,2020-03-01 23:47:32
15,Can't cough or sneeze around anyone these days.  #coronavirus,2020-03-11 23:59:24
16,Coachella has been postponed due to coronavirus https://theverge.com/2020/3/10/21174083/coachella-postponed-coronavirus-october-music-festival-stagecoach?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter …pic.twitter.com/i4Lm9Oujul,2020-03-10 23:54:46
17,Girl the grocery owner was grinning when I came in shocked at the line saying “coronavirus girl”,2020-03-12 23:57:26
18,"As far we’re told, there are no Corona virus cases in jail, correct me if I’m wrong. So they are scared of it, where it’s not prevalent and want to go out where there are Coronavirus cases?! ",2020-03-17 23:58:54
19,"As far we’re told, there are no Corona virus cases in jail, correct me if I’m wrong. So they are scared of it, where it’s not prevalent and want to go out where there are Coronavirus cases?! ",2020-03-17 23:58:54
