,Tweets,Date
0,"Memes and shit aside, big ups to the ones who are still working in these times, not just the ones that are in healthcare all of you are some real ones and deserve all the praise. Regardless of what yall do you are appreciated. #coronavirus #EssentialWorker #Covid_19 #thankyou",2020-04-29 23:52:21+00:00
1,#AskAGBarr have we identified who authorized the grant at NIH to fund the Coronavirus; are those people being investigated or apprehended? ,2020-04-29 23:47:42+00:00
2,Attention nonprofits: NBCLA has teamed up with @RalphsGrocery and @myfood4less to support the Emergency COVID-19 Response Fund. SoCal organizations providing services to those impacted by #coronavirus can apply for a grant. Details: http://4.nbcla.com/AmqusBv,2020-04-29 23:47:08+00:00
3,WHY ARE WE BUYING MASKS FROM CHINA??? >>> Coronavirus: California receives 3 million masks as part of Newsom's big purchase https://www.mercurynews.com/2020/04/28/coronavirus-california-receives-3-million-masks-as-part-of-newsoms-big-purchase/ via @mercnews,2020-04-29 23:41:02+00:00
4,They've never been able to create one for a coronavirus either despite years of trying,2020-04-29 23:15:13+00:00
5,Australia coronavirus live: NT set to announce easing of restrictions as Virgin creditors meet – latest updates ,2020-04-29 23:10:18+00:00
6,Australia coronavirus live: NT set to announce easing of restrictions as Virgin creditors meet – latest updates ,2020-04-29 23:10:18+00:00
7,Australia coronavirus live: NT set to announce easing of restrictions as Virgin creditors meet – latest updates ,2020-04-29 23:10:18+00:00
8,Australia coronavirus live: NT set to announce easing of restrictions as Virgin creditors meet – latest updates ,2020-04-29 23:10:18+00:00
9,Study: Majority of Americans Don’t Want or Can’t Use Google and Apple’s Coronavirus Tracing App ,2020-04-29 23:03:41+00:00
10,Coronavirus: DfE minister queries school attendance figures | Tes ,2020-04-29 23:03:02+00:00
11,"Introverts, Marijuana, And Getting High During the Coronavirus ",2020-04-29 22:57:37+00:00
12,Big Plastic asks Congress for $1 billion coronavirus bailout https://interc.pt/3bI5F7J by @fastlerner,2020-04-29 22:50:52+00:00
13,"New South Wales has recorded just two new coronavirus cases overnight despite carrying out a record 7,300 tests. More on this story: https://7news.link/3aIp332",2020-04-29 22:40:15+00:00
14,This is setting us up for a big sloooow opening. Stage 1 & 2 can be done tomorrow. The idea that testing somehow makes a difference is ridiculous. The local hospitals are wide open. #Coronavirus: California Gov. Gavin Newsom has 4-stage reopen plan. ,2020-04-29 22:40:08+00:00
15,Coronavirus cash: Fed sees no quick end to its near 0% rates http://dlvr.it/RVjhBs,2020-04-29 22:29:03+00:00
