,Tweets,Date
0,Many needs to meet during Coronavirus 2020 here in São Paulo. Thanks be to God &amp; BGR we are able to help some. My heart is especially full when I see single mother households. I see myself in the little faces. ,2020-04-29 23:40:34+00:00
1,Coronavirus Update: Yolo County Extends Shelter-In-Place Order Until May 31 ,2020-04-29 23:32:01+00:00
2,"For non-Brazilian who might not be familiar with the context: this comes after 2qualified and well-performing ministers (health & justice) were forced to resign, and several judicial decisions prohibiting Bolsonaro from doing X or Y. Whilst Brazil reached the peak of Coronavirus",2020-04-29 23:25:04+00:00
3,The state reported an increase of 534 new coronavirus cases over the last 24 hours. ,2020-04-29 23:19:56+00:00
4,Belgians urged to eat fries twice a week as coronavirus creates massive potato surplus ,2020-04-29 23:17:33+00:00
5,When will we have the maiden live quarantined? #coronavirus,2020-04-29 23:00:16+00:00
6,Coronavirus 'could affect international football calendar for two or three years' http://dlvr.it/RVjkhg,2020-04-29 22:53:33+00:00
7,Lizzie Cundy shows off physique in tiny crop-top as she perf.. MailOnline - Coronavirus - News - Noticias - Bitcoin - CryptoCurrency - Forex - @newstwiteafrica &gt;,2020-04-29 22:52:04+00:00
8,"Lucas County reported 318 cumulative coronavirus cases among residents in 21 facilities, including 300 active cases, between April 15 and 28. @lizskalka",2020-04-29 22:42:08+00:00
9,"Missed today's news? Keep up to date with all of the latest news on the coronavirus outbreak in Brazil in real-time. No paywall, free content ",2020-04-29 22:39:55+00:00
10,Tesla turns a surprise profit despite coronavirus factory shutdowns https://www.businessinsider.com/tesla-earnings-q1-2020-profit-revenue-eps-elon-musk-china-2020-4?utmSource=twitter&amp;utmContent=referral&amp;utmTerm=topbar&amp;referrer=twitter via @businessinsider,2020-04-29 22:24:00+00:00
11,Sorriso ... #asteroide #STFVergonhaNacional #BolsonaroHeroi #edai #ForaBolsonaroUrgente #coronavirus #Corona #Covid_19 #COVID2019 #Bolsonaro #Moro2022 #GLOBOLIIXO #SergioMoro #constituição #ForaBol卐onaro #AlertaNacional #CidadeAlerta #NovoMundo #STFInimigoDoBrasil,2020-04-29 22:23:56+00:00
12,Six key principles for #localgovernment and #communication officials to keep in mind to ensure they make effective use of #socialmedia in a crisis: https://bit.ly/2zHENqy h/t @yaelbt #COVID19 #coronavirus #crisiscommunication,2020-05-30 23:15:03+00:00
13,CORONAVIRUS!!! SHIT IS REAL!!! BUT WE DON’T GIVE A FUCK!!!,2020-05-30 22:54:22+00:00
14,"As coronavirus spreads in Egypt, Sissi sees opportunity to t.. Washingtonpost - News - Noticias - Bitcoin - CryptoCurrency - Forex - @newstwiteafrica&gt;",2020-05-30 22:32:13+00:00
15,Data shows children returning to school in Denmark did not cause increase in coronavirus cases ,2020-05-30 22:02:48+00:00
16,Universities have a vital role in fighting coronavirus @uniworldnews @university @highered @unicamp,2020-05-30 22:01:15+00:00
17,Baile do Covid19 #coronavírus ,2020-05-30 21:28:32+00:00
18,Universal Studios Orlando to reopen some of its hotels NEXT .. MailOnline - Coronavirus - News - Noticias - Bitcoin - CryptoCurrency - Forex - @newstwiteafrica &gt;,2020-05-30 21:01:31+00:00
19,New Zealand has no new coronavirus cases and just discharged its last hospital patient. Here are the secrets to the country's success. https://www.businessinsider.com/how-new-zealand-beat-coronavirus-testing-tracing-trust-in-government-2020-5?utmSource=twitter&amp;utmContent=referral&amp;utmTerm=topbar&amp;referrer=twitter via @businessinsider,2020-05-30 20:51:59+00:00
20,Jean Grey Art by Artgerm #xmen #XMenMutantFacts #jeangrey #Avengers #ArteGeek #illustration #artgallery #Galleria #coronavirus #GalaxyA31s #fanart #Serpentcomics,2020-05-30 20:12:51+00:00
21,show do travis na abertura e show do adulto ney durante o jogo could be us but coronavirus playin ,2020-05-30 20:10:40+00:00
22,I still wanna know what exactly is covid-19/coronavirus.. I'm really confused at what's going on round the world right now,2020-05-30 19:43:32+00:00
23,spreading coronavirus to the rest of the universe. #NASA #SpaceX #LaunchAmerica,2020-05-30 19:34:12+00:00
24,welcome corona virus delegates ,2020-01-30 23:36:50+00:00
25,Novel coronavirus complete genome from the Wuhan outbreak now available in GenBank https://ncbiinsights.ncbi.nlm.nih.gov/2020/01/13/novel-coronavirus/ via @NCBI,2020-01-30 23:36:32+00:00
26,Hahahahahahahaha How The Fuck Is Coronavirus Real Hahahaha Nigga Just Walk Away From The Virus Like Nigga Stop Breathing Haha,2020-01-30 23:16:59+00:00
27,Galaxy S20 third-party cases delayed due to Wuhan coronavirus http://dlvr.it/RP4nJC,2020-01-30 22:58:03+00:00
28,Live ( Coronavirus ): Wuhan makeshift hospitals construction continues on January 30 武汉火... https://youtu.be/22RkQcQDflw via @YouTube,2020-01-30 22:53:03+00:00
29,Coronavirus: China evacuee quarantined at California military base http://go.newsfusion.com/push/tech/item/6814926 (via @Newsfusion #Push),2020-01-30 22:33:57+00:00
30,CDC: First Person-to-Person Spread of Novel Coronavirus in US http://go.newsfusion.com/push/tech/item/6815081 (via @Newsfusion #Push),2020-01-30 22:33:43+00:00
31,Coronavirus map: Tracking the spread across borders and flight paths http://go.newsfusion.com/push/usnews/item/12849377 (via @Newsfusion #Push),2020-01-30 22:33:39+00:00
32,A Timeline of How the Wuhan Coronavirus Has Spread—And How the World Has Reacted http://go.newsfusion.com/push/usnews/item/12849545 (via @Newsfusion #Push),2020-01-30 22:33:14+00:00
