,Tweets,Date
0,The life is bad now. CORONAVIRUS new album of the big artist JAIR JEAN PIERRE AVAILABLE on Google play music SPOTIFY KKBOX ,2020-04-29 23:41:28+00:00
1,Coronavirus sucks. Forget about it for at least a little while and travel back to Scotland with me for some #Geocaching! https://www.youtube.com/watch?v=ZTe0FGxsuXQ&amp;t=554s,2020-04-29 23:26:56+00:00
2,"Communism, Chlamydiae or Corona Virus. Pick one.",2020-04-29 22:39:28+00:00
3,Cities are responding to the coronavirus crisis by prioritizing pedestrians and cyclists over cars — one bright spot in an otherwise grinding news cycle. https://www.huffpost.com/entry/coronavirus-remake-cities-cars-pollution-walking-cycling_n_5e9eb1e5c5b63c5b587419a3?ncid=engmodushpmg00000004 via @HuffPostImpact,2020-04-29 22:36:25+00:00
4,Exactly! #Minnesota #COVID19 #coronavirus ,2020-05-30 22:57:05+00:00
5,"China has a history of repression, censorship, internet control & propaganda, & we can't trust the info their gov't is providing on the coronavirus. Read my letter calling for a temporary ban on commercial travel to China here. We must keep Americans safe! https://byrne.house.gov/sites/byrne.house.gov/files/Coronavirus.pdf",2020-01-30 22:08:24+00:00
6,U.S. to screen passengers for new China coronavirus at three airports https://www.emergencyemail.org/newsemergency/anmviewer.asp?a=20413&z=58 …,2020-01-18 16:38:01
7,"This week on #SciFriday, we will discuss the novel coronavirus that has emerged in China and is now affecting other countries.",2020-01-21 23:29:12
8,"1st confirmed case of new coronavirus reported in US: CDC
https://www.yahoo.com/gma/1st-confirmed-case-coronavirus-reported-washington-state-cdc-190926099.html …",2020-01-21 22:48:45
9,"The fact that the Bernie-world narrative is basically that as long as nazis want “free” healthcare and weed, they’re okay with them.. CORONAVIRUS 2020!",2020-01-24 23:28:17
10,"yeah, if you want a side of coronavirus",2020-01-29 23:35:49
11,New York tests coronavirus case as eighth person in US is diagnosed #SmartNewshttps://www.dailymail.co.uk/news/article-7956097/Eighth-confirmed-coronavirus-case-US.html …,2020-02-01 23:37:44
12,Two new cases of #coronavirus in #Australia. The number of confirmed cases of coronavirus in Australia has risen to 12 after a couple was tested in South Australia. https://www.smh.com.au/national/two-new-cases-of-coronavirus-in-australia-20200202-p53www.html …,2020-02-01 23:35:53
13,My first illustration published with Northwestern accompanied this piece on #coronavirus. Check it out  https://twitter.com/NorthwesternU/status/1225197664641437696 …,2020-02-06 23:58:07
14,"Yeah cause Canadians can't get coronavirus. Tim, the mask is slipping.",2020-02-24 23:46:08
15,Coronavirus: Italy orders mass closures after COVID-19 cases quadruple | DW  https://www.dw.com/en/coronavirus-italy-orders-mass-closures-after-covid-19-cases-quadruple/a-52467865 …,2020-02-21 23:29:12
16,"Coronavirus Transmission Clues: The Nose Knows | Medpage Today - Viral load higher in the nose versus throat, researchers report https://www.medpagetoday.com/infectiousdisease/publichealth/84988 …",2020-02-21 23:27:05
17,New Chinese study indicates novel coronavirus did not originate in Huanan seafood market - Global Times https://www.globaltimes.cn/content/1180429.shtml …,2020-02-23 23:46:39
18,"RT @AfricaCDC: #COVID19: update in Africa (As of 13 June 2020, 9 am East Africa Time)
More information at https://t.co/vEZ4eupedf
#COVID19…",Sat Jun 13 10:18:05 +0000 2020
19,@thehill 300K possible exposures to #Covid19 https://t.co/NlhnYTm2ch,Sat Jun 13 12:11:28 +0000 2020
20,RT @CatalystInc: Catalyst's Negin Sattari discusses what impacts men’s decisions to #InterruptSexism at work—and how that plays out during…,Sat Jun 13 13:01:27 +0000 2020
21,"RT @OoasWaho: #COVID19 accelerating in Africa - #WAHO DG @sokolo12  on eNCA TV of South Africa to share @ecowas_cedeao response. 
@Ecowas_c…",Sat Jun 13 13:59:34 +0000 2020
22,"RT @TheDestroyer72: PLEASE RETWEET TO #EXPOSEBILLGATES
Time to let EVERYONE know the truth about #BillGates, his ""friends"" and their missio…",Sat Jun 13 14:03:39 +0000 2020
23,"Bring back biotech research and manufacturing jobs to the US!

Coronavirus Could Be The End Of China As A Global Manufacturing Hub https://www.forbes.com/sites/kenrapoza/2020/03/01/coronavirus-could-be-the-end-of-china-as-global-manufacturing-hub/ …",2020-03-02 23:52:06
24,Studiate! #coronavirus https://twitter.com/Brasviz1/status/1234263164449173506 …,2020-03-01 23:55:12
25,"Dennis Miller:
 
I'm working on a screenplay a'la ""War of the Worlds"" where after all else fails the thing that finally saves mankind from Coronavirus is Global Warming",2020-03-06 23:58:50
26,Coronavirus Outbreak Shows Importance of ‘Bringing Manufacturing Back to America’: Trump https://www.theepochtimes.com/coronavirus-outbreak-shows-importance-of-bringing-manufacturing-back-to-america-trump_3258385.html …,2020-03-03 23:59:35
27,Coronavirus in Texas: more cruise ship passengers quarantined in San Antonio | The Texas Tribune #SmartNewshttps://www.texastribune.org/2020/03/08/coronavirus-texas-more-cruise-ship-passengers-quarantined-san-antonio/ …,2020-03-08 23:57:07
28,"Join us for an informational webinar about the coronavirus, get the latest updates on the virus and learn how we can protect ourselves! Select a time and register below to attend: pic.twitter.com/9VWtaHn2Xz",2020-03-11 23:57:55
29,""" the state public health lab can perform just 80 tests per day "" Coronavirus in Oregon: 3 new cases raise state tally to 24, health officials say https://www.oregonlive.com/coronavirus/2020/03/3-new-oregon-coronavirus-cases-raises-state-tally-to-24.html …",2020-03-12 23:57:36
30,"the LIFT act isn’t intended for people with no income, Kamala has separate plans for unemployment/disability and she’s working on a bill with senate dems for the coronavirus.",2020-03-17 23:58:28
31,"the LIFT act isn’t intended for people with no income, Kamala has separate plans for unemployment/disability and she’s working on a bill with senate dems for the coronavirus.",2020-03-17 23:58:28
